split	threshold	multiplier	n	in_band	in_band_pct	n_sub05	n_regressed	n_rescued	n_moved	median_abs_log2	mean_abs_log2
all	0	1	3370	1799	53.3828	11	268	15	3370	0.1237	0.2412
all	0	2	3370	1962	58.2196	13	113	13	3370	0.1042	0.2229
all	0	3	3370	2012	59.7033	12	60	13	3370	0.0979	0.2199
all	0	4	3370	2016	59.8220	12	52	13	3370	0.0970	0.2191
all	0	6	3370	2027	60.1484	13	41	12	3370	0.0953	0.2190
all	0	8	3370	2031	60.2671	13	36	12	3370	0.0971	0.2199
all	2	1	3370	1799	53.3828	11	268	15	3370	0.1237	0.2412
all	2	2	3370	1962	58.2196	13	113	13	3370	0.1042	0.2229
all	2	3	3370	2012	59.7033	12	60	13	3370	0.0979	0.2199
all	2	4	3370	2016	59.8220	12	52	13	3370	0.0970	0.2191
all	2	6	3370	2027	60.1484	13	41	12	3370	0.0953	0.2190
all	2	8	3370	2031	60.2671	13	36	12	3370	0.0971	0.2199
all	3	1	3370	1799	53.3828	11	268	15	3370	0.1237	0.2412
all	3	2	3370	1962	58.2196	13	113	13	3370	0.1042	0.2229
all	3	3	3370	2012	59.7033	12	60	13	3370	0.0979	0.2199
all	3	4	3370	2016	59.8220	12	52	13	3370	0.0970	0.2191
all	3	6	3370	2027	60.1484	13	41	12	3370	0.0953	0.2190
all	3	8	3370	2031	60.2671	13	36	12	3370	0.0971	0.2199
all	4	1	3370	1813	53.7982	11	254	15	3148	0.1210	0.2392
all	4	2	3370	1964	58.2789	13	109	13	3148	0.1041	0.2228
all	4	3	3370	2011	59.6736	12	59	13	3148	0.0978	0.2200
all	4	4	3370	2018	59.8813	12	49	13	3148	0.0970	0.2192
all	4	6	3370	2029	60.2077	13	38	12	3148	0.0951	0.2191
all	4	8	3370	2034	60.3561	13	32	12	3148	0.0970	0.2200
all	6	1	3370	1859	55.1632	11	200	15	1903	0.1140	0.2321
all	6	2	3370	1959	58.1306	13	98	13	1903	0.1027	0.2225
all	6	3	3370	2004	59.4659	12	49	13	1903	0.0971	0.2199
all	6	4	3370	2011	59.6736	12	43	13	1903	0.0959	0.2192
all	6	6	3370	2023	60.0297	13	29	12	1903	0.0954	0.2192
all	6	8	3370	2029	60.2077	13	24	12	1903	0.0964	0.2199
all	8	1	3370	1918	56.9139	11	131	15	1053	0.1055	0.2265
all	8	2	3370	1969	58.4273	13	77	13	1053	0.1006	0.2218
all	8	3	3370	1999	59.3175	12	39	13	1053	0.0981	0.2199
all	8	4	3370	2012	59.7033	12	29	13	1053	0.0974	0.2195
all	8	6	3370	2020	59.9407	13	16	12	1053	0.0962	0.2195
all	8	8	3370	2023	60.0297	13	14	12	1053	0.0971	0.2201
all	10	1	3370	1965	58.3086	11	78	15	620	0.1006	0.2232
all	10	2	3370	1987	58.9614	13	53	13	620	0.0984	0.2207
all	10	3	3370	2002	59.4065	12	29	13	620	0.0974	0.2197
all	10	4	3370	2011	59.6736	12	24	13	620	0.0964	0.2196
all	10	6	3370	2015	59.7923	13	14	12	620	0.0961	0.2198
all	10	8	3370	2019	59.9110	13	12	12	620	0.0972	0.2205
all	12	1	3370	1987	58.9614	11	44	15	397	0.0981	0.2209
all	12	2	3370	1996	59.2285	13	32	13	397	0.0964	0.2197
all	12	3	3370	2006	59.5252	12	18	13	397	0.0962	0.2193
all	12	4	3370	2009	59.6142	12	16	13	397	0.0958	0.2195
all	12	6	3370	2009	59.6142	13	10	12	397	0.0958	0.2199
all	12	8	3370	2014	59.7626	13	9	12	397	0.0972	0.2206
all	14	1	3370	2001	59.3769	11	26	15	272	0.0969	0.2195
all	14	2	3370	2007	59.5549	13	17	13	272	0.0958	0.2190
all	14	3	3370	2009	59.6142	12	10	13	272	0.0958	0.2190
all	14	4	3370	2012	59.7033	12	8	13	272	0.0958	0.2193
all	14	6	3370	2010	59.6439	13	6	12	272	0.0961	0.2198
all	14	8	3370	2012	59.7033	13	6	12	272	0.0969	0.2206
all	16	1	3370	2002	59.4065	11	18	15	186	0.0972	0.2189
all	16	2	3370	2006	59.5252	13	13	13	186	0.0962	0.2188
all	16	3	3370	2008	59.5846	12	7	13	186	0.0963	0.2189
all	16	4	3370	2011	59.6736	12	6	13	186	0.0963	0.2195
all	16	6	3370	2009	59.6142	13	4	12	186	0.0967	0.2199
all	16	8	3370	2010	59.6439	13	4	12	186	0.0976	0.2206
all	20	1	3370	2000	59.3472	11	12	15	111	0.0975	0.2188
all	20	2	3370	2003	59.4362	13	8	13	111	0.0965	0.2190
all	20	3	3370	2003	59.4362	12	5	13	111	0.0967	0.2192
all	20	4	3370	2005	59.4955	12	5	13	111	0.0967	0.2198
all	20	6	3370	2005	59.4955	13	3	12	111	0.0972	0.2202
all	20	8	3370	2004	59.4659	13	4	12	111	0.0977	0.2209
all	24	1	3370	1998	59.2878	11	7	15	73	0.0976	0.2184
all	24	2	3370	1998	59.2878	13	6	13	73	0.0972	0.2191
all	24	3	3370	1999	59.3175	12	4	13	73	0.0972	0.2194
all	24	4	3370	2001	59.3769	12	4	13	73	0.0972	0.2200
all	24	6	3370	2001	59.3769	13	3	12	73	0.0975	0.2205
