run	residual_failure	needs_filter	auto_plain	auto_filter	filter_gain_x	internal_frac	overlap_drop_frac	mappings	internal	queries_with_overlaps	queries_emptied_by_filter
SRR30162149	yes	yes	0.3466	0.8724	2.517	0.954990	0.944932	2922004	2790484	5000	0
SRR16631313	yes	yes	0.1207	0.9007	7.462	0.943567	0.928155	496002	468011	1651	0
SRR16767125	yes	yes	0.1680	0.9155	5.449	0.941267	0.925771	497612	468386	1686	7
SRR17188519	yes	yes	0.1962	0.8930	4.551	0.938577	0.923510	1071959	1006116	2527	0
SRR30357565	yes	yes	0.2377	0.9921	4.174	0.877941	0.844984	6633490	5823810	5000	0
SRR30357568	yes	yes	0.2203	0.9983	4.532	0.874622	0.843058	6376035	5576621	5000	0
SRR30357567	yes	yes	0.2514	0.9922	3.947	0.877920	0.839687	6318350	5547006	5000	0
SRR30357566	yes	yes	0.4047	0.9900	2.446	0.825127	0.777531	4326503	3569916	5000	0
DRR213976	no	yes	0.7202	1.1061	1.536	0.756318	0.695998	1878046	1420400	5000	3
SRR26465560	no	no	0.9152	1.1863	1.296	0.640119	0.607020	506209	324034	4961	341
SRR26465563	no	no	0.9760	1.2349	1.265	0.555903	0.531093	434635	241615	4966	398
SRR26465523	no	no	0.9629	1.2267	1.274	0.485452	0.433789	506870	246061	4969	303
SRR26465524	no	no	0.9347	1.1596	1.241	0.488689	0.427406	824082	402720	4975	221
SRR26465526	no	no	0.9928	1.1968	1.205	0.480332	0.426942	644994	309811	4958	273
SRR26465521	no	no	0.9790	1.1654	1.190	0.485085	0.425216	680757	330225	4977	271
SRR24489322	yes	yes	0.4187	0.9449	2.257	0.466196	0.423914	1206208	562329	4941	58
SRR13183067	yes	yes	0.3797	0.6288	1.656	0.369010	0.359714	47286	17449	2762	250
SRR26715166	no	no	0.9120	1.1804	1.294	0.386438	0.321095	85046	32865	1252	2
SRR8618952	no	no	1.2002	1.4675	1.223	0.364972	0.320186	159645	58266	4824	93
SRR13183064	yes	yes	0.3016	0.4343	1.440	0.324834	0.316928	69534	22587	3441	186
SRR26715165	no	no	0.9380	1.1188	1.193	0.346743	0.282669	1105050	383168	5000	1
SRR10388020	no	no	1.0433	1.1804	1.131	0.294791	0.266052	284022	83727	5000	0
SRR10259778	yes	yes	0.4383	1.6604	3.788	0.310470	0.258661	4141772	1285896	4969	109
SRR10353548	no	no	1.0274	1.1517	1.121	0.279921	0.254180	299902	83949	5000	0
SRR10861751	no	no	0.9909	1.0799	1.090	0.260769	0.222239	438304	114296	5000	0
SRR10861747	no	no	0.9915	1.0720	1.081	0.231067	0.207074	364276	84172	5000	0
SRR12247681	no	no	1.0942	1.1982	1.095	0.208828	0.192371	100413	20969	4794	124
