accession	rung_every_nth	variant	retention_multiplier	seed	estimate_bp	estimate_over_truth	skew_score	skew_verdict	profile_median_depth	retained_reads	total_reads	normalization_engaged
SRR10353548	1	legacy	0	42	38987	0.0172	NA	NA	NA	NA	NA	no
SRR10353548	1	legacy	0	4556	39547	0.0174	NA	NA	NA	NA	NA	no
SRR10353548	1	legacy	0	7	39083	0.0172	NA	NA	NA	NA	NA	no
SRR10353548	1	norm_c1	1	42	2125672	0.9364	274.00	detected	21	57734	251253	yes
SRR10353548	1	norm_c1	1	4556	2191478	0.9654	281.00	detected	21	57851	251253	yes
SRR10353548	1	norm_c1	1	7	2097281	0.9239	286.00	detected	21	57643	251253	yes
SRR10353548	1	norm_c2	2	42	2144394	0.9447	274.00	detected	21	84555	251253	yes
SRR10353548	1	norm_c2	2	4556	2090136	0.9208	281.00	detected	21	84590	251253	yes
SRR10353548	1	norm_c2	2	7	2134790	0.9404	286.00	detected	21	84735	251253	yes
SRR10353548	1	norm_c3	3	42	2104810	0.9272	274.00	detected	21	101556	251253	yes
SRR10353548	1	norm_c3	3	4556	2177006	0.9590	281.00	detected	21	101828	251253	yes
SRR10353548	1	norm_c3	3	7	2227577	0.9813	286.00	detected	21	101784	251253	yes
SRR10353548	1	norm_c4	4	42	2102563	0.9262	274.00	detected	21	114848	251253	yes
SRR10353548	1	norm_c4	4	4556	2122072	0.9348	281.00	detected	21	114363	251253	yes
SRR10353548	1	norm_c4	4	7	2006417	0.8839	286.00	detected	21	114738	251253	yes
SRR10353548	1	norm_c6	6	42	2035865	0.8969	274.00	detected	21	126274	251253	yes
SRR10353548	1	norm_c6	6	4556	2011137	0.8860	281.00	detected	21	126194	251253	yes
SRR10353548	1	norm_c6	6	7	2106232	0.9279	286.00	detected	21	126115	251253	yes
SRR10353548	1	norm_c8	8	42	2097304	0.9239	274.00	detected	21	129554	251253	yes
SRR10353548	1	norm_c8	8	4556	2027114	0.8930	281.00	detected	21	129460	251253	yes
SRR10353548	1	norm_c8	8	7	2055288	0.9054	286.00	detected	21	129574	251253	yes
SRR10353548	13	legacy	0	42	38874	0.0171	NA	NA	NA	NA	NA	no
SRR10353548	13	legacy	0	4556	44052	0.0194	NA	NA	NA	NA	NA	no
SRR10353548	13	legacy	0	7	40905	0.0180	NA	NA	NA	NA	NA	no
SRR10353548	13	norm_c1	1	42	2111681	0.9303	72.00	detected	4	7213	19328	yes
SRR10353548	13	norm_c1	1	4556	2189121	0.9644	62.00	detected	4	7264	19328	yes
SRR10353548	13	norm_c1	1	7	2156313	0.9499	70.00	detected	4	7329	19328	yes
SRR10353548	13	norm_c2	2	42	2049366	0.9028	72.00	detected	4	9400	19328	yes
SRR10353548	13	norm_c2	2	4556	2104885	0.9273	62.00	detected	4	9417	19328	yes
SRR10353548	13	norm_c2	2	7	2135424	0.9407	70.00	detected	4	9363	19328	yes
SRR10353548	13	norm_c3	3	42	2057479	0.9064	72.00	detected	4	9853	19328	yes
SRR10353548	13	norm_c3	3	4556	2028750	0.8937	62.00	detected	4	9869	19328	yes
SRR10353548	13	norm_c3	3	7	2040761	0.8990	70.00	detected	4	9885	19328	yes
SRR10353548	13	norm_c4	4	42	2094386	0.9226	72.00	detected	4	10072	19328	yes
SRR10353548	13	norm_c4	4	4556	1970561	0.8681	62.00	detected	4	10081	19328	yes
SRR10353548	13	norm_c4	4	7	2012461	0.8865	70.00	detected	4	10129	19328	yes
SRR10353548	13	norm_c6	6	42	2132047	0.9392	72.00	detected	4	10372	19328	yes
SRR10353548	13	norm_c6	6	4556	1882964	0.8295	62.00	detected	4	10366	19328	yes
SRR10353548	13	norm_c6	6	7	2063304	0.9089	70.00	detected	4	10452	19328	yes
