condition	n	arm	wall_s_median	wall_s_p90	wall_s_max	wall_vs_v030_p25	wall_vs_v030_median	wall_vs_v030_p90	wall_vs_v030_p99	wall_vs_v030_max	rss_mb_median	rss_vs_v030_median	rss_vs_v030_p99	runs_faster_than_v030
all runs	3370	v030	15.59	40.15	943.38	1.000	1.000	1.000	1.000	1.000	948	1.000	1.000	0
all runs	3370	never	15.59	39.07	942.26	0.985	0.998	1.034	1.355	3.617	961	1.001	1.857	1778
all runs	3370	norm	15.93	39.23	452.19	0.997	1.015	1.099	1.600	3.007	975	1.026	1.909	911
all runs	3370	filter_auto	15.86	39.50	443.35	0.997	1.015	1.102	1.613	2.714	980	1.026	1.895	949
all runs	3370	filter_always	15.82	38.86	437.65	0.995	1.014	1.097	1.608	2.645	979	1.026	1.889	996
neither mechanism engages	3162	v030	15.12	36.60	300.97	1.000	1.000	1.000	1.000	1.000	948	1.000	1.000	0
neither mechanism engages	3162	never	15.16	36.40	295.74	0.986	0.999	1.035	1.355	2.506	959	1.001	1.857	1649
neither mechanism engages	3162	norm	15.46	37.03	267.49	0.998	1.015	1.073	1.419	2.645	976	1.025	1.909	833
neither mechanism engages	3162	filter_auto	15.47	36.66	272.29	0.997	1.015	1.074	1.417	2.667	981	1.026	1.895	872
neither mechanism engages	3162	filter_always	15.47	36.55	308.72	0.996	1.014	1.071	1.429	2.645	982	1.026	1.889	913
depth normalization engages	186	v030	26.41	122.97	943.38	1.000	1.000	1.000	1.000	1.000	923	1.000	1.000	0
depth normalization engages	186	never	25.48	122.43	942.26	0.982	0.995	1.018	1.302	3.617	964	1.001	1.697	116
depth normalization engages	186	norm	31.02	55.69	452.19	0.731	1.113	1.667	2.312	3.007	935	1.071	1.859	72
depth normalization engages	186	filter_auto	31.50	58.82	443.35	0.729	1.094	1.711	2.318	2.714	942	1.071	1.862	74
depth normalization engages	186	filter_always	30.54	53.72	437.65	0.741	1.104	1.692	2.311	2.514	938	1.075	1.861	75
the filter engages	30	v030	21.44	113.78	444.30	1.000	1.000	1.000	1.000	1.000	1846	1.000	1.000	0
the filter engages	30	never	22.20	112.06	439.30	0.979	0.994	1.053	3.617	3.617	1870	1.005	7.293	18
the filter engages	30	norm	23.10	95.57	452.19	0.992	1.028	1.328	2.451	2.451	1879	1.023	5.844	9
the filter engages	30	filter_auto	23.24	95.21	443.35	1.007	1.022	1.255	2.494	2.494	1892	1.022	5.795	7
the filter engages	30	filter_always	23.43	95.17	437.65	0.988	1.015	1.082	2.474	2.474	1894	1.025	5.789	12
