run	platform	class	legacy_ratio	normalized_ratio	skew_score	retained_fraction	profile_median_depth	target_len_shift
SRR25570561	OXFORD_NANOPORE	moved_but_still_in_band	0.9060	0.9423	16.0	0.8084	142	1.1522
SRR25570560	OXFORD_NANOPORE	moved_but_still_in_band	0.9085	0.9215	21.0	0.8363	144	1.1562
ERR10360290	OXFORD_NANOPORE	moved_but_still_in_band	0.9137	0.9775	16.0	0.3171	28	0.9956
SRR21362423	OXFORD_NANOPORE	moved_but_still_in_band	0.9153	0.9198	16.0	0.9432	77	1.0119
SRR28800581	OXFORD_NANOPORE	moved_but_still_in_band	0.9179	0.9143	16.0	0.9720	148	1.0227
SRR27967419	OXFORD_NANOPORE	moved_but_still_in_band	0.9197	0.9219	16.0	0.9873	123	1.0068
SRR14684526	OXFORD_NANOPORE	moved_but_still_in_band	0.9204	0.9943	20.0	0.7685	36	1.0440
SRR26643263	OXFORD_NANOPORE	moved_but_still_in_band	0.9363	0.9516	17.0	0.8383	121	1.1121
SRR12825098	OXFORD_NANOPORE	moved_but_still_in_band	0.9390	0.9683	16.0	0.6492	31	1.0152
SRR29516549	OXFORD_NANOPORE	moved_but_still_in_band	0.9406	0.9222	18.0	0.9503	128	1.0165
SRR30284786	OXFORD_NANOPORE	moved_but_still_in_band	0.9408	0.9436	60.0	0.9446	163	0.9994
SRR26465462	OXFORD_NANOPORE	moved_but_still_in_band	0.9462	0.9858	16.0	0.2235	32	0.9794
SRR23690829	OXFORD_NANOPORE	moved_but_still_in_band	0.9516	1.0581	16.0	0.2863	18	0.9458
DRR332829	OXFORD_NANOPORE	moved_but_still_in_band	0.9518	1.0397	18.0	0.5075	23	0.9630
SRR19165805	OXFORD_NANOPORE	moved_but_still_in_band	0.9518	0.9382	18.0	0.9601	69	0.9970
SRR25689478	OXFORD_NANOPORE	moved_but_still_in_band	0.9533	0.9391	18.0	0.8267	140	1.1456
SRR21224253	OXFORD_NANOPORE	moved_but_still_in_band	0.9561	1.0106	22.0	0.3726	3	1.0296
SRR15006055	OXFORD_NANOPORE	moved_but_still_in_band	0.9570	1.0547	20.0	0.3402	18	0.9330
SRR26465565	OXFORD_NANOPORE	moved_but_still_in_band	0.9574	0.9539	29.0	0.9050	89	1.0357
SRR21696337	OXFORD_NANOPORE	moved_but_still_in_band	0.9595	0.9369	19.0	0.9461	46	1.0198
SRR26465432	OXFORD_NANOPORE	moved_but_still_in_band	0.9596	0.9729	59.0	0.2192	26	1.0249
SRR26841315	OXFORD_NANOPORE	moved_but_still_in_band	0.9625	0.9936	19.0	0.3691	22	0.8859
SRR27256802	OXFORD_NANOPORE	moved_but_still_in_band	0.9634	0.9677	17.0	0.9910	171	1.0079
SRR19165795	OXFORD_NANOPORE	moved_but_still_in_band	0.9640	0.9909	20.0	0.7423	45	1.0169
