threshold	multiplier	rescued	regressed	net	sub05	mean_abs_log2	boot_net_lo	boot_net_hi	mean_err_vs_shipped	boot_err_lo	boot_err_hi
4	1	15	254	-239	11	0.2392	-269	-213	+0.02035	+0.01821	+0.02244
4	2	13	109	-96	13	0.2228	-117	-77	+0.00398	+0.00293	+0.00503
4	3	13	59	-46	12	0.2200	-64	-30	+0.00121	+0.00012	+0.00241
4	4	13	49	-36	12	0.2192	-51	-22	+0.00035	-0.00072	+0.00161
4	6	12	38	-26	13	0.2191	-43	-12	+0.00022	-0.00119	+0.00187
4	8	12	32	-20	13	0.2200	-35	-6	+0.00113	-0.00049	+0.00306
6	1	15	200	-185	11	0.2321	-214	-159	+0.01324	+0.01118	+0.01528
6	2	13	98	-85	13	0.2225	-103	-67	+0.00367	+0.00272	+0.00465
6	3	13	49	-36	12	0.2199	-53	-21	+0.00108	+0.00007	+0.00220
6	4	13	43	-30	12	0.2192	-43	-15	+0.00031	-0.00072	+0.00153
6	6	12	29	-17	13	0.2192	-31	-3	+0.00037	-0.00100	+0.00195
6	8	12	24	-12	13	0.2199	-24	1	+0.00108	-0.00051	+0.00301
8	1	15	131	-116	11	0.2265	-140	-94	+0.00770	+0.00577	+0.00953
8	2	13	77	-64	13	0.2218	-84	-45	+0.00296	+0.00209	+0.00391
8	3	13	39	-26	12	0.2199	-40	-13	+0.00110	+0.00012	+0.00214
8	4	13	29	-16	12	0.2195	-28	-3	+0.00066	-0.00032	+0.00185
8	6	12	16	-4	13	0.2195	-14	7	+0.00070	-0.00065	+0.00227
8	8	12	14	-2	13	0.2201	-11	9	+0.00125	-0.00031	+0.00313
10	1	15	78	-63	11	0.2232	-82	-45	+0.00438	+0.00271	+0.00601
10	2	13	53	-40	13	0.2207	-55	-25	+0.00188	+0.00108	+0.00268
10	3	13	29	-16	12	0.2197	-28	-3	+0.00085	-0.00012	+0.00186
10	4	13	24	-11	12	0.2196	-22	1	+0.00079	-0.00014	+0.00200
10	6	12	14	-2	13	0.2198	-12	9	+0.00100	-0.00032	+0.00254
10	8	12	12	0	13	0.2205	-9	10	+0.00164	+0.00009	+0.00351
12	1	15	44	-29	11	0.2209	-42	-16	+0.00211	+0.00070	+0.00339
12	2	13	32	-19	13	0.2197	-33	-6	+0.00085	+0.00027	+0.00149
12	3	13	18	-5	12	0.2193	-16	6	+0.00046	-0.00045	+0.00141
12	4	13	16	-3	12	0.2195	-13	8	+0.00066	-0.00023	+0.00180
12	6	12	10	2	13	0.2199	-7	11	+0.00110	-0.00019	+0.00261
12	8	12	9	3	13	0.2206	-6	13	+0.00179	+0.00026	+0.00364
14	1	15	26	-11	11	0.2195	-23	1	+0.00061	-0.00063	+0.00177
14	2	13	17	-4	13	0.2190	-14	7	+0.00021	-0.00021	+0.00076
14	3	13	10	3	12	0.2190	-6	13	+0.00013	-0.00071	+0.00102
14	4	13	8	5	12	0.2193	-4	14	+0.00047	-0.00041	+0.00156
14	6	12	6	6	13	0.2198	-2	15	+0.00099	-0.00031	+0.00247
14	8	12	6	6	13	0.2206	-2	15	+0.00177	+0.00027	+0.00355
16	1	15	18	-3	11	0.2189	-13	8	+0.00007	-0.00098	+0.00103
16	2	13	13	0	13	0.2188	-9	10	+0.00000	+0.00000	+0.00000
16	3	13	7	6	12	0.2189	-2	15	+0.00008	-0.00067	+0.00087
16	4	13	6	7	12	0.2195	-1	16	+0.00062	-0.00021	+0.00172
16	6	12	4	8	13	0.2199	1	16	+0.00102	-0.00022	+0.00246
16	8	12	4	8	13	0.2206	1	16	+0.00176	+0.00023	+0.00356
20	1	15	12	3	11	0.2188	-5	15	-0.00009	-0.00123	+0.00095
20	2	13	8	5	13	0.2190	-3	14	+0.00013	-0.00031	+0.00060
20	3	13	5	8	12	0.2192	0	16	+0.00038	-0.00047	+0.00127
20	4	13	5	8	12	0.2198	0	16	+0.00094	-0.00001	+0.00208
20	6	12	3	9	13	0.2202	2	17	+0.00136	+0.00006	+0.00286
20	8	12	4	8	13	0.2209	1	16	+0.00202	+0.00048	+0.00388
24	1	15	7	8	11	0.2184	-1	19	-0.00041	-0.00157	+0.00068
24	2	13	6	7	13	0.2191	-1	16	+0.00027	-0.00034	+0.00090
24	3	13	4	9	12	0.2194	2	18	+0.00054	-0.00043	+0.00151
24	4	13	4	9	12	0.2200	2	18	+0.00119	+0.00020	+0.00244
24	6	12	3	9	13	0.2205	2	17	+0.00164	+0.00034	+0.00319
24	8	12	3	9	13	0.2210	2	17	+0.00212	+0.00059	+0.00398
32	1	13	5	8	13	0.2194	0	17	+0.00060	-0.00072	+0.00192
32	2	12	4	8	14	0.2201	1	16	+0.00124	+0.00028	+0.00229
32	3	12	3	9	13	0.2202	2	17	+0.00140	+0.00027	+0.00270
32	4	12	3	9	13	0.2207	2	17	+0.00189	+0.00072	+0.00331
32	6	12	3	9	13	0.2211	2	17	+0.00226	+0.00082	+0.00394
32	8	12	3	9	13	0.2214	2	17	+0.00261	+0.00098	+0.00453
48	1	11	4	7	14	0.2222	0	15	+0.00333	+0.00137	+0.00569
48	2	11	3	8	14	0.2222	1	16	+0.00341	+0.00145	+0.00575
48	3	11	2	9	14	0.2223	2	16	+0.00345	+0.00150	+0.00578
48	4	11	2	9	14	0.2223	2	16	+0.00350	+0.00155	+0.00581
48	6	11	2	9	14	0.2224	2	16	+0.00360	+0.00164	+0.00598
48	8	11	2	9	14	0.2224	2	16	+0.00360	+0.00165	+0.00599
