run	mode	replicate	wall_s	max_rss_kb	estimate
DRR161274	never	1	17.99	1110736	6495052
DRR161274	never	2	17.83	1107024	6495052
DRR161274	never	3	17.87	1112156	6495052
DRR161274	auto	1	17.96	1131108	6495052
DRR161274	auto	2	18.06	1131388	6495052
DRR161274	auto	3	18.18	1136264	6495052
DRR161284	never	1	19.73	1190512	6592346
DRR161284	never	2	19.59	1188476	6592346
DRR161284	never	3	19.48	1183400	6592346
DRR161284	auto	1	19.55	1208308	6592346
DRR161284	auto	2	19.87	1214692	6592346
DRR161284	auto	3	20.07	1213004	6592346
DRR180486	never	1	31.1	1750216	5179458
DRR180486	never	2	31.33	1789888	5179458
DRR180486	never	3	31.76	1804780	5179458
DRR180486	auto	1	32.52	1815292	5179458
DRR180486	auto	2	32.34	1757940	5179458
DRR180486	auto	3	32.09	1830548	5179458
DRR189760	never	1	17.62	1414396	11857879
DRR189760	never	2	17.74	1413036	11857879
DRR189760	never	3	17.77	1419552	11857879
DRR189760	auto	1	18.26	1434848	11857879
DRR189760	auto	2	18.06	1435632	11857879
DRR189760	auto	3	17.95	1436436	11857879
DRR424729	never	1	100.08	2625568	1034507
DRR424729	never	2	100.49	2618328	1034507
DRR424729	never	3	101.88	2599120	1034507
DRR424729	auto	1	48.03	1408604	1187776
DRR424729	auto	2	47.79	1381956	1187776
DRR424729	auto	3	47.2	1409780	1187776
DRR513997	never	1	5.5	279084	3018808
DRR513997	never	2	5.55	281344	3018808
DRR513997	never	3	5.55	285088	3018808
DRR513997	auto	1	15.15	359384	4002556
DRR513997	auto	2	15.21	359644	4002556
DRR513997	auto	3	15.28	360172	4002556
ERR12041384	never	1	118.96	2297608	2381208
ERR12041384	never	2	118.28	2400676	2381208
ERR12041384	never	3	118.21	2309804	2381208
ERR12041384	auto	1	114.33	2299432	2406320
ERR12041384	auto	2	115.91	2248296	2406320
ERR12041384	auto	3	113.11	2291276	2406320
SRR10297968	never	1	70.3	2333628	5306218
SRR10297968	never	2	71.81	2329896	5306218
SRR10297968	never	3	71.97	2314144	5306218
SRR10297968	auto	1	22.59	1050312	4686347
SRR10297968	auto	2	22.63	1057304	4686347
SRR10297968	auto	3	22.71	1045456	4686347
SRR10390695	never	1	15.13	546256	4654199
SRR10390695	never	2	15	552108	4654199
SRR10390695	never	3	15.06	548244	4654199
SRR10390695	auto	1	15.78	553616	4654199
SRR10390695	auto	2	15.7	557616	4654199
SRR10390695	auto	3	15.71	553380	4654199
SRR11096308	never	1	22.6	1091020	3986144
SRR11096308	never	2	22.56	1056412	3986144
SRR11096308	never	3	22.96	1063464	3986144
SRR11096308	auto	1	19.88	1311812	3982696
SRR11096308	auto	2	19.9	1291752	3982696
SRR11096308	auto	3	19.95	1311052	3982696
SRR11559465	never	1	9.9	532156	2164232
SRR11559465	never	2	12.47	557052	2164232
SRR11559465	never	3	7.98	552480	2164232
SRR11559465	auto	1	7.97	578184	2164232
SRR11559465	auto	2	10.8	575100	2164232
SRR11559465	auto	3	9.79	550812	2164232
SRR12247756	never	1	24.41	704844	4911618
SRR12247756	never	2	23.67	688656	4911618
SRR12247756	never	3	24.13	704036	4911618
SRR12247756	auto	1	23.61	916724	5047818
SRR12247756	auto	2	22.41	917804	5047818
SRR12247756	auto	3	21.46	926460	5047818
SRR12299051	never	1	41.61	714516	5117172
SRR12299051	never	2	41.55	686388	5117172
SRR12299051	never	3	42.87	722100	5117172
SRR12299051	auto	1	23.8	905284	5841250
SRR12299051	auto	2	23.75	911124	5841250
SRR12299051	auto	3	23.63	891044	5841250
SRR13781387	never	1	14.19	889400	6012744
SRR13781387	never	2	14.18	889516	6012744
SRR13781387	never	3	14.54	885844	6012744
SRR13781387	auto	1	14.79	909604	6012744
SRR13781387	auto	2	14.65	906800	6012744
SRR13781387	auto	3	14.8	911868	6012744
SRR14867659	never	1	19.3	1171520	3094674
SRR14867659	never	2	19.13	1166944	3094674
SRR14867659	never	3	18.41	1169696	3094674
SRR14867659	auto	1	19.33	1196492	3094674
SRR14867659	auto	2	19.87	1193452	3094674
SRR14867659	auto	3	19.47	1199112	3094674
SRR17117182	never	1	7.5	630596	2294543
SRR17117182	never	2	7.49	626512	2294543
SRR17117182	never	3	7.34	626512	2294543
SRR17117182	auto	1	7.89	646116	2294543
SRR17117182	auto	2	7.83	654308	2294543
SRR17117182	auto	3	8.35	650212	2294543
SRR17118588	never	1	9.4	1142204	3698645
SRR17118588	never	2	9.83	1142784	3698645
SRR17118588	never	3	9.73	1140744	3698645
SRR17118588	auto	1	9.79	1170636	3698645
SRR17118588	auto	2	9.81	1166156	3698645
SRR17118588	auto	3	9.8	1172068	3698645
SRR21415836	never	1	7.99	781176	7718654
SRR21415836	never	2	7.96	779888	7718654
SRR21415836	never	3	7.96	776452	7718654
SRR21415836	auto	1	7.99	792696	7718654
SRR21415836	auto	2	8.34	793704	7718654
SRR21415836	auto	3	8.07	784516	7718654
SRR21449956	never	1	30.51	1966512	6279084
SRR21449956	never	2	30.69	1961932	6279084
SRR21449956	never	3	30.63	1950788	6279084
SRR21449956	auto	1	30.7	1919448	6279084
SRR21449956	auto	2	30.8	1972080	6279084
SRR21449956	auto	3	30.35	1905592	6279084
SRR21629999	never	1	24.39	1084384	4727163
SRR21629999	never	2	24.28	1092612	4727163
SRR21629999	never	3	24.61	1100428	4727163
SRR21629999	auto	1	24.3	1136920	4727163
SRR21629999	auto	2	24.31	1131944	4727163
SRR21629999	auto	3	24.49	1127844	4727163
SRR21630456	never	1	18.83	1020588	9635644
SRR21630456	never	2	18.35	1021532	9635644
SRR21630456	never	3	18.05	987012	9635644
SRR21630456	auto	1	18.05	1030040	9635644
SRR21630456	auto	2	18.65	1028928	9635644
SRR21630456	auto	3	18.48	1031936	9635644
SRR25607821	never	1	14.74	436584	3159292
SRR25607821	never	2	14.91	418040	3159292
SRR25607821	never	3	14.79	431692	3159292
SRR25607821	auto	1	15.01	452480	3159292
SRR25607821	auto	2	15.24	447296	3159292
SRR25607821	auto	3	15.25	436292	3159292
SRR9970116	never	1	28.98	1639664	4072588
SRR9970116	never	2	28.98	1687948	4072588
SRR9970116	never	3	28.74	1684912	4072588
SRR9970116	auto	1	29.1	1706224	4072588
SRR9970116	auto	2	29.3	1652608	4072588
SRR9970116	auto	3	29.17	1697508	4072588
