group	lower_pct	upper_pct	coverage	mean_width_rel	median_width_rel
nanopore	1	51	0.7062	0.7934	0.7852
nanopore	1	52	0.7411	0.8020	0.7928
nanopore	1	53	0.7767	0.8108	0.8009
nanopore	1	54	0.8185	0.8198	0.8091
nanopore	1	55	0.8436	0.8290	0.8183
nanopore	1	56	0.8728	0.8381	0.8265
nanopore	1	57	0.8967	0.8476	0.8353
nanopore	1	58	0.9226	0.8572	0.8439
nanopore	1	59	0.9364	0.8670	0.8526
nanopore	1	60	0.9489	0.8770	0.8617
nanopore	1	61	0.9575	0.8872	0.8713
nanopore	1	62	0.9676	0.8976	0.8811
nanopore	1	63	0.9708	0.9083	0.8909
nanopore	1	64	0.9769	0.9193	0.9003
nanopore	1	65	0.9818	0.9305	0.9102
nanopore	1	66	0.9854	0.9422	0.9211
nanopore	1	67	0.9866	0.9540	0.9324
nanopore	1	68	0.9895	0.9664	0.9432
nanopore	1	69	0.9911	0.9791	0.9548
nanopore	1	70	0.9923	0.9922	0.9662
nanopore	1	71	0.9923	1.0059	0.9775
nanopore	1	72	0.9931	1.0201	0.9896
nanopore	1	73	0.9943	1.0350	1.0036
nanopore	1	74	0.9955	1.0505	1.0170
nanopore	1	75	0.9959	1.0665	1.0305
nanopore	1	76	0.9959	1.0834	1.0444
nanopore	1	77	0.9968	1.1011	1.0606
nanopore	1	78	0.9972	1.1198	1.0773
nanopore	1	79	0.9972	1.1396	1.0931
nanopore	1	80	0.9976	1.1607	1.1128
nanopore	1	81	0.9976	1.1836	1.1311
nanopore	1	82	0.9976	1.2077	1.1513
nanopore	1	83	0.9980	1.2334	1.1726
nanopore	1	84	0.9984	1.2614	1.1956
nanopore	1	85	0.9984	1.2913	1.2213
nanopore	1	86	0.9984	1.3243	1.2484
nanopore	1	87	0.9984	1.3606	1.2748
nanopore	1	88	0.9984	1.4011	1.3038
nanopore	1	89	0.9988	1.4473	1.3394
nanopore	1	90	0.9988	1.5002	1.3777
nanopore	1	91	0.9992	1.5607	1.4234
nanopore	1	92	0.9992	1.6311	1.4777
nanopore	1	93	0.9992	1.7181	1.5389
nanopore	1	94	0.9996	1.8278	1.6177
nanopore	1	95	0.9996	1.9706	1.7209
nanopore	1	96	1.0000	2.1755	1.8544
nanopore	1	97	1.0000	2.4737	2.0539
nanopore	1	98	1.0000	3.0104	2.4007
nanopore	1	99	1.0000	4.2969	3.3791
nanopore	2	51	0.7062	0.7044	0.6895
nanopore	2	52	0.7411	0.7131	0.6970
nanopore	2	53	0.7767	0.7219	0.7044
nanopore	2	54	0.8185	0.7308	0.7135
nanopore	2	55	0.8436	0.7400	0.7225
nanopore	2	56	0.8728	0.7492	0.7302
nanopore	2	57	0.8967	0.7586	0.7399
nanopore	2	58	0.9226	0.7682	0.7481
nanopore	2	59	0.9364	0.7781	0.7576
nanopore	2	60	0.9489	0.7881	0.7662
nanopore	2	61	0.9575	0.7983	0.7753
nanopore	2	62	0.9676	0.8086	0.7851
nanopore	2	63	0.9708	0.8193	0.7953
nanopore	2	64	0.9769	0.8303	0.8055
nanopore	2	65	0.9818	0.8416	0.8161
nanopore	2	66	0.9854	0.8532	0.8263
nanopore	2	67	0.9866	0.8651	0.8376
nanopore	2	68	0.9895	0.8774	0.8486
nanopore	2	69	0.9911	0.8901	0.8597
nanopore	2	70	0.9923	0.9033	0.8706
nanopore	2	71	0.9923	0.9169	0.8842
nanopore	2	72	0.9931	0.9312	0.8983
nanopore	2	73	0.9943	0.9460	0.9115
nanopore	2	74	0.9955	0.9615	0.9248
nanopore	2	75	0.9959	0.9775	0.9394
nanopore	2	76	0.9959	0.9944	0.9540
nanopore	2	77	0.9968	1.0122	0.9700
nanopore	2	78	0.9972	1.0308	0.9875
nanopore	2	79	0.9972	1.0507	1.0051
nanopore	2	80	0.9976	1.0718	1.0216
nanopore	2	81	0.9976	1.0946	1.0408
nanopore	2	82	0.9976	1.1187	1.0602
nanopore	2	83	0.9980	1.1445	1.0802
nanopore	2	84	0.9984	1.1724	1.1051
nanopore	2	85	0.9984	1.2023	1.1326
nanopore	2	86	0.9984	1.2354	1.1557
nanopore	2	87	0.9984	1.2717	1.1839
nanopore	2	88	0.9984	1.3122	1.2167
nanopore	2	89	0.9988	1.3583	1.2511
nanopore	2	90	0.9988	1.4113	1.2938
nanopore	2	91	0.9992	1.4717	1.3385
nanopore	2	92	0.9992	1.5421	1.3927
nanopore	2	93	0.9992	1.6292	1.4490
nanopore	2	94	0.9996	1.7388	1.5284
nanopore	2	95	0.9996	1.8816	1.6277
nanopore	2	96	1.0000	2.0865	1.7549
nanopore	2	97	1.0000	2.3847	1.9566
nanopore	2	98	1.0000	2.9214	2.3017
nanopore	2	99	1.0000	4.2079	3.2851
nanopore	3	51	0.7058	0.6383	0.6071
nanopore	3	52	0.7407	0.6470	0.6158
nanopore	3	53	0.7763	0.6558	0.6240
nanopore	3	54	0.8181	0.6648	0.6326
nanopore	3	55	0.8432	0.6739	0.6421
nanopore	3	56	0.8724	0.6831	0.6499
nanopore	3	57	0.8963	0.6925	0.6608
nanopore	3	58	0.9222	0.7021	0.6698
nanopore	3	59	0.9360	0.7120	0.6791
nanopore	3	60	0.9485	0.7220	0.6894
nanopore	3	61	0.9571	0.7322	0.6998
nanopore	3	62	0.9672	0.7425	0.7092
nanopore	3	63	0.9704	0.7533	0.7197
nanopore	3	64	0.9765	0.7643	0.7296
nanopore	3	65	0.9814	0.7755	0.7401
nanopore	3	66	0.9850	0.7872	0.7504
nanopore	3	67	0.9862	0.7990	0.7615
nanopore	3	68	0.9891	0.8113	0.7707
nanopore	3	69	0.9907	0.8240	0.7822
nanopore	3	70	0.9919	0.8372	0.7952
nanopore	3	71	0.9919	0.8508	0.8078
nanopore	3	72	0.9927	0.8651	0.8214
nanopore	3	73	0.9939	0.8799	0.8346
nanopore	3	74	0.9951	0.8954	0.8475
nanopore	3	75	0.9955	0.9114	0.8616
nanopore	3	76	0.9955	0.9283	0.8773
nanopore	3	77	0.9964	0.9461	0.8944
nanopore	3	78	0.9968	0.9647	0.9105
nanopore	3	79	0.9968	0.9846	0.9285
nanopore	3	80	0.9972	1.0057	0.9479
nanopore	3	81	0.9972	1.0285	0.9677
nanopore	3	82	0.9972	1.0526	0.9872
nanopore	3	83	0.9976	1.0784	1.0093
nanopore	3	84	0.9980	1.1064	1.0319
nanopore	3	85	0.9980	1.1362	1.0560
nanopore	3	86	0.9980	1.1693	1.0857
nanopore	3	87	0.9980	1.2056	1.1141
nanopore	3	88	0.9980	1.2461	1.1457
nanopore	3	89	0.9984	1.2922	1.1797
nanopore	3	90	0.9984	1.3452	1.2215
nanopore	3	91	0.9988	1.4056	1.2680
nanopore	3	92	0.9988	1.4760	1.3180
nanopore	3	93	0.9988	1.5631	1.3831
nanopore	3	94	0.9992	1.6727	1.4547
nanopore	3	95	0.9992	1.8155	1.5530
nanopore	3	96	0.9996	2.0204	1.6840
nanopore	3	97	0.9996	2.3186	1.8837
nanopore	3	98	0.9996	2.8553	2.2368
nanopore	3	99	0.9996	4.1419	3.2043
nanopore	4	51	0.7050	0.5907	0.5512
nanopore	4	52	0.7399	0.5994	0.5601
nanopore	4	53	0.7755	0.6082	0.5675
nanopore	4	54	0.8173	0.6172	0.5758
nanopore	4	55	0.8424	0.6263	0.5846
nanopore	4	56	0.8716	0.6355	0.5938
nanopore	4	57	0.8955	0.6449	0.6029
nanopore	4	58	0.9214	0.6545	0.6131
nanopore	4	59	0.9352	0.6644	0.6237
nanopore	4	60	0.9477	0.6744	0.6338
nanopore	4	61	0.9562	0.6846	0.6440
nanopore	4	62	0.9664	0.6949	0.6540
