group	target	lower_pct	upper_pct	n_runs	coverage	mean_width_rel	median_width_rel	fit_coverage	holdout_coverage
nanopore	0.90	27.5	61.5	2468	0.9024	0.2939	0.2708	0.8954	0.9162
nanopore	0.92	24.5	61.5	2468	0.9214	0.3224	0.2961	0.9143	0.9356
nanopore	0.95	20.5	63.5	2468	0.9522	0.3854	0.3536	0.9459	0.9648
nanopore	0.97	19.5	67.5	2468	0.9700	0.4432	0.4061	0.9672	0.9757
pacbio_nanopore_preset	0.90	2.5	62.5	902	0.9013	1.1399	0.8482	0.9018	0.9003
pacbio_nanopore_preset	0.92	1	62	902	0.9224	1.2705	0.9705	0.9235	0.9203
pacbio_nanopore_preset	0.95	0.5	68.5	902	0.9501	1.5234	1.1349	0.9468	0.9568
pacbio_nanopore_preset	0.97	0.5	83	902	0.9701	2.2837	1.4820	0.9667	0.9767
pacbio	0.90	7	61.5	902	0.9002	0.7110	0.5880	0.8985	0.9037
pacbio	0.92	4	62.5	902	0.9202	0.8256	0.6995	0.9201	0.9203
pacbio	0.95	1	61.5	902	0.9501	0.9882	0.8512	0.9484	0.9535
pacbio	0.97	1	70.5	902	0.9701	1.1599	0.9606	0.9684	0.9734
