group	run	truth_percentile
nanopore	DRR154116	24.16
nanopore	DRR161250	32.36
nanopore	DRR161253	30.89
nanopore	DRR161254	27.69
nanopore	DRR161255	32.62
nanopore	DRR161257	31.92
nanopore	DRR161260	31.75
nanopore	DRR161262	33.89
nanopore	DRR161264	34.89
nanopore	DRR161266	28.63
nanopore	DRR161268	33.47
nanopore	DRR161269	37.52
nanopore	DRR161273	32.40
nanopore	DRR161274	32.69
nanopore	DRR161276	35.62
nanopore	DRR161277	35.14
nanopore	DRR161282	35.42
nanopore	DRR161284	35.52
nanopore	DRR161286	27.66
nanopore	DRR161287	32.20
nanopore	DRR161289	35.98
nanopore	DRR161292	31.37
nanopore	DRR161301	24.56
nanopore	DRR161302	38.13
nanopore	DRR164908	39.83
nanopore	DRR164909	32.27
nanopore	DRR164910	29.61
nanopore	DRR164912	46.49
nanopore	DRR164913	49.68
nanopore	DRR164914	35.45
nanopore	DRR174575	43.83
nanopore	DRR177331	38.76
nanopore	DRR180484	49.43
nanopore	DRR180486	50.63
nanopore	DRR180676	30.11
nanopore	DRR184353	28.29
nanopore	DRR187482	46.59
nanopore	DRR187571	32.06
nanopore	DRR202929	49.03
nanopore	DRR203156	45.06
nanopore	DRR204804	12.26
nanopore	DRR205605	18.08
nanopore	DRR206394	47.44
nanopore	DRR206400	41.37
nanopore	DRR206401	46.31
nanopore	DRR207366	49.32
nanopore	DRR207436	27.88
nanopore	DRR213976	72.96
nanopore	DRR218419	44.40
nanopore	DRR218421	47.79
nanopore	DRR239359	23.26
nanopore	DRR239360	20.61
nanopore	DRR252636	55.47
nanopore	DRR252637	54.20
nanopore	DRR252638	50.29
nanopore	DRR257742	50.76
nanopore	DRR257743	53.80
nanopore	DRR258632	30.40
nanopore	DRR258751	41.84
nanopore	DRR259339	42.44
nanopore	DRR261204	31.13
nanopore	DRR261205	30.79
nanopore	DRR276529	49.78
nanopore	DRR276531	34.90
nanopore	DRR276630	39.39
nanopore	DRR283417	27.89
nanopore	DRR286071	41.71
nanopore	DRR287515	38.46
nanopore	DRR295877	42.25
nanopore	DRR300286	43.29
nanopore	DRR311297	20.28
nanopore	DRR313296	30.55
nanopore	DRR328211	52.71
nanopore	DRR328964	40.94
nanopore	DRR328966	50.68
nanopore	DRR328968	44.81
nanopore	DRR328970	47.81
nanopore	DRR332829	44.80
nanopore	DRR346609	47.88
nanopore	DRR346622	44.74
nanopore	DRR346624	46.75
nanopore	DRR381751	60.28
nanopore	DRR381752	52.91
nanopore	DRR381753	63.57
nanopore	DRR381755	58.12
nanopore	DRR381756	50.30
nanopore	DRR381758	49.37
nanopore	DRR381759	61.26
nanopore	DRR381761	57.02
nanopore	DRR381762	48.63
nanopore	DRR381763	61.03
nanopore	DRR381764	54.97
nanopore	DRR381765	55.90
