group	lower_pct	upper_pct	n_runs	coverage	coverage_lo	coverage_hi	mean_width_rel	median_width_rel
nanopore	1	51	2468	0.7062	0.6880	0.7237	0.7934	0.7852
nanopore	2	52	2468	0.7411	0.7237	0.7577	0.7131	0.6970
nanopore	3	53	2468	0.7763	0.7601	0.7925	0.6558	0.6240
nanopore	4	54	2468	0.8173	0.8014	0.8323	0.6172	0.5758
nanopore	5	55	2468	0.8424	0.8278	0.8570	0.5871	0.5417
nanopore	6	56	2468	0.8712	0.8578	0.8845	0.5630	0.5170
nanopore	7	57	2468	0.8942	0.8825	0.9060	0.5435	0.4968
nanopore	8	58	2468	0.9186	0.9076	0.9295	0.5275	0.4798
nanopore	9	59	2468	0.9315	0.9214	0.9412	0.5143	0.4671
nanopore	10	60	2468	0.9433	0.9335	0.9518	0.5027	0.4566
nanopore	11	61	2468	0.9514	0.9429	0.9595	0.4933	0.4479
nanopore	12	62	2468	0.9599	0.9518	0.9680	0.4854	0.4419
nanopore	13	63	2468	0.9615	0.9534	0.9684	0.4792	0.4371
nanopore	14	64	2468	0.9668	0.9595	0.9737	0.4744	0.4326
nanopore	15	65	2468	0.9700	0.9631	0.9765	0.4709	0.4313
nanopore	16	66	2468	0.9720	0.9647	0.9781	0.4687	0.4297
nanopore	17	67	2468	0.9716	0.9652	0.9781	0.4674	0.4281
nanopore	18	68	2468	0.9737	0.9672	0.9801	0.4671	0.4271
nanopore	19	69	2468	0.9729	0.9664	0.9789	0.4678	0.4277
nanopore	20	70	2468	0.9720	0.9647	0.9781	0.4694	0.4290
nanopore	21	71	2468	0.9680	0.9611	0.9745	0.4721	0.4312
nanopore	22	72	2468	0.9635	0.9562	0.9708	0.4757	0.4333
nanopore	23	73	2468	0.9591	0.9510	0.9668	0.4800	0.4361
nanopore	24	74	2468	0.9566	0.9481	0.9643	0.4854	0.4404
nanopore	25	75	2468	0.9481	0.9392	0.9567	0.4917	0.4468
nanopore	26	76	2468	0.9429	0.9340	0.9522	0.4990	0.4525
nanopore	27	77	2468	0.9392	0.9291	0.9485	0.5073	0.4609
nanopore	28	78	2468	0.9311	0.9210	0.9412	0.5169	0.4678
nanopore	29	79	2468	0.9238	0.9129	0.9335	0.5278	0.4752
nanopore	30	80	2468	0.9137	0.9024	0.9250	0.5402	0.4855
nanopore	31	81	2468	0.9036	0.8922	0.9149	0.5545	0.4939
nanopore	32	82	2468	0.8902	0.8776	0.9028	0.5702	0.5044
nanopore	33	83	2468	0.8805	0.8679	0.8930	0.5876	0.5178
nanopore	34	84	2468	0.8655	0.8517	0.8793	0.6073	0.5336
nanopore	35	85	2468	0.8497	0.8355	0.8643	0.6290	0.5506
nanopore	36	86	2468	0.8343	0.8193	0.8485	0.6538	0.5696
nanopore	37	87	2468	0.8148	0.7990	0.8306	0.6820	0.5907
nanopore	38	88	2468	0.7921	0.7755	0.8079	0.7143	0.6144
nanopore	39	89	2468	0.7686	0.7524	0.7848	0.7525	0.6432
nanopore	40	90	2468	0.7411	0.7241	0.7585	0.7974	0.6766
nanopore	41	91	2468	0.7164	0.6985	0.7346	0.8498	0.7156
nanopore	42	92	2468	0.6763	0.6576	0.6953	0.9122	0.7633
nanopore	43	93	2468	0.6402	0.6207	0.6572	0.9911	0.8150
nanopore	44	94	2468	0.5964	0.5762	0.6155	1.0927	0.8864
nanopore	45	95	2468	0.5470	0.5263	0.5669	1.2273	0.9729
nanopore	46	96	2468	0.5089	0.4890	0.5292	1.4240	1.0950
nanopore	47	97	2468	0.4672	0.4473	0.4866	1.7139	1.2855
nanopore	48	98	2468	0.4214	0.4007	0.4412	2.2423	1.6336
nanopore	49	99	2468	0.3780	0.3594	0.3975	3.5205	2.6287
pacbio_nanopore_preset	1	51	902	0.8304	0.8071	0.8570	1.0420	0.8396
pacbio_nanopore_preset	2	52	902	0.8182	0.7916	0.8426	0.9548	0.7607
pacbio_nanopore_preset	3	53	902	0.8038	0.7783	0.8293	0.9039	0.7078
pacbio_nanopore_preset	4	54	902	0.7849	0.7572	0.8126	0.8698	0.6702
pacbio_nanopore_preset	5	55	902	0.7639	0.7361	0.7905	0.8459	0.6443
pacbio_nanopore_preset	6	56	902	0.7572	0.7306	0.7849	0.8302	0.6186
pacbio_nanopore_preset	7	57	902	0.7417	0.7140	0.7705	0.8187	0.5984
pacbio_nanopore_preset	8	58	902	0.7306	0.7007	0.7594	0.8113	0.5871
pacbio_nanopore_preset	9	59	902	0.7162	0.6851	0.7439	0.8067	0.5755
pacbio_nanopore_preset	10	60	902	0.7151	0.6851	0.7439	0.8054	0.5663
pacbio_nanopore_preset	11	61	902	0.6918	0.6608	0.7195	0.8061	0.5606
pacbio_nanopore_preset	12	62	902	0.6718	0.6408	0.7007	0.8098	0.5547
pacbio_nanopore_preset	13	63	902	0.6541	0.6231	0.6840	0.8157	0.5524
pacbio_nanopore_preset	14	64	902	0.6208	0.5898	0.6530	0.8229	0.5517
pacbio_nanopore_preset	15	65	902	0.6020	0.5687	0.6341	0.8323	0.5519
pacbio_nanopore_preset	16	66	902	0.5765	0.5443	0.6086	0.8438	0.5523
pacbio_nanopore_preset	17	67	902	0.5588	0.5266	0.5931	0.8572	0.5572
pacbio_nanopore_preset	18	68	902	0.5355	0.5011	0.5676	0.8721	0.5623
pacbio_nanopore_preset	19	69	902	0.5166	0.4845	0.5488	0.8891	0.5652
pacbio_nanopore_preset	20	70	902	0.4867	0.4545	0.5211	0.9083	0.5703
pacbio_nanopore_preset	21	71	902	0.4656	0.4335	0.4978	0.9304	0.5753
pacbio_nanopore_preset	22	72	902	0.4523	0.4202	0.4856	0.9552	0.5835
pacbio_nanopore_preset	23	73	902	0.4390	0.4080	0.4712	0.9822	0.5946
pacbio_nanopore_preset	24	74	902	0.4124	0.3792	0.4446	1.0110	0.6055
pacbio_nanopore_preset	25	75	902	0.3825	0.3514	0.4146	1.0423	0.6175
pacbio_nanopore_preset	26	76	902	0.3525	0.3215	0.3825	1.0762	0.6340
pacbio_nanopore_preset	27	77	902	0.3248	0.2938	0.3559	1.1137	0.6497
pacbio_nanopore_preset	28	78	902	0.3093	0.2794	0.3404	1.1555	0.6633
pacbio_nanopore_preset	29	79	902	0.2838	0.2550	0.3137	1.2015	0.6840
pacbio_nanopore_preset	30	80	902	0.2616	0.2317	0.2882	1.2516	0.7003
pacbio_nanopore_preset	31	81	902	0.2450	0.2195	0.2727	1.3077	0.7221
pacbio_nanopore_preset	32	82	902	0.2228	0.1951	0.2506	1.3708	0.7431
pacbio_nanopore_preset	33	83	902	0.2062	0.1796	0.2317	1.4402	0.7699
pacbio_nanopore_preset	34	84	902	0.1951	0.1707	0.2217	1.5196	0.8020
pacbio_nanopore_preset	35	85	902	0.1851	0.1596	0.2095	1.6107	0.8371
pacbio_nanopore_preset	36	86	902	0.1785	0.1530	0.2029	1.7201	0.8721
pacbio_nanopore_preset	37	87	902	0.1718	0.1486	0.1963	1.8406	0.9153
pacbio_nanopore_preset	38	88	902	0.1674	0.1441	0.1907	1.9806	0.9620
pacbio_nanopore_preset	39	89	902	0.1619	0.1375	0.1851	2.1464	1.0259
