accession	class	auto_normalized	skew_score	auto_median_depth	old_always_median_depth	new_always_median_depth	old_depth_ratio	new_depth_ratio	old_estimates_agree	new_estimates_agree	old_selections_agree	new_selections_agree	auto_retained_reads	old_always_retained_reads	new_always_retained_reads
DRR213976	outlier	yes	33.00	27	16	27	0.593	1.000	no	yes	no	yes	39586	29804	39586
SRR10259778	outlier	yes	43.00	24	18	24	0.750	1.000	no	yes	no	yes	35104	33262	35104
SRR10353548	outlier	yes	281.00	21	10	21	0.476	1.000	no	yes	no	yes	84208	55705	84208
SRR10388020	outlier	yes	205.00	16	7	16	0.438	1.000	no	yes	no	yes	66867	42361	66867
SRR10861747	outlier	yes	340.00	21	8	21	0.381	1.000	no	yes	no	yes	45443	22228	45443
SRR10861751	outlier	yes	203.00	15	4	15	0.267	1.000	no	yes	no	yes	25034	9780	25034
SRR12247681	control	yes	104.00	27	13	27	0.481	1.000	no	yes	no	yes	141292	96360	141292
SRR24489322	outlier	yes	21.00	26	17	26	0.654	1.000	no	yes	no	yes	55406	47513	55406
SRR26465521	outlier	yes	252.00	34	4	34	0.118	1.000	no	yes	no	yes	23571	3990	23571
SRR26465523	outlier	yes	142.00	44	3	44	0.068	1.000	no	yes	no	yes	29721	4491	29721
SRR26465524	outlier	yes	180.00	30	3	30	0.100	1.000	no	yes	no	yes	15422	2739	15422
SRR26465526	outlier	yes	426.00	31	4	31	0.129	1.000	no	yes	no	yes	23258	4078	23258
SRR26465560	outlier	yes	165.00	67	5	67	0.075	1.000	no	yes	no	yes	65360	9425	65360
SRR26465563	outlier	yes	86.00	76	4	76	0.053	1.000	no	yes	no	yes	59957	7466	59957
SRR26715165	outlier	yes	47.00	13	6	13	0.462	1.000	no	yes	no	yes	15243	9340	15243
SRR26715166	outlier	yes	64.00	3	1	3	0.333	1.000	no	yes	no	yes	3756	1914	3756
SRR8618952	control	no	6.00	NA	26	33	NA	NA	NA	NA	NA	NA	NA	135918	136063
