accession	class	platform	truth_bp	rung_every_nth	mode	seed	target_reads_requested	query_reads_requested	estimate_bp	estimate_over_truth	iqr_low_bp	iqr_high_bp	normalization_engaged	skew_score	skew_verdict	detection_sample_reads	profile_median_depth	retained_reads	total_reads	queries_without_overlaps_pct	small_pool_warning	elapsed	max_rss_kb	exit_status	run_dir
SRR10353548	outlier	OXFORD_NANOPORE	2269994	1	never	7	1500	750	39083	0.017	27460	1950000	no	NA	NA	NA	NA	NA	251253	4.80	no	0:15.48	212752	0	runs/SRR10353548/n1.never.s7
SRR10353548	outlier	OXFORD_NANOPORE	2269994	1	never	42	1500	750	38987	0.017	27220	1620000	no	NA	NA	NA	NA	NA	251253	6.27	no	0:15.78	205464	0	runs/SRR10353548/n1.never.s42
SRR10353548	outlier	OXFORD_NANOPORE	2269994	1	never	4556	1500	750	39547	0.017	27990	1860000	no	NA	NA	NA	NA	NA	251253	6.00	no	0:15.20	197720	0	runs/SRR10353548/n1.never.s4556
SRR10353548	outlier	OXFORD_NANOPORE	2269994	1	auto	7	1500	750	2134790	0.940	869660	2720000	yes	286.00	detected	2442	21	84735	251253	2.40	no	0:19.50	130416	0	runs/SRR10353548/n1.auto.s7
SRR10353548	outlier	OXFORD_NANOPORE	2269994	1	auto	42	1500	750	2144394	0.945	825930	2740000	yes	274.00	detected	2489	21	84555	251253	1.47	no	0:19.59	137816	0	runs/SRR10353548/n1.auto.s42
SRR10353548	outlier	OXFORD_NANOPORE	2269994	1	auto	4556	1500	750	2090136	0.921	890990	2770000	yes	281.00	detected	2546	21	84590	251253	1.47	no	0:19.03	137104	0	runs/SRR10353548/n1.auto.s4556
SRR10353548	outlier	OXFORD_NANOPORE	2269994	1	always	7	1500	750	2134790	0.940	869660	2720000	yes	NA	not reported	2442	21	84735	251253	2.40	no	0:19.36	145236	0	runs/SRR10353548/n1.always.s7
SRR10353548	outlier	OXFORD_NANOPORE	2269994	1	always	42	1500	750	2144394	0.945	825930	2740000	yes	NA	not reported	2489	21	84555	251253	1.47	no	0:19.10	138472	0	runs/SRR10353548/n1.always.s42
SRR10353548	outlier	OXFORD_NANOPORE	2269994	1	always	4556	1500	750	2090136	0.921	890990	2770000	yes	NA	not reported	2546	21	84590	251253	1.47	no	0:18.97	143000	0	runs/SRR10353548/n1.always.s4556
SRR10353548	outlier	OXFORD_NANOPORE	2269994	8	never	7	1500	750	40224	0.018	28980	1800000	no	NA	NA	NA	NA	NA	31407	4.53	no	0:03.13	200944	0	runs/SRR10353548/n8.never.s7
SRR10353548	outlier	OXFORD_NANOPORE	2269994	8	never	42	1500	750	40636	0.018	28070	2100000	no	NA	NA	NA	NA	NA	31407	4.53	no	0:02.99	190936	0	runs/SRR10353548/n8.never.s42
SRR10353548	outlier	OXFORD_NANOPORE	2269994	8	never	4556	1500	750	40039	0.018	26890	1270000	no	NA	NA	NA	NA	NA	31407	4.27	no	0:03.12	192208	0	runs/SRR10353548/n8.never.s4556
SRR10353548	outlier	OXFORD_NANOPORE	2269994	8	auto	7	1500	750	2099323	0.925	566850	2720000	yes	69.00	detected	500	6	15149	31407	1.87	no	0:01.06	171764	0	runs/SRR10353548/n8.auto.s7
SRR10353548	outlier	OXFORD_NANOPORE	2269994	8	auto	42	1500	750	2169375	0.956	758830	2810000	yes	71.00	detected	500	6	15155	31407	2.13	no	0:01.10	160472	0	runs/SRR10353548/n8.auto.s42
SRR10353548	outlier	OXFORD_NANOPORE	2269994	8	auto	4556	1500	750	2088218	0.920	752390	2670000	yes	65.00	detected	500	6	15146	31407	1.33	no	0:01.04	169548	0	runs/SRR10353548/n8.auto.s4556
SRR10353548	outlier	OXFORD_NANOPORE	2269994	8	always	7	1500	750	2099323	0.925	566850	2720000	yes	NA	not reported	500	6	15149	31407	1.87	no	0:01.09	176740	0	runs/SRR10353548/n8.always.s7
SRR10353548	outlier	OXFORD_NANOPORE	2269994	8	always	42	1500	750	2169375	0.956	758830	2810000	yes	NA	not reported	500	6	15155	31407	2.13	no	0:01.09	168416	0	runs/SRR10353548/n8.always.s42
SRR10353548	outlier	OXFORD_NANOPORE	2269994	8	always	4556	1500	750	2088218	0.920	752390	2670000	yes	NA	not reported	500	6	15146	31407	1.33	no	0:01.05	162272	0	runs/SRR10353548/n8.always.s4556
SRR10353548	outlier	OXFORD_NANOPORE	2269994	13	never	7	1500	750	40905	0.018	28090	1580000	no	NA	NA	NA	NA	NA	19328	4.00	no	0:02.99	190932	0	runs/SRR10353548/n13.never.s7
SRR10353548	outlier	OXFORD_NANOPORE	2269994	13	never	42	1500	750	38874	0.017	29190	2080000	no	NA	NA	NA	NA	NA	19328	4.53	no	0:02.95	191380	0	runs/SRR10353548/n13.never.s42
SRR10353548	outlier	OXFORD_NANOPORE	2269994	13	never	4556	1500	750	44052	0.019	28140	2080000	no	NA	NA	NA	NA	NA	19328	5.60	no	0:02.80	211580	0	runs/SRR10353548/n13.never.s4556
SRR10353548	outlier	OXFORD_NANOPORE	2269994	13	auto	7	1500	750	2135424	0.941	882310	2670000	yes	70.00	detected	500	4	9363	19328	1.47	no	0:00.83	180852	0	runs/SRR10353548/n13.auto.s7
SRR10353548	outlier	OXFORD_NANOPORE	2269994	13	auto	42	1500	750	2049366	0.903	656400	2590000	yes	72.00	detected	500	4	9400	19328	0.80	no	0:00.80	162644	0	runs/SRR10353548/n13.auto.s42
SRR10353548	outlier	OXFORD_NANOPORE	2269994	13	auto	4556	1500	750	2104885	0.927	788660	2700000	yes	62.00	detected	500	4	9417	19328	1.47	no	0:00.78	165560	0	runs/SRR10353548/n13.auto.s4556
SRR10353548	outlier	OXFORD_NANOPORE	2269994	13	always	7	1500	750	2135424	0.941	882310	2670000	yes	NA	not reported	500	4	9363	19328	1.47	no	0:00.77	171308	0	runs/SRR10353548/n13.always.s7
SRR10353548	outlier	OXFORD_NANOPORE	2269994	13	always	42	1500	750	2049366	0.903	656400	2590000	yes	NA	not reported	500	4	9400	19328	0.80	no	0:00.77	166912	0	runs/SRR10353548/n13.always.s42
SRR10353548	outlier	OXFORD_NANOPORE	2269994	13	always	4556	1500	750	2104885	0.927	788660	2700000	yes	NA	not reported	500	4	9417	19328	1.47	no	0:00.81	169928	0	runs/SRR10353548/n13.always.s4556
