fixture	truth_bp	truth_source	seed	mode	target_reads_requested	query_reads_requested	estimate_bp	estimate_over_truth	queries_without_overlaps_pct
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	1	never	100	50	225511	0.069	80.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	1	auto	100	50	569244	0.175	82.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	2	never	100	50	345846	0.106	74.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	2	auto	100	50	537682	0.165	80.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	3	never	100	50	132069	0.041	64.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	3	auto	100	50	637068	0.196	78.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	4	never	100	50	43830	0.013	72.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	4	auto	100	50	523646	0.161	84.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	5	never	100	50	100627	0.031	80.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	5	auto	100	50	634892	0.195	76.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	6	never	100	50	146132	0.045	80.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	6	auto	100	50	714078	0.219	86.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	7	never	100	50	52189	0.016	72.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	7	auto	100	50	509902	0.157	78.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	8	never	100	50	123358	0.038	72.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	8	auto	100	50	444386	0.137	90.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	9	never	100	50	208570	0.064	68.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	9	auto	100	50	456447	0.140	72.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	10	never	100	50	220709	0.068	68.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	10	auto	100	50	361593	0.111	80.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	11	never	100	50	403716	0.124	72.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	11	auto	100	50	494998	0.152	84.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	12	never	100	50	341269	0.105	80.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	12	auto	100	50	645775	0.198	88.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	13	never	100	50	153629	0.047	72.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	13	auto	100	50	673280	0.207	78.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	14	never	100	50	340254	0.105	70.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	14	auto	100	50	476032	0.146	76.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	15	never	100	50	336758	0.103	68.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	15	auto	100	50	353441	0.109	82.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	16	never	100	50	157547	0.048	62.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	16	auto	100	50	329340	0.101	82.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	17	never	100	50	189269	0.058	72.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	17	auto	100	50	654140	0.201	84.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	18	never	100	50	53513	0.016	70.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	18	auto	100	50	471046	0.145	80.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	19	never	100	50	144178	0.044	72.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	19	auto	100	50	440222	0.135	90.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	20	never	100	50	370792	0.114	72.00
lrge/tests/data/toy.bam	3254809	LRE_04 final assembly, 7 contigs	20	auto	100	50	476917	0.147	80.00
