sample,strategy,longest,overlap,repeat,estimate,memory,cpu_time
ATCC_35897,long,5000,1000,0,2700824.8227272728,1027036,50.65
ATCC_19119,long,5000,1000,0,2898175.2,1107080,46.82
BPH2947,long,5000,1000,0,2526617.6380952382,1604472,93.09
ATCC_10708,long,5000,1000,0,4392489.895833334,908236,28.05
KPC2,long,5000,1000,0,4662014.260416666,2095688,90.21
RDH275,long,5000,1000,0,1689834.7348484849,844412,42.37
AJ292,long,5000,1000,0,4760248.377289377,2606044,127.06
ATCC_17802,long,5000,1000,0,5022579.885714286,1252908,35.01
ATCC_35221,long,5000,1000,0,1457651.8571428573,871836,48.51
AMtb_1,long,5000,1000,0,3875783.9999999995,727324,18.05
MMC234,long,5000,1000,0,1767461.8506493508,1010172,58.79
ATCC_33560,long,5000,1000,0,1717406.9583333333,867132,49.72
ATCC_BAA-679,long,5000,1000,0,2896658.8365384615,951204,44.17
ATCC_25922,long,5000,1000,0,4228012.714285715,1663496,47.93
ATCC_35897,long,5000,500,0,2683662.833333333,999852,27.71
ATCC_19119,long,5000,500,0,2901292.9999999995,1112300,28.51
BPH2947,long,5000,500,0,2517920.928571428,1595548,51.52
ATCC_10708,long,5000,500,0,4387372.0,909488,19.28
KPC2,long,5000,500,0,4624062.066666666,2113556,56.45
RDH275,long,5000,500,0,1689333.288888889,839016,22.57
AJ292,long,5000,500,0,4726426.284722222,2577684,72.12
ATCC_17802,long,5000,500,0,5005506.666666666,1244652,21.8
ATCC_35221,long,5000,500,0,1507919.9249999998,850736,27.94
AMtb_1,long,5000,500,0,3779539.999999999,728952,11.97
MMC234,long,5000,500,0,1712162.7451923075,1008524,31.96
ATCC_33560,long,5000,500,0,1707394.6666666665,867132,27.72
ATCC_BAA-679,long,5000,500,0,2954944.5090909093,949584,24.4
ATCC_25922,long,5000,500,0,4298112.583333334,1617572,28.37
ATCC_35897,long,5000,100,0,2817267.0,999300,10.75
ATCC_19119,long,5000,100,0,2976256.0,1108904,10.99
BPH2947,long,5000,100,0,2463320.0,1584964,18.94
ATCC_10708,long,5000,100,0,4872157.0,899760,9.09
KPC2,long,5000,100,0,5048799.000000001,2104904,21.63
RDH275,long,5000,100,0,1776888.0,808888,8.45
AJ292,long,5000,100,0,6075154.0,2560312,25.36
ATCC_17802,long,5000,100,0,inf,1211548,10.45
ATCC_35221,long,5000,100,0,1826397.0,829764,9.75
AMtb_1,long,5000,100,0,inf,719828,6.45
MMC234,long,5000,100,0,1603402.0,1008536,11.55
ATCC_33560,long,5000,100,0,2101378.0,868784,9.99
ATCC_BAA-679,long,5000,100,0,2834565.0,949616,9.99
ATCC_25922,long,5000,100,0,3864174.0,1525640,12.64
ATCC_35897,long,5000,25000,0,2801401.1278879386,1195372,534.32
ATCC_19119,long,5000,25000,0,2900417.032021547,1180288,474.82
BPH2947,long,5000,25000,0,2994947.778846154,1758428,720.91
ATCC_10708,long,5000,25000,0,4426243.056017011,972108,305.63
KPC2,long,5000,25000,0,5344225.174911719,2195412,660.3
RDH275,long,5000,25000,0,1785839.5019844356,1024220,350.56
AJ292,long,5000,25000,0,5289041.239669422,2940012,1084.46
ATCC_17802,long,5000,25000,0,5031127.099288087,1350256,363.06
ATCC_35221,long,5000,25000,0,1514134.0569641353,986868,397.05
AMtb_1,long,5000,25000,0,4079471.898217469,938584,243.66
MMC234,long,5000,25000,0,2006938.789304993,1184516,496.87
ATCC_33560,long,5000,25000,0,1710328.3190925743,1032580,458.31
ATCC_BAA-679,long,5000,25000,0,2907927.2743090745,1038180,461.0
ATCC_25922,long,5000,25000,0,4864920.200059131,1874452,475.1
ATCC_35897,long,5000,5000,0,2797135.616640986,1038004,192.09
ATCC_19119,long,5000,5000,0,2911750.12894171,1109980,175.33
BPH2947,long,5000,5000,0,2730539.3635110296,1682092,314.57
ATCC_10708,long,5000,5000,0,4315200.5905172415,927044,107.13
KPC2,long,5000,5000,0,5071758.871794872,2197208,296.4
RDH275,long,5000,5000,0,1753520.380952381,871216,136.26
AJ292,long,5000,5000,0,5022475.360624315,2706008,469.83
ATCC_17802,long,5000,5000,0,5006232.888888889,1312228,125.93
ATCC_35221,long,5000,5000,0,1495210.1834068845,903332,174.2
AMtb_1,long,5000,5000,0,3879579.7083333335,726648,73.23
MMC234,long,5000,5000,0,1939104.5557461404,1172464,208.51
ATCC_33560,long,5000,5000,0,1703802.6419672132,889504,183.17
ATCC_BAA-679,long,5000,5000,0,2922826.2153846156,1015468,161.92
ATCC_25922,long,5000,5000,0,4643244.252216749,1670272,175.93
ATCC_35897,long,5000,10000,0,2757809.540539054,1089324,321.19
ATCC_19119,long,5000,10000,0,2913864.3208473264,1108092,280.15
BPH2947,long,5000,10000,0,2779957.0164726553,1740336,474.84
ATCC_10708,long,5000,10000,0,4420241.910114942,1001288,169.24
KPC2,long,5000,10000,0,5121875.680182867,2247128,457.35
RDH275,long,5000,10000,0,1776578.0903948,935048,215.7
AJ292,long,5000,10000,0,5061440.402978103,2798020,739.84
ATCC_17802,long,5000,10000,0,5013337.0567718,1365860,205.72
ATCC_35221,long,5000,10000,0,1484327.6832991997,956900,269.44
AMtb_1,long,5000,10000,0,3951236.338141026,821152,117.81
MMC234,long,5000,10000,0,1984017.9881811826,1219440,324.44
ATCC_33560,long,5000,10000,0,1703663.5840707966,951528,291.34
ATCC_BAA-679,long,5000,10000,0,2897161.592207792,1001360,263.09
ATCC_25922,long,5000,10000,0,4756139.407407408,1782276,281.43
ATCC_35897,long,1000,1000,0,2683991.149305556,509688,28.56
ATCC_19119,long,1000,1000,0,2730270.513157895,503844,33.12
BPH2947,long,1000,1000,0,1561839.9807692308,652408,67.04
ATCC_10708,long,1000,1000,0,3699869.909090909,460228,16.59
