sample,strategy,n_reads,repeat,estimate,memory,cpu_time
ATCC_35897,long,50000,0,2822438.0,2782088,914.89
ATCC_19119,long,50000,0,2976251.0,1531048,312.56
BPH2947,long,50000,0,2985959.0,5464932,1896.34
ATCC_10708,long,50000,0,4766843.0,758728,59.15
KPC2,long,50000,0,5939814.0,6311512,1525.81
RDH275,long,50000,0,1839708.0,2860000,935.0
AJ292,long,50000,0,5704624.0,7516680,2675.81
ATCC_17802,long,50000,0,5121275.0,834196,61.87
ATCC_35221,long,50000,0,1536345.0,3094992,809.64
AMtb_1,long,50000,0,4605665.0,1392772,180.35
MMC234,long,50000,0,2191684.0,3826720,1263.31
ATCC_33560,long,50000,0,1735074.0,3205456,978.51
ATCC_BAA-679,long,50000,0,2979401.0,1592968,296.29
ATCC_25922,long,50000,0,5211566.0,834228,66.87
ATCC_35897,long,1000,0,1833754.0,55872,4.4
ATCC_19119,long,1000,0,1822010.0,55872,4.7
BPH2947,long,1000,0,1824237.0,55872,4.78
ATCC_10708,long,1000,0,1802617.0,55872,7.31
KPC2,long,1000,0,1930594.0,55872,6.0
RDH275,long,1000,0,1822612.0,55296,3.09
AJ292,long,1000,0,1867612.0,55872,7.49
ATCC_17802,long,1000,0,1803154.0,55872,7.65
ATCC_35221,long,1000,0,958436.0,55872,2.76
AMtb_1,long,1000,0,1843403.0,55872,6.44
MMC234,long,1000,0,1833979.0,58424,3.69
ATCC_33560,long,1000,0,1838193.0,58152,3.05
ATCC_BAA-679,long,1000,0,1817788.0,55872,4.72
ATCC_25922,long,1000,0,1802991.0,55296,7.69
ATCC_35897,long,25000,0,2865312.0,584368,49.18
ATCC_19119,long,25000,0,3033675.0,486236,34.84
BPH2947,long,25000,0,3185528.0,700220,134.94
ATCC_10708,long,25000,0,4783412.0,385580,20.61
KPC2,long,25000,0,6355438.0,1645660,149.29
RDH275,long,25000,0,1896742.0,539360,56.82
AJ292,long,25000,0,6287824.0,820352,60.92
ATCC_17802,long,25000,0,5150444.0,394964,21.14
ATCC_35221,long,25000,0,1532720.0,1244412,327.03
AMtb_1,long,25000,0,4732504.0,538960,33.23
MMC234,long,25000,0,2242452.0,671916,76.35
ATCC_33560,long,25000,0,1754241.0,849144,156.4
ATCC_BAA-679,long,25000,0,3044588.0,486120,35.11
ATCC_25922,long,25000,0,5294477.0,390244,22.97
ATCC_35897,long,500,0,908186.0,55872,4.63
