method	platform	count	mean	std	min	25%	50%	75%	max
genomescope	OXFORD_NANOPORE	2468.0	36.16856929901165	635.6631097336945	0.0009669983207778	4.847735825382011	8.458660100133745	15.227050244430146	30172.362713442384
genomescope	PACBIO_SMRT	902.0	24.489009398907747	52.739505253179125	0.0048003849908762	2.4652541051006676	5.820300971597978	24.026782357686265	1150.3620747116445
lrge-2set	OXFORD_NANOPORE	2468.0	8.8601491787422	13.981370268918505	0.0027598733715804	2.145430392430765	4.801176289836619	9.702423595734174	151.46951053735353
lrge-2set	PACBIO_SMRT	902.0	49.581574058136084	81.47974737870624	0.0406047574692731	15.525763954572964	26.902417306312962	55.88050983472013	1376.6649483027263
lrge-ava	OXFORD_NANOPORE	2468.0	9.1642999955433	16.781848160342925	0.0002416297721017	1.955662601961886	4.597892586939887	9.644965811355172	269.2220489800189
lrge-ava	PACBIO_SMRT	902.0	51.886442941314954	98.57200315810643	0.150470277098143	15.89073034171572	26.811454178772454	55.35278216395415	1955.955316409182
mash	OXFORD_NANOPORE	2468.0	42.500085125212095	59.86842094125569	0.0016583196216752	6.525349062629702	24.032815741631364	59.77477267981595	809.126097109843
mash	PACBIO_SMRT	902.0	35.06184456785982	45.00136394651882	0.0081194607234619	4.345961046998838	15.088962488098804	53.57350489343228	345.1283845294555
raven	OXFORD_NANOPORE	2468.0	2.901566392826145	10.169219893921952	0.0002413236505704	0.6234263866387487	1.1200446717987242	1.941027561234995	197.9591182079019
raven	PACBIO_SMRT	902.0	3.541188561377655	7.222410981423329	0.0	1.4934385227664193	2.6366034301454544	3.89587994992996	98.4348715900866
