		cpu_time	cpu_time	cpu_time	cpu_time	cpu_time	cpu_time	cpu_time	cpu_time	memory_mb	memory_mb	memory_mb	memory_mb	memory_mb	memory_mb	memory_mb	memory_mb
		count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max
method	platform																
genomescope	OXFORD_NANOPORE	2468.0	29.330101296596435	12.36949292734187	2.66	19.71	30.055	38.715	144.78	2468.0	4682.539898703403	2611.4886280375076	381.59	2592.135	3979.41	7920.01	8601.2
genomescope	PACBIO_SMRT	902.0	38.87055432372506	13.63011254355135	2.57	31.44	41.105000000000004	47.31	153.64	902.0	6687.397516629712	2227.649349290573	318.93	5700.705	7999.505	8119.48	8529.62
lrge-2set	OXFORD_NANOPORE	2468.0	37.86816045380875	93.8811489293785	2.04	15.56	17.695	23.405	2406.64	2468.0	739.52863452188	580.0434295765555	4.45	423.3075	678.2049999999999	892.85	5303.46
lrge-2set	PACBIO_SMRT	902.0	39.25814855875832	105.64414999936241	1.31	14.3925	16.43	22.2	1471.96	902.0	875.7682926829268	486.622494151902	5.0	582.2225	902.925	1113.235	2893.3
lrge-ava	OXFORD_NANOPORE	2468.0	193.07609805510535	376.9729260011514	5.93	26.0975	81.91499999999999	197.32999999999998	7334.58	2468.0	2056.6315397082662	1395.7905682955247	4.0	1186.7975000000001	1763.1399999999999	2603.44	13962.38
lrge-ava	PACBIO_SMRT	902.0	199.19819290465634	655.1353036594413	5.79	22.2875	25.33	82.7175	8588.85	902.0	2423.9519623059864	1170.9069763769066	5.0	1696.2875	2230.505	3257.545	7321.01
mash	OXFORD_NANOPORE	2468.0	27.803099675850888	19.125608167947785	2.77	15.12	15.22	45.0	165.18	2468.0	1137.112244732577	740.758750856441	124.23	716.585	801.0799999999999	1463.735	5551.52
mash	PACBIO_SMRT	902.0	123.65730598669623	96.8670235282846	2.77	74.21000000000001	104.815	164.5875	583.26	902.0	4783.675144124168	4162.055580766304	34.08	2687.995	3659.435	5745.09	42001.57
raven	OXFORD_NANOPORE	2468.0	203.3760453808752	181.19800605586968	5.71	29.05	143.305	311.6825	1127.93	2468.0	6504.7173581847655	4428.217559273313	326.27	2714.6899999999996	5565.495	9542.2375	38551.39
raven	PACBIO_SMRT	902.0	214.36742793791578	254.3521039596796	4.0	132.2325	183.815	196.5175	2220.41	902.0	9048.980798226165	3018.3487881856277	414.8	7980.967500000001	10094.33	11056.529999999999	15462.02
