accession	class	platform	truth_bp	mode	commit	estimate_bp	estimate_over_truth	interval_low_bp	interval_high_bp	normalization_engaged	skew_score	skew_score_source	detection_sample_reads	retained_reads	total_reads	queries_without_overlaps	elapsed	max_rss_kb	exit_status	run_dir
SRR12247681	control	OXFORD_NANOPORE	5067008	never	254e1462cfa910f507313fe8b718fcab320e275d	4745472	0.937	100800	7830000	no	NA	NA	NA	NA	NA	330	0:18.20	813840	0	SRR12247681/never
SRR12247681	control	OXFORD_NANOPORE	5067008	auto	254e1462cfa910f507313fe8b718fcab320e275d	5639060	1.113	3610000	6510000	yes	104.00	run-log	3172	172655	315509	204	2:09.33	743764	0	SRR12247681/auto
SRR8618952	control	PACBIO_SMRT	4907789	never	254e1462cfa910f507313fe8b718fcab320e275d	5890324	1.200	3800000	6770000	no	NA	NA	NA	NA	NA	176	0:05.94	1211088	0	SRR8618952/never
SRR8618952	control	PACBIO_SMRT	4907789	auto	254e1462cfa910f507313fe8b718fcab320e275d	5890324	1.200	3800000	6770000	no	3.00	debug-rerun	1368	NA	NA	176	1:04.46	1230888	0	SRR8618952/auto
DRR213976	outlier	OXFORD_NANOPORE	3927137	auto	254e1462cfa910f507313fe8b718fcab320e275d	1957486	0.498	475180	3650000	yes	32.00	run-log	579	54439	56694	2	2:27.79	3343020	0	DRR213976/auto
DRR213976	outlier	OXFORD_NANOPORE	3927137	auto_F	254e1462cfa910f507313fe8b718fcab320e275d	4329274	1.102	2940000	4640000	yes	32.00	run-log	579	54439	56694	2	2:59.08	3263688	0	DRR213976/auto_F
SRR10259778	outlier	OXFORD_NANOPORE	4848320	auto	254e1462cfa910f507313fe8b718fcab320e275d	786594	0.162	213670	3830000	yes	39.00	run-log	427	39731	41774	25	2:45.91	4858296	0	SRR10259778/auto
SRR10259778	outlier	OXFORD_NANOPORE	4848320	auto_F	254e1462cfa910f507313fe8b718fcab320e275d	8183517	1.688	252360	10130000	yes	39.00	run-log	427	39731	41774	25	3:20.17	4800980	0	SRR10259778/auto_F
SRR10353548	outlier	OXFORD_NANOPORE	2269994	auto	254e1462cfa910f507313fe8b718fcab320e275d	2276320	1.003	671470	2570000	yes	280.00	run-log	2546	124795	251253	0	2:00.25	719240	0	SRR10353548/auto
SRR10353548	outlier	OXFORD_NANOPORE	2269994	auto_F	254e1462cfa910f507313fe8b718fcab320e275d	2550994	1.124	1680000	2830000	yes	280.00	run-log	2546	124795	251253	0	2:28.75	729836	0	SRR10353548/auto_F
