Assembly Accession	Organism Name	Organism Taxonomic ID	Assembly BioProject Accession	Assembly BioSample Accession	Assembly Name	Organism Infraspecific Names Strain	Assembly BioSample Strain 	Assembly Sequencing Tech	Assembly Stats Total Number of Chromosomes	Assembly Stats Total Sequence Length	Assembly Stats Genome Coverage	Assembly BioSample Project name  	Run Accession	Instrument Platform	CheckM completeness	CheckM contamination	CheckM completeness percentile
GCF_040215695.1	[Arthrobacter] sp. ATCC 21022	1771959	PRJNA1116247	SAMN41528051	ATCC 21022	ATCC 21022	ATCC 21022	Illumina;ONT	1	4434229	100.0		SRR29457729	OXFORD_NANOPORE	99.74	0.18	100.0
GCF_025149125.1	[Clostridium] asparagiforme DSM 15981	518636	PRJNA746600	SAMN20222674	ASM2514912v1	DSM 15981	DSM 15981	Illumina;ONT	1	6353279	100.0		SRR15171290	OXFORD_NANOPORE	98.44	5.07	77.77778
GCF_022845755.1	[Clostridium] hylemonae	89153	PRJDB11902	SAMD00389864	ASM2284575v1	CE91-St63	CE91-St63	Illumina;PacBio	1	3922038	218.0	Isolate bacteria and archaea from a Japanese centenarian	DRR307118	PACBIO_SMRT	99.38		100.0
GCF_016889005.1	[Clostridium] scindens	29347	PRJNA231221	SAMN16357369	ASM1688900v1	FDAARGOS_1227	FDAARGOS_1227	Illumina;PacBio	1	3619096	1116.1		SRR13182350	PACBIO_SMRT	99.38	0.07	100.0
GCF_022845815.1	[Clostridium] scindens	29347	PRJDB11902	SAMD00389867	ASM2284581v1	CE91-St59	CE91-St59	Illumina;PacBio	1	3608085	190.0	Isolate bacteria and archaea from a Japanese centenarian	DRR307121	PACBIO_SMRT	99.38	0.07	100.0
GCF_022845835.1	[Clostridium] scindens	29347	PRJDB11902	SAMD00389868	ASM2284583v1	CE91-St60	CE91-St60	Illumina;PacBio	1	3608087	615.0	Isolate bacteria and archaea from a Japanese centenarian	DRR307122	PACBIO_SMRT	99.38	0.07	100.0
GCF_027941655.1	[Clostridium] scindens	29347	PRJNA902789	SAMN31775693	ASM2794165v1	VPI12708	VPI12708	PacBio	1	3983052	50.0		SRR23686740	PACBIO_SMRT	99.38		100.0
GCF_033539415.1	[Clostridium] scindens	29347	PRJNA1026650	SAMN37482748	ASM3353941v1	JCM10420 (M-18)	JCM10420 (M-18)	PacBio	1	4020045	50.0		SRR27029002	PACBIO_SMRT	98.75		40.74074
GCF_033539435.1	[Clostridium] scindens	29347	PRJNA1026650	SAMN37482747	ASM3353943v1	JCM10419 (Y1113)	JCM10419 (Y1113)	PacBio	1	3940699	50.0		SRR27029003	PACBIO_SMRT	98.75		40.74074
GCF_033539455.1	[Clostridium] scindens	29347	PRJNA1026650	SAMN37482752	ASM3353945v1	MO32	MO32	ONT	1	3929075	50.0		SRR28053599	OXFORD_NANOPORE	99.38		100.0
GCF_033539475.1	[Clostridium] scindens	29347	PRJNA1026650	SAMN37482754	ASM3353947v1	S076	S076	ONT	1	4290604	50.0		SRR28053597	OXFORD_NANOPORE	99.38		100.0
GCF_033539495.1	[Clostridium] scindens	29347	PRJNA1026650	SAMN37482751	ASM3353949v1	I10	I10	ONT	1	3435295	50.0		SRR28053600	OXFORD_NANOPORE	99.38	0.07	100.0
GCF_033539515.1	[Clostridium] scindens	29347	PRJNA1026650	SAMN37482750	ASM3353951v1	JCM10423 (36-S)	JCM10423 (36-S)	PacBio	1	4306053	50.0		SRR27029000	PACBIO_SMRT	98.75		40.74074
GCF_033539535.1	[Clostridium] scindens	29347	PRJNA1026650	SAMN37482753	ASM3353953v1	NTI82	NTI82	ONT	1	4318168	50.0		SRR28053598	OXFORD_NANOPORE	98.75		40.74074
GCF_040267475.1	[Clostridium] symbiosum	1512	PRJNA936716	SAMN33749591	UoG_LM19R_1.0	LM19R	LM19R	Illumina;ONT	1	5299950	63.6		SRR23875579	OXFORD_NANOPORE	94.76	4.24	70.454544
GCF_002208665.2	[Haemophilus] ducreyi	730	PRJNA231221	SAMN06173310	ASM220866v2	FDAARGOS_297	FDAARGOS_297	Illumina;PacBio	1	1701311	13.1		SRR5413267	PACBIO_SMRT	96.39	1.0	80.645164
GCF_036240075.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016478	ASM3624007v1	NBC_01269	NBC_01269	ONT	2	7532608	102.0		SRR21696445	OXFORD_NANOPORE	99.91	0.09	98.79518
GCF_035940175.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016529	ASM3594017v1	NBC_01344	NBC_01344	ONT	1	7648620	115.0		SRR21696387	OXFORD_NANOPORE	99.91	0.09	98.79518
GCF_035980495.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016496	ASM3598049v1	NBC_01295	NBC_01295	ONT	1	7559771	15.0		SRR21696425	OXFORD_NANOPORE	99.91	0.57	98.79518
GCF_036237255.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016536	ASM3623725v1	NBC_01355	NBC_01355	ONT	1	7734989	29.0		SRR21563426	OXFORD_NANOPORE	99.81	0.09	26.506023
GCF_036237255.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016536	ASM3623725v1	NBC_01355	NBC_01355	ONT	1	7734989	29.0		SRR21563429	OXFORD_NANOPORE	99.81	0.09	26.506023
GCF_036237255.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016536	ASM3623725v1	NBC_01355	NBC_01355	ONT	1	7734989	29.0		SRR21696380	OXFORD_NANOPORE	99.81	0.09	26.506023
GCF_036237335.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016532	ASM3623733v1	NBC_01347	NBC_01347	ONT	1	7680165	68.0		SRR21563424	OXFORD_NANOPORE	99.91	0.09	98.79518
GCF_036237335.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016532	ASM3623733v1	NBC_01347	NBC_01347	ONT	1	7680165	68.0		SRR21696384	OXFORD_NANOPORE	99.91	0.09	98.79518
GCF_029030725.1	[Pseudomonas] carboxydohydrogena	290	PRJNA901395	SAMN31712193	ASM2903072v1	DSM 1083	DSM 1083	Illumina;ONT	1	3271440	426.6		SRR22318474	OXFORD_NANOPORE	67.93	4.95	50.0
GCF_025152405.1	[Ruminococcus] lactaris ATCC 29176	471875	PRJNA746600	SAMN20222711	ASM2515240v1	ATCC 29176	ATCC 29176	Illumina;ONT	1	2733858	100.0		SRR15171261	OXFORD_NANOPORE	98.75	0.62	92.30769
GCF_033096525.1	[Ruminococcus] torques	33039	PRJDB15994	SAMD00622272	ASM3309652v1	17EGH124	17EGH124	ONT	1	2796037	150.0		DRR493112	OXFORD_NANOPORE	92.2		6.382979
GCF_013267415.1	Abiotrophia defectiva	46125	PRJNA231221	SAMN11056500	ASM1326741v1	FDAARGOS_785	FDAARGOS_785	Illumina;PacBio	1	2046826	1526.9		SRR9641620	PACBIO_SMRT	94.82	1.1	92.85714
GCF_013267415.1	Abiotrophia defectiva	46125	PRJNA231221	SAMN11056500	ASM1326741v1	FDAARGOS_785	FDAARGOS_785	Illumina;PacBio	1	2046826	1526.9		SRR9641619	PACBIO_SMRT	94.82	1.1	92.85714
GCF_024347835.1	Acaryochloris marina MBIC10699	2954813	PRJDB13468	SAMD00467986	ASM2434783v1	MBIC10699	MBIC10699	Illumina;ONT	5	7647728	110.0		DRR374622	OXFORD_NANOPORE	99.73	4.21	100.0
GCF_000255615.2	Acetivibrio thermocellus AD2	1138384	PRJNA82183	SAMN02470739	ASM25561v3	AD2	AD2	Illumina;PacBio	1	3554854	296.0		SRR3546771	PACBIO_SMRT	98.11	1.38	50.0
GCF_000255615.2	Acetivibrio thermocellus AD2	1138384	PRJNA82183	SAMN02470739	ASM25561v3	AD2	AD2	Illumina;PacBio	1	3554854	296.0		SRR3546770	PACBIO_SMRT	98.11	1.38	50.0
GCF_000255615.2	Acetivibrio thermocellus AD2	1138384	PRJNA82183	SAMN02470739	ASM25561v3	AD2	AD2	Illumina;PacBio	1	3554854	296.0		SRR3546772	PACBIO_SMRT	98.11	1.38	50.0
GCF_000255615.2	Acetivibrio thermocellus AD2	1138384	PRJNA82183	SAMN02470739	ASM25561v3	AD2	AD2	Illumina;PacBio	1	3554854	296.0		SRR3546773	PACBIO_SMRT	98.11	1.38	50.0
GCF_001692755.1	Acetivibrio thermocellus DSM 2360	572545	PRJNA324615	SAMN05210905	ASM169275v1	LQRI	LQRI	PacBio	1	3577579	166.0		SRR3734708	PACBIO_SMRT	98.55	1.38	83.333336
GCF_001692755.1	Acetivibrio thermocellus DSM 2360	572545	PRJNA324615	SAMN05210905	ASM169275v1	LQRI	LQRI	PacBio	1	3577579	166.0		SRR3734707	PACBIO_SMRT	98.55	1.38	83.333336
GCF_014218315.1	Acetobacter aceti	435	PRJDB10254	SAMD00237440	ASM1421831v1	JCM20276	JCM20276	Illumina;ONT	5	3967892	58.0	Genome sequencing of Acetobacter aceti	DRR238388	OXFORD_NANOPORE	98.31	2.38	25.0
GCF_000193495.2	Acetobacter aceti NBRC 14818	887700	PRJDA52649	SAMD00036545	ASM19349v2	NBRC 14818	NBRC 14818	Illumina;PacBio	5	3693126	338.0		DRR241428	PACBIO_SMRT	99.8	0.63	100.0
GCF_040208445.1	Acetobacter sp. A11-2	3157859	PRJNA1114941	SAMN41503781	A11-2.1	A11-2	A11-2	PacBio	1	2866042	191.1		SRR29139885	PACBIO_SMRT	96.15	1.06	100.0
GCF_040208455.1	Acetobacter sp. GHA7	3157860	PRJNA1114941	SAMN41551026	GHA7.1	GHA7	GHA7	PacBio	1	2927634	191.1		SRR29189150	PACBIO_SMRT	98.18	0.64	100.0
GCF_023700225.1	Acetobacterium wieringae	52694	PRJNA842251	SAMN28656641	ASM2370022v1	CH1	CH1	ONT	1	3711234	100.0		SRR19789895	OXFORD_NANOPORE	98.57	1.43	75.0
GCF_025813735.1	Acetobacterium wieringae	52694	PRJNA778957	SAMN23007773	ASM2581373v1	Y	Y	Illumina;PacBio	1	4082090	580.0		SRR18091988	PACBIO_SMRT	98.57	0.71	75.0
GCF_025884515.1	Acholeplasma laidlawii	2148	PRJNA874543	SAMN30552787	ASM2588451v1	JS42	JS42	ONT	1	1611024	10.0		SRR22028292	OXFORD_NANOPORE	99.18	0.33	100.0
GCF_016127315.1	Achromobacter deleyi	1353891	PRJNA231221	SAMN16357219	ASM1612731v1	FDAARGOS_1050	FDAARGOS_1050	Illumina;PacBio	1	6987272	475.6		SRR12825939	PACBIO_SMRT	99.44	1.85	100.0
GCF_016127315.1	Achromobacter deleyi	1353891	PRJNA231221	SAMN16357219	ASM1612731v1	FDAARGOS_1050	FDAARGOS_1050	Illumina;PacBio	1	6987272	475.6		SRR12825938	PACBIO_SMRT	99.44	1.85	100.0
GCF_013267395.1	Achromobacter denitrificans	32002	PRJNA231221	SAMN11056501	ASM1326739v1	FDAARGOS_786	FDAARGOS_786	Illumina;PacBio	1	6736870	620.2		SRR9641698	PACBIO_SMRT	97.48	4.02	66.666664
GCF_013267395.1	Achromobacter denitrificans	32002	PRJNA231221	SAMN11056501	ASM1326739v1	FDAARGOS_786	FDAARGOS_786	Illumina;PacBio	1	6736870	620.2		SRR9641699	PACBIO_SMRT	97.48	4.02	66.666664
GCF_002205315.1	Achromobacter denitrificans	32002	PRJNA383898	SAMN06819206	ASM220531v1	PR1	PR1	Illumina;ONT	1	6929205	46.0		SRR5514549	OXFORD_NANOPORE	97.83	3.43	95.833336
GCF_013267375.1	Achromobacter denitrificans	32002	PRJNA231221	SAMN11056503	ASM1326737v1	FDAARGOS_788	FDAARGOS_788	Illumina;PacBio	1	6736877	2204.6		SRR9668052	PACBIO_SMRT	97.52	4.02	75.0
GCF_013267375.1	Achromobacter denitrificans	32002	PRJNA231221	SAMN11056503	ASM1326737v1	FDAARGOS_788	FDAARGOS_788	Illumina;PacBio	1	6736877	2204.6		SRR9668057	PACBIO_SMRT	97.52	4.02	75.0
GCF_013267375.1	Achromobacter denitrificans	32002	PRJNA231221	SAMN11056503	ASM1326737v1	FDAARGOS_788	FDAARGOS_788	Illumina;PacBio	1	6736877	2204.6		SRR9668053	PACBIO_SMRT	97.52	4.02	75.0
GCF_013267375.1	Achromobacter denitrificans	32002	PRJNA231221	SAMN11056503	ASM1326737v1	FDAARGOS_788	FDAARGOS_788	Illumina;PacBio	1	6736877	2204.6		SRR9668054	PACBIO_SMRT	97.52	4.02	75.0
GCF_013267375.1	Achromobacter denitrificans	32002	PRJNA231221	SAMN11056503	ASM1326737v1	FDAARGOS_788	FDAARGOS_788	Illumina;PacBio	1	6736877	2204.6		SRR9668056	PACBIO_SMRT	97.52	4.02	75.0
GCF_013267375.1	Achromobacter denitrificans	32002	PRJNA231221	SAMN11056503	ASM1326737v1	FDAARGOS_788	FDAARGOS_788	Illumina;PacBio	1	6736877	2204.6		SRR9668059	PACBIO_SMRT	97.52	4.02	75.0
GCF_013267375.1	Achromobacter denitrificans	32002	PRJNA231221	SAMN11056503	ASM1326737v1	FDAARGOS_788	FDAARGOS_788	Illumina;PacBio	1	6736877	2204.6		SRR9668060	PACBIO_SMRT	97.52	4.02	75.0
GCF_013267375.1	Achromobacter denitrificans	32002	PRJNA231221	SAMN11056503	ASM1326737v1	FDAARGOS_788	FDAARGOS_788	Illumina;PacBio	1	6736877	2204.6		SRR9668058	PACBIO_SMRT	97.52	4.02	75.0
GCF_013343095.1	Achromobacter denitrificans	32002	PRJNA231221	SAMN11056502	ASM1334309v1	FDAARGOS_787	FDAARGOS_787	Illumina;PacBio	1	6816538	579.5		SRR9668043	PACBIO_SMRT	97.59	2.99	83.333336
GCF_013343095.1	Achromobacter denitrificans	32002	PRJNA231221	SAMN11056502	ASM1334309v1	FDAARGOS_787	FDAARGOS_787	Illumina;PacBio	1	6816538	579.5		SRR9668044	PACBIO_SMRT	97.59	2.99	83.333336
GCF_000783435.2	Achromobacter insolitus	217204	PRJNA231221	SAMN02934544	ASM78343v2	FDAARGOS_88	FDAARGOS_88	Illumina;PacBio	2	6893045	15.6		SRR1609120	PACBIO_SMRT	98.79	1.7	74.07407
GCF_000783435.2	Achromobacter insolitus	217204	PRJNA231221	SAMN02934544	ASM78343v2	FDAARGOS_88	FDAARGOS_88	Illumina;PacBio	2	6893045	15.6		SRR1609121	PACBIO_SMRT	98.79	1.7	74.07407
GCF_008245125.1	Achromobacter insolitus	217204	PRJNA527706	SAMN11158136	ASM824512v1	LCu2	LCu2	Illumina;ONT	1	6428890	80.0		SRR8797409	OXFORD_NANOPORE	98.79	1.36	74.07407
GCF_013267355.1	Achromobacter pestifer	1353889	PRJNA231221	SAMN11056505	ASM1326735v1	FDAARGOS_790	FDAARGOS_790	Illumina;PacBio	2	7177303	671.9		SRR9668340	PACBIO_SMRT	98.23	1.57	50.0
GCF_013267355.1	Achromobacter pestifer	1353889	PRJNA231221	SAMN11056505	ASM1326735v1	FDAARGOS_790	FDAARGOS_790	Illumina;PacBio	2	7177303	671.9		SRR9668342	PACBIO_SMRT	98.23	1.57	50.0
GCF_013267355.1	Achromobacter pestifer	1353889	PRJNA231221	SAMN11056505	ASM1326735v1	FDAARGOS_790	FDAARGOS_790	Illumina;PacBio	2	7177303	671.9		SRR9668341	PACBIO_SMRT	98.23	1.57	50.0
GCF_020541125.1	Achromobacter sp. 77	2756133	PRJNA646886	SAMN15567587	ASM2054112v1	77	77	Illumina;PacBio	1	5868070	400.0		SRR12281669	PACBIO_SMRT	97.37	1.9	100.0
GCF_002902905.1	Achromobacter sp. AONIH1	1758194	PRJNA430813	SAMN04287051	ASM290290v1	AONIH1	AONIH1	PacBio	1	6648943	119.0		SRR6515641	PACBIO_SMRT	94.95	4.16	100.0
GCF_003600685.1	Achromobacter sp. B7	2282475	PRJNA481776	SAMN09690389	ASM360068v1	B7	B7	ONT	1	6236552	66.3		SRR8112132	OXFORD_NANOPORE	97.56	1.42	100.0
GCF_037039475.1	Achromobacter sp. E1	3141581	PRJNA1078573	SAMN40006910	ASM3703947v1			PacBio	1	5975307	100.0		SRR28702420	PACBIO_SMRT	97.6	1.91	100.0
