accession	truth_bp	version	mode	seed	target_reads_used	query_reads_used	estimate_bp	estimate_over_truth	iqr_low_bp	iqr_high_bp	queries_without_overlaps_pct
SRR26715166	2271523	after	auto	1	2526	1263	2048928	0.902	447560	2480000	0.0
SRR26715166	2271523	before	auto	1	1253	2536	1930666	0.850	436710	2410000	0.0
SRR26715166	2271523	after	auto	2	2524	1262	2051932	0.903	474310	2470000	0.0
SRR26715166	2271523	before	auto	2	1252	2534	1884464	0.830	432340	2530000	0.04
SRR26715166	2271523	after	auto	3	2492	1246	2124561	0.935	494840	2540000	0.0
SRR26715166	2271523	before	auto	3	1236	2502	1995563	0.879	441810	2520000	0.0
SRR26715166	2271523	after	auto	4	2524	1262	2069637	0.911	459210	2450000	0.0
SRR26715166	2271523	before	auto	4	1252	2534	1941708	0.855	419000	2540000	0.0
SRR26715166	2271523	after	auto	5	2486	1242	2128104	0.937	499380	2510000	0.0
SRR26715166	2271523	before	auto	5	1233	2495	1967943	0.866	406960	2550000	0.0
SRR26715166	2271523	after	auto	6	2534	1267	2102244	0.925	448270	2580000	0.0
SRR26715166	2271523	before	auto	6	1257	2544	1928698	0.849	428730	2440000	0.0
SRR26715166	2271523	after	auto	7	2500	1249	2130608	0.938	444360	2530000	0.0
SRR26715166	2271523	before	auto	7	1240	2509	1967861	0.866	441420	2440000	0.0
SRR26715166	2271523	after	auto	8	2485	1242	2093959	0.922	486740	2500000	0.0
SRR26715166	2271523	before	auto	8	1233	2494	1865936	0.821	413610	2430000	0.12
SRR26715166	2271523	after	auto	9	2480	1239	2117294	0.932	456910	2530000	0.0
SRR26715166	2271523	before	auto	9	1230	2489	1864521	0.821	433440	2460000	0.08
SRR26715166	2271523	after	auto	10	2459	1229	2141967	0.943	501230	2560000	0.0
SRR26715166	2271523	before	auto	10	1220	2468	1950859	0.859	406810	2480000	0.08
SRR26715166	2271523	after	auto	11	2514	1257	2185184	0.962	468400	2570000	0.0
SRR26715166	2271523	before	auto	11	1247	2524	1944528	0.856	402710	2580000	0.0
SRR26715166	2271523	after	auto	12	2536	1268	2067066	0.910	479660	2530000	0.0
SRR26715166	2271523	before	auto	12	1258	2546	1911284	0.841	441900	2450000	0.0
SRR26715166	2271523	after	auto	13	2486	1243	2123257	0.935	476880	2590000	0.0
SRR26715166	2271523	before	auto	13	1234	2495	1889664	0.832	436330	2410000	0.04
SRR26715166	2271523	after	auto	14	2475	1237	1983399	0.873	454940	2490000	0.0
SRR26715166	2271523	before	auto	14	1228	2484	1937251	0.853	444220	2540000	0.0
SRR26715166	2271523	after	auto	15	2496	1247	2189130	0.964	460490	2560000	0.0
SRR26715166	2271523	before	auto	15	1238	2505	1915552	0.843	448860	2440000	0.12
SRR26715166	2271523	after	auto	16	2519	1259	2130752	0.938	443700	2510000	0.0
SRR26715166	2271523	before	auto	16	1250	2528	1979796	0.872	432190	2500000	0.0
SRR26715166	2271523	after	auto	17	2501	1250	2059622	0.907	459140	2460000	0.0
SRR26715166	2271523	before	auto	17	1241	2510	1990462	0.876	481880	2440000	0.0
SRR26715166	2271523	after	auto	18	2538	1269	1944963	0.856	459690	2480000	0.0
SRR26715166	2271523	before	auto	18	1259	2548	1959020	0.862	436720	2450000	0.0
SRR26715166	2271523	after	auto	19	2500	1250	2056389	0.905	437380	2540000	0.0
