accession	class	platform	truth_bp	mode	old_estimate_bp	new_estimate_bp	estimates_match	old_selected_md5	new_selected_md5	selected_reads_match	old_retained_reads	new_retained_reads	old_elapsed	new_elapsed	old_cpu_percent	new_cpu_percent	old_max_rss_kb	new_max_rss_kb	old_median_depth	new_median_depth	median_depth_match	old_count_s	new_count_s	old_profile_s	new_profile_s	old_scoring_s	new_scoring_s	old_selection_s	new_selection_s
DRR213976	outlier	OXFORD_NANOPORE	3927137	auto	2828479	2828479	yes	ffb806d79dc0	ffb806d79dc0	yes	39586	39586	0:53.88	0:43.24	637	561	3028524	2932796	27	27	yes	5.20	4.82	10.09	5.71	10.41	5.50	20.68	11.42
DRR213976	outlier	OXFORD_NANOPORE	3927137	lowmem	3064044	3064044	yes	65daef0eed4e	65daef0eed4e	yes	29804	29804	0:54.33	0:45.73	605	497	2835784	2897640	16	16	yes	4.44	4.51	10.21	5.61	9.90	5.65	24.81	15.91
SRR10259778	outlier	OXFORD_NANOPORE	4848320	auto	2125186	2125186	yes	d3d30a278659	d3d30a278659	yes	35104	35104	1:14.83	1:04.23	598	595	4681480	4432680	24	24	yes	4.90	4.55	9.74	5.45	11.27	7.13	21.21	12.83
SRR10259778	outlier	OXFORD_NANOPORE	4848320	lowmem	3492523	3492523	yes	3ac0e45356cf	3ac0e45356cf	yes	33262	33262	1:05.80	0:59.03	596	541	4109016	4054996	18	18	yes	4.38	4.28	8.49	5.48	10.78	7.02	23.75	16.95
SRR10353548	outlier	OXFORD_NANOPORE	2269994	auto	2332247	2332247	yes	9e76b36d6f32	9e76b36d6f32	yes	84208	84208	0:26.76	0:21.48	587	331	703668	694120	21	21	yes	5.66	5.30	8.52	6.08	8.93	6.39	17.55	12.56
SRR10353548	outlier	OXFORD_NANOPORE	2269994	lowmem	2327256	2327256	yes	5deb6d4120d4	5deb6d4120d4	yes	55705	55705	0:37.52	0:25.27	432	291	711496	688488	10	10	yes	5.11	5.00	9.03	6.11	13.16	5.87	27.33	17.10
SRR10388020	outlier	OXFORD_NANOPORE	2218399	auto	2314366	2314366	yes	e97f15d9d1de	e97f15d9d1de	yes	66867	66867	0:18.16	0:14.17	598	331	625896	593988	16	16	yes	3.86	3.59	5.57	3.84	5.63	3.59	11.28	7.51
SRR10388020	outlier	OXFORD_NANOPORE	2218399	lowmem	2347996	2347996	yes	6bd7560af635	6bd7560af635	yes	42361	42361	0:21.20	0:17.06	527	288	640632	623308	7	7	yes	3.43	3.42	5.85	3.86	5.57	3.54	15.01	10.89
SRR10861747	outlier	OXFORD_NANOPORE	2211092	auto	2192374	2192374	yes	28438cd6e0ee	28438cd6e0ee	yes	45443	45443	0:24.72	0:14.19	679	612	1016900	1000956	21	21	yes	2.30	1.95	7.64	2.65	7.87	2.64	15.63	5.44
SRR10861747	outlier	OXFORD_NANOPORE	2211092	lowmem	2168854	2168854	yes	5e8e7173285f	5e8e7173285f	yes	22228	22228	0:25.50	0:15.17	651	560	957056	945380	8	8	yes	1.73	1.77	8.06	2.93	7.83	2.57	17.71	7.34
