accession	class	platform	truth_bp	mode	old_estimate_bp	new_estimate_bp	estimates_match	old_selected_md5	new_selected_md5	selected_reads_match	old_median_depth	new_median_depth	old_detection_sample_reads	new_detection_sample_reads	old_retained_reads	new_retained_reads	total_reads	old_small_pool_warning	new_small_pool_warning	old_elapsed	new_elapsed	old_cpu_percent	new_cpu_percent	old_max_rss_kb	new_max_rss_kb	old_exit_status	new_exit_status
DRR213976	outlier	OXFORD_NANOPORE	3927137	auto	2828479	2828479	yes	07eeab1181e11cbf502abe21870fe1999f401ab4af95414924f101a641b99cc7	07eeab1181e11cbf502abe21870fe1999f401ab4af95414924f101a641b99cc7	yes	27	27	579	579	39586	39586	56694	no	no	0:54.84	1:14.22	549%	401%	2995096	2985192	0	0
DRR213976	outlier	OXFORD_NANOPORE	3927137	always	3064044	2828479	no	5bc931bc5bc1657bc6a823456bd9bfbc8ce8a0ee0af285ea3ac6decf4ca88eb2	07eeab1181e11cbf502abe21870fe1999f401ab4af95414924f101a641b99cc7	no	16	27	NA	579	29804	39586	56694	no	no	0:50.29	0:55.09	544%	534%	2820124	2995564	0	0
SRR10259778	outlier	OXFORD_NANOPORE	4848320	auto	2125186	2125186	yes	8f662cec2d31167af10a62c0ab0df0929a768ad703126ce2f702a6f8c3b9ba4b	8f662cec2d31167af10a62c0ab0df0929a768ad703126ce2f702a6f8c3b9ba4b	yes	24	24	500	500	35104	35104	41774	no	no	1:00.89	1:00.26	607%	609%	4425952	4455372	0	0
SRR10259778	outlier	OXFORD_NANOPORE	4848320	always	3492523	2125186	no	23bc73014185a91a9d17dc78541040e3dcdfe35305828465dffce2f1759a81d8	8f662cec2d31167af10a62c0ab0df0929a768ad703126ce2f702a6f8c3b9ba4b	no	18	24	NA	500	33262	35104	41774	no	no	0:52.22	0:59.71	587%	612%	4222064	4433120	0	0
SRR10353548	outlier	OXFORD_NANOPORE	2269994	auto	2332247	2332247	yes	1b7ed3520509024087c6574b2f829c4eae3dfc40e6a9765a9b2195b4afb196b2	1b7ed3520509024087c6574b2f829c4eae3dfc40e6a9765a9b2195b4afb196b2	yes	21	21	2546	2546	84208	84208	251253	no	no	0:35.13	0:28.55	239%	280%	675272	695008	0	0
SRR10353548	outlier	OXFORD_NANOPORE	2269994	always	2327256	2332247	no	cbd20fd4f6fb5fd0e07a9b86d5bd03510a58f4d3bae64ee8f566033b4fe97ba4	1b7ed3520509024087c6574b2f829c4eae3dfc40e6a9765a9b2195b4afb196b2	no	10	21	NA	2546	55705	84208	251253	no	no	0:32.94	0:29.08	256%	288%	713716	671036	0	0
SRR10388020	outlier	OXFORD_NANOPORE	2218399	auto	2314366	2314366	yes	331984bb5c43ea751c561278ca927660b936070e688516466c92c3630229ed4c	331984bb5c43ea751c561278ca927660b936070e688516466c92c3630229ed4c	yes	16	16	1838	1838	66867	66867	182663	no	no	0:17.35	0:17.66	341%	347%	646592	642296	0	0
SRR10388020	outlier	OXFORD_NANOPORE	2218399	always	2347996	2314366	no	ba90b0ac48ffde833231c060b5fd5c7bd9ea99689618ca215db4fa3e3ef2cb0f	331984bb5c43ea751c561278ca927660b936070e688516466c92c3630229ed4c	no	7	16	NA	1838	42361	66867	182663	no	no	0:16.96	0:19.94	366%	312%	628528	636160	0	0
SRR10861747	outlier	OXFORD_NANOPORE	2211092	auto	2192374	2192374	yes	3ea8b64310e55c2f7c4e3e6a2eaa0d742e5e1a35d96601b8f3861fb4c7771f28	3ea8b64310e55c2f7c4e3e6a2eaa0d742e5e1a35d96601b8f3861fb4c7771f28	yes	21	21	2065	2065	45443	45443	205462	no	no	0:15.26	0:15.14	602%	606%	988404	974468	0	0
SRR10861747	outlier	OXFORD_NANOPORE	2211092	always	2168854	2192374	no	b7c5bdb46e763d50381d7baa3218a60a6ada45ca316a2d694331b65be5212ced	3ea8b64310e55c2f7c4e3e6a2eaa0d742e5e1a35d96601b8f3861fb4c7771f28	no	8	21	NA	2065	22228	45443	205462	no	no	0:14.70	0:14.88	607%	601%	930608	984696	0	0
SRR10861751	outlier	OXFORD_NANOPORE	2220590	auto	2200418	2200418	yes	80f613422ed57da58c9743989d439d71ba3d695dbefd7a1910712f1e0d645b78	80f613422ed57da58c9743989d439d71ba3d695dbefd7a1910712f1e0d645b78	yes	15	15	994	994	25034	25034	98030	no	no	0:12.87	0:12.76	644%	651%	1047044	1057252	0	0
SRR10861751	outlier	OXFORD_NANOPORE	2220590	always	2122585	2200418	no	19a0ec80e3235c8dac9e67ce72bfe1c8a9a2db8fa96b4ef97756f37ab544975e	80f613422ed57da58c9743989d439d71ba3d695dbefd7a1910712f1e0d645b78	no	4	15	NA	994	9780	25034	98030	yes	no	0:08.03	0:12.88	618%	644%	551308	1069504	0	0
SRR12247681	control	OXFORD_NANOPORE	5067008	auto	5544558	5544558	yes	3b920c3e2b6492c582ce22e20e9abd02ca83850144f6f90263346cc7eaaff047	3b920c3e2b6492c582ce22e20e9abd02ca83850144f6f90263346cc7eaaff047	yes	27	27	3172	3172	141292	141292	315509	no	no	0:20.50	0:20.77	301%	293%	685288	721876	0	0
SRR12247681	control	OXFORD_NANOPORE	5067008	always	5818314	5544558	no	d3dd6af5bd609ba899e5edbbf76399d5f9642f3d823c1fbd3ad4aaf25e089739	3b920c3e2b6492c582ce22e20e9abd02ca83850144f6f90263346cc7eaaff047	no	13	27	NA	3172	96360	141292	315509	no	no	0:20.04	0:19.94	329%	291%	671688	724660	0	0
SRR24489322	outlier	OXFORD_NANOPORE	4296919	auto	1799306	1799306	yes	aa23688e228768c947427b05805363014203498b0813b93e1ae417299c06872e	aa23688e228768c947427b05805363014203498b0813b93e1ae417299c06872e	yes	26	26	748	748	55406	55406	74503	no	no	0:36.88	0:42.60	497%	423%	2160064	2074072	0	0
SRR24489322	outlier	OXFORD_NANOPORE	4296919	always	2268648	1799306	no	ac41d971a250eb70888cdfba10694cd416532b9e5db04b09970ea97ffe29a698	aa23688e228768c947427b05805363014203498b0813b93e1ae417299c06872e	no	17	26	NA	748	47513	55406	74503	no	no	0:35.03	0:36.64	521%	491%	2113392	2141408	0	0
SRR26465521	outlier	OXFORD_NANOPORE	2285943	auto	2237900	2237900	yes	270d5c586f7270168d1219923a2bd41c6fdb39087901143b9d994768f3b33708	270d5c586f7270168d1219923a2bd41c6fdb39087901143b9d994768f3b33708	yes	34	34	897	897	23571	23571	88519	no	no	0:38.91	0:38.45	561%	569%	1520068	1521612	0	0
SRR26465521	outlier	OXFORD_NANOPORE	2285943	always	2158548	2237900	no	c259abd9ec454403b79260d6504362e8ebb35d94f63c3e9994410a3bc9d18317	270d5c586f7270168d1219923a2bd41c6fdb39087901143b9d994768f3b33708	no	4	34	NA	897	3990	23571	88519	yes	no	0:15.73	0:39.24	299%	556%	426092	1520416	0	0
SRR26465523	outlier	OXFORD_NANOPORE	2235838	auto	2152985	2152985	yes	30528fb74ad1099214b045e629658a1a1fc47945271e73a51280fb2f88fe451a	30528fb74ad1099214b045e629658a1a1fc47945271e73a51280fb2f88fe451a	yes	44	44	649	649	29721	29721	63538	no	no	0:22.30	0:22.19	543%	526%	1224372	1213516	0	0
SRR26465523	outlier	OXFORD_NANOPORE	2235838	always	2191080	2152985	no	f58b18c8a970bb843cb9b9a6ab64686866efe0b8ce931d6fbd960cdb3cf83dc5	30528fb74ad1099214b045e629658a1a1fc47945271e73a51280fb2f88fe451a	no	3	44	NA	649	4491	29721	63538	yes	no	0:09.53	0:22.39	309%	537%	312416	1208760	0	0
SRR26465524	outlier	OXFORD_NANOPORE	2287581	auto	2138308	2138308	yes	f89a45f47a4eda6a3b576933a659d1ee33da50baddb9ebc53210e43473bf0c72	f89a45f47a4eda6a3b576933a659d1ee33da50baddb9ebc53210e43473bf0c72	yes	30	30	554	554	15422	15422	53491	no	no	0:35.71	0:36.14	634%	630%	1961780	1919392	0	0
SRR26465524	outlier	OXFORD_NANOPORE	2287581	always	2072242	2138308	no	12e8a4153fbb5e2c85bcde30f215664e820ba769f44cbb61ddf9277fe74f6bfa	f89a45f47a4eda6a3b576933a659d1ee33da50baddb9ebc53210e43473bf0c72	no	3	30	NA	554	2739	15422	53491	yes	no	0:08.93	0:35.99	289%	627%	303836	1906052	0	0
SRR26465526	outlier	OXFORD_NANOPORE	2230369	auto	2214342	2214342	yes	d13f29a48d37e9994d1ffec74f0cfb6bf91ec836ae4e4a560855d7a8007d7fd7	d13f29a48d37e9994d1ffec74f0cfb6bf91ec836ae4e4a560855d7a8007d7fd7	yes	31	31	1338	1338	23258	23258	132633	no	no	0:37.77	0:37.32	512%	509%	1509200	1521756	0	0
SRR26465526	outlier	OXFORD_NANOPORE	2230369	always	2079221	2214342	no	40f4281bdfab21c699ffdfb0ebb8c21b7d648ae35aefde09367c18bc9c605c64	d13f29a48d37e9994d1ffec74f0cfb6bf91ec836ae4e4a560855d7a8007d7fd7	no	4	31	NA	1338	4078	23258	132633	yes	no	0:18.44	0:38.26	287%	481%	424184	1479068	0	0
SRR26465560	outlier	OXFORD_NANOPORE	3198172	auto	2926832	2926832	yes	f76a531aea7cee4d3c4220fa9a3b92f648037899f59f016fb6b48113c4236cb1	f76a531aea7cee4d3c4220fa9a3b92f648037899f59f016fb6b48113c4236cb1	yes	67	67	1204	1204	65360	65360	119614	no	no	0:26.49	0:25.76	461%	456%	1153312	1175812	0	0
SRR26465560	outlier	OXFORD_NANOPORE	3198172	always	2888701	2926832	no	803684fdec96b02b4793f4ffae3386e9c193d760586b4f72ac56cc0848419187	f76a531aea7cee4d3c4220fa9a3b92f648037899f59f016fb6b48113c4236cb1	no	5	67	NA	1204	9425	65360	119614	yes	no	0:19.30	0:26.38	360%	453%	512148	1126364	0	0
