run	platform	truth_bp	published_ratio	legacy_ratio	normalized_ratio	change_x	outcome	skew_score	normalization_engaged	profile_median_depth	retained_reads	total_reads	retained_fraction	raven_ratio	genomescope_ratio
SRR26465526	OXFORD_NANOPORE	2230369	0.0123	0.0122	0.9928	81.500	restored to within 10%	426.0	yes	31	23258	132633	0.1754	0.9881	2.5045
SRR10353548	OXFORD_NANOPORE	2269994	0.0170	0.0167	1.0274	61.590	restored to within 10%	281.0	yes	21	84208	251253	0.3352	0.9936	2.2167
SRR10861751	OXFORD_NANOPORE	2220590	0.0182	0.0179	0.9909	55.351	restored to within 10%	203.0	yes	15	25034	98030	0.2554	0.9899	2.6585
SRR26465521	OXFORD_NANOPORE	2285943	0.0182	0.0185	0.9790	52.888	restored to within 10%	252.0	yes	34	23571	88519	0.2663	0.9885	2.0825
SRR10861747	OXFORD_NANOPORE	2211092	0.0189	0.0192	0.9773	50.842	restored to within 10%	338.0	yes	21	45197	205419	0.2200	0.9901	2.3556
SRR26465524	OXFORD_NANOPORE	2287581	0.0232	0.0233	0.9347	40.072	restored to within 10%	180.0	yes	30	15422	53491	0.2883	0.9909	2.4370
SRR26465523	OXFORD_NANOPORE	2235838	0.0279	0.0267	0.9629	36.088	restored to within 10%	142.0	yes	44	29721	63538	0.4678	0.9871	1.8150
SRR16631313	PACBIO_SMRT	4966657	0.0554	0.0876	0.1207	1.378	improved, still under 0.5x	40.0	yes	11	4953	5238	0.9456	0.9691	1.0115
SRR16767125	PACBIO_SMRT	4963479	0.0511	0.0970	0.1680	1.733	improved, still under 0.5x	46.0	yes	11	5069	5338	0.9496	0.9653	0.3880
SRR26465560	OXFORD_NANOPORE	3198172	0.0949	0.0984	0.9152	9.297	restored to within 10%	165.0	yes	67	65360	119614	0.5464	0.9870	1.5477
SRR10259778	OXFORD_NANOPORE	4848320	0.1097	0.1052	0.4383	4.168	improved, still under 0.5x	43.0	yes	24	35104	41774	0.8403	0.9757	1.9438
SRR17188519	PACBIO_SMRT	4929712	0.1180	0.1127	0.1962	1.741	improved, still under 0.5x	43.0	yes	17	7583	7992	0.9488	1.0094	1.0814
SRR30162149	PACBIO_SMRT	11093179	0.1224	0.1152	0.3425	2.973	improved, still under 0.5x	42.0	yes	93	96130	105295	0.9130	1.0140	0.9609
SRR30357568	PACBIO_SMRT	2759957	0.2071	0.2109	0.2909	1.379	improved, still under 0.5x	20.67	yes	334	46736	46816	0.9983	1.0003	1.0111
SRR24489322	OXFORD_NANOPORE	4296919	0.2175	0.2234	0.4021	1.800	improved, still under 0.5x	25.0	yes	27	56001	74474	0.7520	1.0468	2.5650
SRR30357565	PACBIO_SMRT	2791411	0.2493	0.2377	0.2377	1.000	unchanged, still under 0.5x	15.33	no	126	17608	17651	0.9976	1.0143	1.0069
SRR30357567	PACBIO_SMRT	2897507	0.2385	0.2446	0.2351	0.961	unchanged, still under 0.5x	21.0	yes	314	46736	46810	0.9984	1.0005	1.0243
SRR26715166	OXFORD_NANOPORE	2271523	0.2113	0.2466	0.9120	3.698	restored to within 10%	64.0	yes	3	3756	7473	0.5026	0.9829	0.1545
SRR13183064	PACBIO_SMRT	6409097	0.3226	0.3016	0.3016	1.000	unchanged, still under 0.5x	4.0	no	2	19648	21275	0.9235	0.0357	0.0024
SRR10388020	OXFORD_NANOPORE	2218399	0.2472	0.3508	1.0433	2.974	restored to within 10%	205.0	yes	16	66867	182663	0.3661	0.9949	2.2471
SRR15006052	OXFORD_NANOPORE	1868579	0.5063	0.3646	0.8809	2.416	improved past 0.5x	56.0	yes	21	13363	95354	0.1401	0.7192	1.1709
SRR13183067	PACBIO_SMRT	4808040	0.4001	0.3797	0.3797	1.000	unchanged, still under 0.5x	4.0	no	2	21532	24314	0.8856	0.0157	0.0039
SRR30357566	PACBIO_SMRT	2834287	0.4036	0.3914	0.4047	1.034	unchanged, still under 0.5x	18.33	yes	113	16702	16722	0.9988	1.0006	1.0065
SRR26715165	OXFORD_NANOPORE	2271101	0.3999	0.4090	0.9380	2.293	restored to within 10%	47.0	yes	13	15243	39564	0.3853	0.9844	1.1656
DRR213976	OXFORD_NANOPORE	3927137	0.4024	0.4312	0.7535	1.747	improved past 0.5x	28.0	yes	27	39579	56652	0.6986	0.9839	1.2088
SRR26465563	OXFORD_NANOPORE	3117753	0.4917	0.5367	0.9760	1.819	published under 0.5x, already recovered at HEAD	86.0	yes	76	59957	93762	0.6395	0.9872	1.3787
SRR13009132	OXFORD_NANOPORE	2726177	0.6360	0.6607	0.4813	0.728	pushed under 0.5x by normalization	47.0	yes	17	5628	27029	0.2082	0.9787	0.9393
