GCF_002057455.1	[Actinomadura] parvosata subsp. kistnae	1909395	PRJNA348567	SAMN05912833	ASM205745v1	92.82	100	15
GCF_040215695.1	[Arthrobacter] sp. ATCC 21022	1771959	PRJNA1116247	SAMN41528051	ATCC 21022	99.74	100	0.18
GCF_003595605.1	[Bacillus] caldolyticus	1394	PRJNA420054	SAMN08104862	ASM359560v1	99.5	100	0.33
GCF_000987865.1	[Brevibacterium] flavum	92706	PRJNA279429	SAMN03494310	ASM98786v1	99.49	100	
GCF_001683055.1	[Brevibacterium] flavum ZL-1	1232385	PRJNA175240	SAMN05366914	ASM168305v1	97.92	50	0.34
GCF_025149125.1	[Clostridium] asparagiforme DSM 15981	518636	PRJNA746600	SAMN20222674	ASM2514912v1	98.44	77.77778	5.07
GCF_022845755.1	[Clostridium] hylemonae	89153	PRJDB11902	SAMD00389864	ASM2284575v1	99.38	100	
GCF_008281175.1	[Clostridium] hylemonae DSM 15053	553973	PRJNA523213	SAMN10967693	ASM828117v1	97.5	12.5	0.21
GCF_009684695.1	[Clostridium] scindens	29347	PRJNA561470	SAMN13152203	ASM968469v1	99.38	100	0.07
GCF_016889005.1	[Clostridium] scindens	29347	PRJNA231221	SAMN16357369	ASM1688900v1	99.38	100	0.07
GCF_019597925.1	[Clostridium] scindens	29347	PRJNA750754	SAMN20488193	ASM1959792v1	99.38	100	
GCF_020892115.1	[Clostridium] scindens	29347	PRJDB10323	SAMD00239677	ASM2089211v1	98.75	40.74074	0.07
GCF_022845815.1	[Clostridium] scindens	29347	PRJDB11902	SAMD00389867	ASM2284581v1	99.38	100	0.07
GCF_022845835.1	[Clostridium] scindens	29347	PRJDB11902	SAMD00389868	ASM2284583v1	99.38	100	0.07
GCF_027941655.1	[Clostridium] scindens	29347	PRJNA902789	SAMN31775693	ASM2794165v1	99.38	100	
GCF_033539415.1	[Clostridium] scindens	29347	PRJNA1026650	SAMN37482748	ASM3353941v1	98.75	40.74074	
GCF_033539435.1	[Clostridium] scindens	29347	PRJNA1026650	SAMN37482747	ASM3353943v1	98.75	40.74074	
GCF_033539455.1	[Clostridium] scindens	29347	PRJNA1026650	SAMN37482752	ASM3353945v1	99.38	100	
GCF_033539475.1	[Clostridium] scindens	29347	PRJNA1026650	SAMN37482754	ASM3353947v1	99.38	100	
GCF_033539495.1	[Clostridium] scindens	29347	PRJNA1026650	SAMN37482751	ASM3353949v1	99.38	100	0.07
GCF_033539515.1	[Clostridium] scindens	29347	PRJNA1026650	SAMN37482750	ASM3353951v1	98.75	40.74074	
GCF_033539535.1	[Clostridium] scindens	29347	PRJNA1026650	SAMN37482753	ASM3353953v1	98.75	40.74074	
GCF_036419135.1	[Clostridium] scindens	29347	PRJNA1066865	SAMN22167568	ASM3641913v1	99.38	100	
GCF_004295125.1	[Clostridium] scindens ATCC 35704	411468	PRJNA508260	SAMN10519000	ASM429512v1	99.38	100	1.32
GCF_040267475.1	[Clostridium] symbiosum	1512	PRJNA936716	SAMN33749591	UoG_LM19R_1.0	94.76	70.454544	4.24
GCF_001461805.1	[Enterobacter] lignolyticus	1334193	PRJNA297567	SAMN04074888	ASM146180v1	100	100	
GCF_001647695.1	[Haemophilus] ducreyi	730	PRJNA318024	SAMN04632440	ASM164769v1	96.34	74.19355	0.61
GCF_001647655.1	[Haemophilus] ducreyi	730	PRJNA318024	SAMN04632439	ASM164765v1	94.09	22.580645	0.41
GCF_001647735.1	[Haemophilus] ducreyi	730	PRJNA318024	SAMN04632441	ASM164773v1	94.18	25.806452	0.41
GCF_001647765.1	[Haemophilus] ducreyi	730	PRJNA318024	SAMN04632442	ASM164776v1	94.96	32.258064	0.41
GCF_001647795.1	[Haemophilus] ducreyi	730	PRJNA318024	SAMN04632443	ASM164779v1	95	38.70968	0.41
GCF_001647815.1	[Haemophilus] ducreyi	730	PRJNA318024	SAMN04632444	ASM164781v1	96.75	93.548386	0.59
GCF_001647835.1	[Haemophilus] ducreyi	730	PRJNA318024	SAMN04632445	ASM164783v1	95.25	51.612904	0.59
GCF_001647855.1	[Haemophilus] ducreyi	730	PRJNA318024	SAMN04632446	ASM164785v1	95.13	45.16129	1.19
GCF_001647875.1	[Haemophilus] ducreyi	730	PRJNA318024	SAMN04632447	ASM164787v1	95.3	54.83871	1.19
GCF_001647895.1	[Haemophilus] ducreyi	730	PRJNA318024	SAMN04632448	ASM164789v1	95.22	48.387096	0.54
GCF_001647915.1	[Haemophilus] ducreyi	730	PRJNA318024	SAMN04632449	ASM164791v1	95.05	41.935482	1.33
GCF_002208665.2	[Haemophilus] ducreyi	730	PRJNA231221	SAMN06173310	ASM220866v2	96.39	80.645164	1
GCF_036240075.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016478	ASM3624007v1	99.91	98.79518	0.09
GCF_035940175.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016529	ASM3594017v1	99.91	98.79518	0.09
GCF_035980495.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016496	ASM3598049v1	99.91	98.79518	0.57
GCF_036237255.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016536	ASM3623725v1	99.81	26.506023	0.09
GCF_036237335.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016532	ASM3623733v1	99.91	98.79518	0.09
GCF_004355245.1	[Mycobacterium] chelonae subsp. chelonae	2099321	PRJNA508902	SAMN10532726	ASM435524v1	98.7	69.565216	0.03
GCF_002356335.1	[Mycobacterium] stephanolepidis	1520670	PRJDB5828	SAMD00081530	ASM235633v1	98.86	100	0.38
GCF_037482225.1	[Mycoplasma] gypis	92404	PRJNA1088753	SAMN40497087	ASM3748222v1	96.39	100	
GCF_022647505.1	[Pantoea] beijingensis	1324864	PRJNA705825	SAMN18103994	ASM2264750v1	89.55	66.666664	2.94
GCF_016446395.1	[Phormidium] sp. ETS-05	222819	PRJNA622676	SAMN14525496	ASM1644639v1	93.76	100	0.72
GCF_029030725.1	[Pseudomonas] carboxydohydrogena	290	PRJNA901395	SAMN31712193	ASM2903072v1	67.93	50	4.95
GCF_025152405.1	[Ruminococcus] lactaris ATCC 29176	471875	PRJNA746600	SAMN20222711	ASM2515240v1	98.75	92.30769	0.62
