run	organism	truth_size	n_reads	sum_len	avg_len	n_targets	target_bases	target_depth	paper_2set	paper_ava	rerun_default	rerun_F	rerun_F005	ninf_default	ninf_F	ninf_F005
SRR16767125	Xanthomonas oryzae pv. oryzae	4963479	5338	55192812	10339.6	338	3452161	0.70	253427	547796	304556	3447360	3625604	428	997	1098
SRR16631313	Xanthomonas oryzae pv. oryzae	4966657	5238	53252594	10166.6	238	2403421	0.48	275229	403630	260413	2623069	2828869	778	1674	1806
SRR17188519	Xanthomonas oryzae pv. oryzae	4929712	7992	81438663	10190.0	2992	30551479	6.20	581614	567417	526523	4438454	4646896	0	0	0
SRR30357565	Corynebacterium belfantii	2791411	17651	385472895	21838.6	10000	218567667	78.30	695870	733690	663578	2769232	2823222	0	0	0
SRR30357566	Corynebacterium belfantii	2834287	16722	348667026	20850.8	10000	208724212	73.64	1144040	1148115	1109468	2841830	2887050	0	0	0
SRR30357567	Corynebacterium belfantii	2897507	46862	1000007700	21339.4	10000	213654936	73.74	691120	722025	733100	2911225	2957645	0	0	0
SRR30357568	Corynebacterium belfantii	2759957	46847	1000002843	21346.1	10000	212636353	77.04	571474	939314	752222	2761425	2805263	0	0	0
SRR30162149	Bradyrhizobium sp. 2S1	11093179	105176	1000005305	9507.9	10000	95407803	8.60	1357294	1244421	1162445	9766137	10291760	1	3	4
SRR13183064	Burkholderia dolosa	6409097	21275	35910803	1687.9	10000	16965305	2.65	2067495	2216808	1932965	2783694	8251981	1559	1745	2542
SRR13183067	Chromobacterium violaceum	4808040	24314	27776858	1142.4	10000	11358930	2.36	1923479	1990640	1825389	3023344	7616854	2238	2488	3350
SRR8618952	Xanthomonas oryzae	4907789	136128	1000001810	7346.0	10000	73307070	14.94	5822878	5946392	5890324	7201990	NA	176	269	NA
SRR26465560	Enterococcus faecium	3198172	119614	670197399	5603.0	10000	56294829	17.60	303420	478890	314829	2054919	2735176	30	278	717
SRR26465526	Neisseria gonorrhoeae	2230369	132633	743666544	5606.9	10000	56047054	25.13	27534	28696	27170	28246	50839	18	125	316
SRR12247681	Enterobacter ludwigii	5067008	315509	1000000676	3169.5	10000	30684293	6.06	4515577	6080170	4745472	NA	NA	330	NA	NA
