Run Accession	Assembly Accession	Organism Name	Organism Taxonomic ID	Assembly BioProject Accession	Assembly BioSample Accession	Assembly Name	Organism Infraspecific Names Strain	Assembly BioSample Strain 	Assembly Sequencing Tech	Assembly Stats Total Number of Chromosomes	Assembly Stats Total Sequence Length	Assembly Stats Genome Coverage	Assembly BioSample Project name  	Instrument Platform	CheckM completeness	CheckM contamination	CheckM completeness percentile	Assembly Release Date
SRR29457729	GCF_040215695.1	[Arthrobacter] sp. ATCC 21022	1771959	PRJNA1116247	SAMN41528051	ATCC 21022	ATCC 21022	ATCC 21022	Illumina;ONT	1	4434229	100.0		OXFORD_NANOPORE	99.74	0.18	100.0	2024-09-20
SRR13182350	GCF_016889005.1	[Clostridium] scindens	29347	PRJNA231221	SAMN16357369	ASM1688900v1	FDAARGOS_1227	FDAARGOS_1227	Illumina;PacBio	1	3619096	1116.1		PACBIO_SMRT	99.38	0.07	100.0	2021-02-15
DRR307121	GCF_022845815.1	[Clostridium] scindens	29347	PRJDB11902	SAMD00389867	ASM2284581v1	CE91-St59	CE91-St59	Illumina;PacBio	1	3608085	190.0	Isolate bacteria and archaea from a Japanese centenarian	PACBIO_SMRT	99.38	0.07	100.0	2022-02-04
DRR307122	GCF_022845835.1	[Clostridium] scindens	29347	PRJDB11902	SAMD00389868	ASM2284583v1	CE91-St60	CE91-St60	Illumina;PacBio	1	3608087	615.0	Isolate bacteria and archaea from a Japanese centenarian	PACBIO_SMRT	99.38	0.07	100.0	2022-02-04
SRR28053600	GCF_033539495.1	[Clostridium] scindens	29347	PRJNA1026650	SAMN37482751	ASM3353949v1	I10	I10	ONT	1	3435295	50.0		OXFORD_NANOPORE	99.38	0.07	100.0	2023-11-11
SRR21696445	GCF_036240075.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016478	ASM3624007v1	NBC_01269	NBC_01269	ONT	2	7532608	102.0		OXFORD_NANOPORE	99.91	0.09	98.79518	2024-01-26
SRR21696387	GCF_035940175.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016529	ASM3594017v1	NBC_01344	NBC_01344	ONT	1	7648620	115.0		OXFORD_NANOPORE	99.91	0.09	98.79518	2024-01-22
SRR21696425	GCF_035980495.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016496	ASM3598049v1	NBC_01295	NBC_01295	ONT	1	7559771	15.0		OXFORD_NANOPORE	99.91	0.57	98.79518	2024-01-22
SRR21696384	GCF_036237335.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016532	ASM3623733v1	NBC_01347	NBC_01347	ONT	1	7680165	68.0		OXFORD_NANOPORE	99.91	0.09	98.79518	2024-01-26
SRR15171261	GCF_025152405.1	[Ruminococcus] lactaris ATCC 29176	471875	PRJNA746600	SAMN20222711	ASM2515240v1	ATCC 29176	ATCC 29176	Illumina;ONT	1	2733858	100.0		OXFORD_NANOPORE	98.75	0.62	92.30769	2022-09-12
DRR241428	GCF_000193495.2	Acetobacter aceti NBRC 14818	887700	PRJDA52649	SAMD00036545	ASM19349v2	NBRC 14818	NBRC 14818	Illumina;PacBio	5	3693126	338.0		PACBIO_SMRT	99.8	0.63	100.0	2020-09-02
SRR29139885	GCF_040208445.1	Acetobacter sp. A11-2	3157859	PRJNA1114941	SAMN41503781	A11-2.1	A11-2	A11-2	PacBio	1	2866042	191.1		PACBIO_SMRT	96.15	1.06	100.0	2024-06-20
SRR29189150	GCF_040208455.1	Acetobacter sp. GHA7	3157860	PRJNA1114941	SAMN41551026	GHA7.1	GHA7	GHA7	PacBio	1	2927634	191.1		PACBIO_SMRT	98.18	0.64	100.0	2024-06-20
SRR22028292	GCF_025884515.1	Acholeplasma laidlawii	2148	PRJNA874543	SAMN30552787	ASM2588451v1	JS42	JS42	ONT	1	1611024	10.0		OXFORD_NANOPORE	99.18	0.33	100.0	2022-10-27
SRR12281669	GCF_020541125.1	Achromobacter sp. 77	2756133	PRJNA646886	SAMN15567587	ASM2054112v1	77	77	Illumina;PacBio	1	5868070	400.0		PACBIO_SMRT	97.37	1.9	100.0	2021-10-21
SRR8112132	GCF_003600685.1	Achromobacter sp. B7	2282475	PRJNA481776	SAMN09690389	ASM360068v1	B7	B7	ONT	1	6236552	66.3		OXFORD_NANOPORE	97.56	1.42	100.0	2018-09-27
SRR28702420	GCF_037039475.1	Achromobacter sp. E1	3141581	PRJNA1078573	SAMN40006910	ASM3703947v1			PacBio	1	5975307	100.0		PACBIO_SMRT	97.6	1.91	100.0	2024-04-05
SRR15310574	GCF_019448355.1	Achromobacter sp. ES-001	2860286	PRJNA747281	SAMN20284516	ASM1944835v1	ES-001	ES-001	Illumina;ONT	1	6544928	567.0		OXFORD_NANOPORE	97.61	1.44	100.0	2021-08-04
SRR17126946	GCF_020735645.1	Acidaminococcus fermentans DSM 20731	591001	PRJNA231221	SAMN22091668	ASM2073564v1	FDAARGOS_1571	FDAARGOS_1571	Illumina;PacBio	1	2333188	3393.6		PACBIO_SMRT	99.58	1.17	100.0	2021-11-03
SRR15171169	GCF_025144545.1	Acidaminococcus intestini	187327	PRJNA746600	SAMN20222632	ASM2514454v1	D21	D21	Illumina;ONT	1	2305309	100.0		OXFORD_NANOPORE	96.72	0.32	96.61017	2022-09-12
DRR514962	GCF_037101375.1	Acidovorax sp. DW039	3095606	PRJDB17029	SAMD00659498	ASM3710137v1	DW039	DW039	PacBio	2	5219685	137.0		PACBIO_SMRT	98.71	1.43	100.0	2024-04-05
SRR19119756	GCF_028473645.1	Acidovorax sp. GBBC 1281	2940492	PRJNA834920	SAMN28084394	ASM2847364v1	GBBC 1281	GBBC 1281	Illumina;ONT	2	5708010	270.0		OXFORD_NANOPORE	98.64	2.56	100.0	2023-02-06
SRR19119757	GCF_028473465.1	Acidovorax sp. GBBC 712	2940491	PRJNA834920	SAMN28084393	ASM2847346v1	GBBC 712	GBBC 712	Illumina;ONT	1	5586262	277.0		OXFORD_NANOPORE	99.25	1.07	100.0	2023-02-06
SRR19119760	GCF_028473605.1	Acidovorax sp. NCPPB 3576	2940488	PRJNA834920	SAMN28084390	ASM2847360v1	NCPPB 3576	NCPPB 3576	Illumina;ONT	1	5414205	292.0		OXFORD_NANOPORE	98.88	2.46	100.0	2023-02-06
SRR19119759	GCF_028473585.1	Acidovorax sp. NCPPB 3859	2940489	PRJNA834920	SAMN28084391	ASM2847358v1	NCPPB 3859	NCPPB 3859	Illumina;ONT	1	5593754	298.0		OXFORD_NANOPORE	99.25	1.07	100.0	2023-02-06
SRR3880289	GCF_001714725.1	Acidovorax sp. RAC01	1842533	PRJNA319830	SAMN04909706	ASM171472v1	RAC01	RAC01	PacBio	1	4574859	198.0		PACBIO_SMRT	98.94	0.95	100.0	2016-08-26
SRR10173075	GCF_001668465.2	Acinetobacter baumannii	470	PRJNA271775	SAMN05238697	ASM166846v2	ABUH773	ABUH773	ONT	2	3885710	200.0		OXFORD_NANOPORE	99.94	0.17	98.80884	2019-01-22
SRR10173077	GCF_001668465.2	Acinetobacter baumannii	470	PRJNA271775	SAMN05238697	ASM166846v2	ABUH773	ABUH773	ONT	2	3885710	200.0		OXFORD_NANOPORE	99.94	0.17	98.80884	2019-01-22
SRR8885333	GCF_003948455.2	Acinetobacter baumannii	470	PRJNA497581	SAMN10261589	ASM394845v2	TG22653	TG22653	Illumina;ONT	2	4018858	85.0		OXFORD_NANOPORE	99.94	0.17	98.80884	2019-04-30
SRR8885336	GCF_003948535.2	Acinetobacter baumannii	470	PRJNA497581	SAMN10261584	ASM394853v2	TG22627	TG22627	Illumina;ONT	2	3921030	95.0		OXFORD_NANOPORE	99.94	0.17	98.80884	2019-04-30
SRR8885335	GCF_003949595.2	Acinetobacter baumannii	470	PRJNA497581	SAMN10261544	ASM394959v2	TG22182	TG22182	Illumina;ONT	3	4052320	100.0		OXFORD_NANOPORE	99.94	0.17	98.80884	2019-05-09
SRR9313687	GCF_007221455.1	Acinetobacter baumannii	470	PRJNA503905	SAMN12045486	ASM722145v1	A320 (RUH134)	A320 (RUH134)	Illumina;PacBio	1	3896541	494.0		PACBIO_SMRT	99.84	0.17	77.03697	2019-06-20
SRR10013747	GCF_008124045.1	Acinetobacter baumannii	470	PRJNA560883	SAMN12603273	ASM812404v1	PG20180064	PG20180064	ONT	1	3843574	103.0		OXFORD_NANOPORE	99.94	1.36	98.80884	2019-08-29
SRR11176972	GCF_008632635.1	Acinetobacter baumannii	470	PRJNA565663	SAMN12769618	ASM863263v1	K09-14	K09-14	Illumina;ONT	2	3980230	568.0		OXFORD_NANOPORE	99.94	0.95	98.80884	2019-09-23
SRR16178825	GCF_009740145.1	Acinetobacter baumannii	470	PRJNA593376	SAMN13476302	ASM974014v1	XL380	XL380	Illumina;PacBio	2	3919248	100.0		PACBIO_SMRT	99.86	0.25	79.84118	2019-12-11
SRR12937579	GCF_015910475.1	Acinetobacter baumannii	470	PRJNA437968	SAMN08687991	ASM1591047v1	ATCC 17961	ATCC 17961	Illumina;ONT	3	4032448	188.0		OXFORD_NANOPORE	99.86	0.25	79.84118	2020-12-10
SRR18038245	GCF_018135585.1	Acinetobacter baumannii	470	PRJNA716893	SAMN18498587	ASM1813558v1	DETAB-P39	DETAB-P39	Illumina;ONT	2	3968176	150.0		OXFORD_NANOPORE	99.86	0.93	79.84118	2021-04-23
SRR12328712	GCF_019903175.1	Acinetobacter baumannii	470	PRJNA607827	SAMN15646563	ASM1990317v1	10_4	10_4	Illumina;ONT	1	3816508	100.0		OXFORD_NANOPORE	99.94	0.51	98.80884	2021-09-08
SRR12328713	GCF_019903195.1	Acinetobacter baumannii	470	PRJNA607827	SAMN15646562	ASM1990319v1	10_3	10_3	Illumina;ONT	1	3810320	100.0		OXFORD_NANOPORE	99.94	0.51	98.80884	2021-09-08
SRR17842125	GCF_022460155.2	Acinetobacter baumannii	470	PRJNA798866	SAMN25131638	ASM2246015v2	AB32-VUB	AB32-VUB	ONT	2	4041483	200.0		OXFORD_NANOPORE	99.94	0.5	98.80884	2022-08-26
SRR17842140	GCF_022468075.1	Acinetobacter baumannii	470	PRJNA798866	SAMN25131665	ASM2246807v1	AB219-VUB	AB219-VUB	ONT	1	3937922	200.0		OXFORD_NANOPORE	99.9	0.53	83.638016	2022-03-03
SRR17842141	GCF_022468195.1	Acinetobacter baumannii	470	PRJNA798866	SAMN25131664	ASM2246819v1	AB217-VUB	AB217-VUB	ONT	1	4068658	200.0		OXFORD_NANOPORE	99.83	0.25	75.994705	2022-03-03
SRR17842142	GCF_022468295.1	Acinetobacter baumannii	470	PRJNA798866	SAMN25131663	ASM2246829v1	AB216-VUB	AB216-VUB	ONT	1	3913930	200.0		OXFORD_NANOPORE	99.9	0.53	83.638016	2022-03-03
SRR17842153	GCF_022469075.1	Acinetobacter baumannii	470	PRJNA798866	SAMN25131653	ASM2246907v1	AB183-VUB	AB183-VUB	ONT	1	3997993	200.0		OXFORD_NANOPORE	99.83	0.25	75.994705	2022-03-03
SRR18918020	GCF_023221535.1	Acinetobacter baumannii	470	PRJNA812061	SAMN27770840	ASM2322153v1	F46	F46	Illumina;PacBio	1	3878974	45.0		PACBIO_SMRT	99.94	0.17	98.80884	2022-05-03
SRR14852546	GCF_023517155.1	Acinetobacter baumannii	470	PRJNA738868	SAMN19762585	ASM2351715v1	DETAB-E108	DETAB-E108	Illumina;ONT	2	4091717	150.0		OXFORD_NANOPORE	99.94	0.17	98.80884	2022-05-23
SRR14852514	GCF_023517175.1	Acinetobacter baumannii	470	PRJNA738868	SAMN19762827	ASM2351717v1	DETAB-E351	DETAB-E351	Illumina;ONT	2	3917947	150.0		OXFORD_NANOPORE	99.94	0.17	98.80884	2022-05-23
SRR14852537	GCF_023517255.1	Acinetobacter baumannii	470	PRJNA738868	SAMN19762636	ASM2351725v1	DETAB-E159	DETAB-E159	Illumina;ONT	3	4061599	150.0		OXFORD_NANOPORE	99.83	0.25	75.994705	2022-05-23
SRR14862582	GCF_023517695.1	Acinetobacter baumannii	470	PRJNA738868	SAMN19774653	ASM2351769v1	DETAB-P90	DETAB-P90	Illumina;ONT	3	4160315	150.0		OXFORD_NANOPORE	99.94	0.25	98.80884	2022-05-23
SRR22253723	GCF_028583465.1	Acinetobacter baumannii	470	PRJNA900181	SAMN31681935	ASM2858346v1	86II/2C	86II/2C	PacBio	1	3937483	403.0		PACBIO_SMRT	99.94	0.52	98.80884	2023-02-10
SRR23387324	GCF_028622695.1	Acinetobacter baumannii	470	PRJNA812595	SAMN32733979	ASM2862269v1	2022CK-00783	2022CK-00783	Illumina;ONT	2	3899751	77.0		OXFORD_NANOPORE	99.83	0.25	75.994705	2023-02-15
SRR23387317	GCF_028622775.1	Acinetobacter baumannii	470	PRJNA812595	SAMN32733960	ASM2862277v1	2022CK-00784	2022CK-00784	Illumina;ONT	2	3878279	90.0		OXFORD_NANOPORE	99.83	0.25	75.994705	2023-02-15
SRR23387316	GCF_028622915.1	Acinetobacter baumannii	470	PRJNA812595	SAMN32734002	ASM2862291v1	2022CK-00843	2022CK-00843	Illumina;ONT	2	3867763	101.0		OXFORD_NANOPORE	99.83	0.25	75.994705	2023-02-15
SRR22253726	GCF_029459635.1	Acinetobacter baumannii	470	PRJNA900182	SAMN31681941	ASM2945963v1	A118 DeltaH0N27_10820::kan H0N27_10830-K176N	A118 DeltaH0N27_10820::kan H0N27_10830-K176N	PacBio	1	3750381	468.9		PACBIO_SMRT	99.84	0.22	77.03697	2023-03-29
SRR22253727	GCF_029459655.1	Acinetobacter baumannii	470	PRJNA900182	SAMN31681940	ASM2945965v1	A118 DeltaH0N27_10820-30::kan	A118 DeltaH0N27_10820-30::kan	PacBio	1	3749418	342.7		PACBIO_SMRT	99.84	0.22	77.03697	2023-03-29
SRR22253728	GCF_029459755.1	Acinetobacter baumannii	470	PRJNA900182	SAMN31681939	ASM2945975v1	A118 DeltaH0N27_10830::kan	A118 DeltaH0N27_10830::kan	PacBio	1	3750940	466.0		PACBIO_SMRT	99.84	0.22	77.03697	2023-03-29
SRR18500010	GCF_029713785.1	Acinetobacter baumannii	470	PRJNA819214	SAMN27010289	ASM2971378v1	RAB94	RAB94	Illumina;ONT	4	4069304	142.0		OXFORD_NANOPORE	99.83	0.96	75.994705	2023-04-13
SRR18500025	GCF_029713865.1	Acinetobacter baumannii	470	PRJNA819214	SAMN27010238	ASM2971386v1	JAB186	JAB186	Illumina;ONT	3	4166040	179.0		OXFORD_NANOPORE	99.93	0.39	84.52312	2023-04-13
SRR18500014	GCF_029713905.1	Acinetobacter baumannii	470	PRJNA819214	SAMN27010277	ASM2971390v1	RAB53	RAB53	Illumina;ONT	2	4005937	207.0		OXFORD_NANOPORE	99.83	0.25	75.994705	2023-04-13
SRR18500027	GCF_029713945.1	Acinetobacter baumannii	470	PRJNA819214	SAMN27010231	ASM2971394v1	JAB144	JAB144	Illumina;ONT	4	4192037	190.0		OXFORD_NANOPORE	99.83	0.25	75.994705	2023-04-13
SRR18500031	GCF_029714005.1	Acinetobacter baumannii	470	PRJNA819214	SAMN27010219	ASM2971400v1	JAB77	JAB77	Illumina;ONT	3	4113458	131.0		OXFORD_NANOPORE	99.83	0.45	75.994705	2023-04-13
SRR18500024	GCF_029714085.1	Acinetobacter baumannii	470	PRJNA819214	SAMN27010253	ASM2971408v1	JAB270	JAB270	Illumina;ONT	3	4006979	200.0		OXFORD_NANOPORE	99.83	0.25	75.994705	2023-04-13
