run	platform	true_size	v030_estimate	v1_estimate	v030_relative_error	v1_relative_error	source
DRR072240	PACBIO_SMRT	2877864	16321066	5790440	467.1243	101.2062	pb_preset
DRR126367	PACBIO_SMRT	3320462	4489858	4009540	35.2179	20.7525	pb_preset
DRR126418	PACBIO_SMRT	3138474	4512398	4050806	43.7768	29.0693	pb_preset
DRR126420	PACBIO_SMRT	3171737	4394832	3995281	38.5623	25.9651	pb_preset
DRR140496	PACBIO_SMRT	6191129	12617819	10298930	103.8048	66.3498	pb_preset
DRR148418	PACBIO_SMRT	4852135	8429857	6626556	73.7350	36.5699	pb_preset
DRR154116	OXFORD_NANOPORE	2096423	2635155	2635155	25.6977	25.6977	norm
DRR157860	PACBIO_SMRT	5307994	8980414	7958944	69.1866	49.9426	pb_preset
DRR161250	OXFORD_NANOPORE	6225779	6981820	6981820	12.1437	12.1437	norm
DRR161253	OXFORD_NANOPORE	4458926	4950611	4950611	11.0270	11.0270	norm
DRR161254	OXFORD_NANOPORE	5657388	6523893	6523893	15.3163	15.3163	norm
DRR161255	OXFORD_NANOPORE	6301681	7072418	7072418	12.2307	12.2307	norm
DRR161257	OXFORD_NANOPORE	4566186	5070969	5070969	11.0548	11.0548	norm
DRR161260	OXFORD_NANOPORE	5788994	6551393	6551393	13.1698	13.1698	norm
DRR161262	OXFORD_NANOPORE	5318517	5814093	5814093	9.3179	9.3179	norm
DRR161264	OXFORD_NANOPORE	5929171	6582066	6582066	11.0116	11.0116	norm
DRR161266	OXFORD_NANOPORE	5979623	7074600	7074600	18.3118	18.3118	norm
DRR161268	OXFORD_NANOPORE	6008916	6770635	6770635	12.6765	12.6765	norm
DRR161269	OXFORD_NANOPORE	5732362	6163724	6163724	7.5250	7.5250	norm
DRR161273	OXFORD_NANOPORE	5940375	6795844	6795844	14.4009	14.4009	norm
DRR161274	OXFORD_NANOPORE	5876557	6495052	6495052	10.5248	10.5248	norm
DRR161276	OXFORD_NANOPORE	6237139	6843240	6843240	9.7176	9.7176	norm
DRR161277	OXFORD_NANOPORE	6219859	6722052	6722052	8.0740	8.0740	norm
DRR161282	OXFORD_NANOPORE	6585921	7201740	7201740	9.3505	9.3505	norm
DRR161284	OXFORD_NANOPORE	6042466	6592346	6592346	9.1003	9.1003	norm
DRR161286	OXFORD_NANOPORE	5531300	6326072	6326072	14.3686	14.3686	norm
DRR161287	OXFORD_NANOPORE	4577045	5038094	5038094	10.0731	10.0731	norm
DRR161289	OXFORD_NANOPORE	6085955	6624698	6624698	8.8522	8.8522	norm
DRR161292	OXFORD_NANOPORE	5579510	6246918	6246918	11.9618	11.9618	norm
