accession	class	platform	truth_bp	mode	old_estimate_bp	new_estimate_bp	old_over_truth	new_over_truth	old_detection_reads	new_detection_reads	old_skew_score	new_skew_score	old_verdict	new_verdict	profile_median_depth	unchanged
DRR213976	outlier	OXFORD_NANOPORE	3927137	auto	2828479	2828479	0.720	0.720	579	579	33.00	33.00	skewed	skewed	27	yes
SRR10259778	outlier	OXFORD_NANOPORE	4848320	auto	1918519	2125186	0.396	0.438	427	500	39.00	43.00	skewed	skewed	24	no
SRR10353548	outlier	OXFORD_NANOPORE	2269994	auto	2332247	2332247	1.027	1.027	2546	2546	281.00	281.00	skewed	skewed	21	yes
SRR10388020	outlier	OXFORD_NANOPORE	2218399	auto	2314366	2314366	1.043	1.043	1838	1838	205.00	205.00	skewed	skewed	16	yes
SRR10861747	outlier	OXFORD_NANOPORE	2211092	auto	2192374	2192374	0.992	0.992	2065	2065	340.00	340.00	skewed	skewed	21	yes
SRR12247681	control	OXFORD_NANOPORE	5067008	auto	5544558	5544558	1.094	1.094	3172	3172	104.00	104.00	skewed	skewed	27	yes
SRR12247681	control	OXFORD_NANOPORE	5067008	never	4745472	4745472	0.937	0.937	NA	NA	NA	NA	NA	NA	NA	yes
SRR24489322	outlier	OXFORD_NANOPORE	4296919	auto	1799306	1799306	0.419	0.419	748	748	21.00	21.00	skewed	skewed	26	yes
SRR26465521	outlier	OXFORD_NANOPORE	2285943	auto	2237900	2237900	0.979	0.979	897	897	252.00	252.00	skewed	skewed	34	yes
SRR26465523	outlier	OXFORD_NANOPORE	2235838	auto	2152985	2152985	0.963	0.963	649	649	142.00	142.00	skewed	skewed	44	yes
SRR26465524	outlier	OXFORD_NANOPORE	2287581	auto	2138308	2138308	0.935	0.935	554	554	180.00	180.00	skewed	skewed	30	yes
SRR26465526	outlier	OXFORD_NANOPORE	2230369	auto	2214342	2214342	0.993	0.993	1338	1338	426.00	426.00	skewed	skewed	31	yes
SRR26465563	outlier	OXFORD_NANOPORE	3117753	auto	3043047	3043047	0.976	0.976	963	963	86.00	86.00	skewed	skewed	76	yes
SRR26715165	outlier	OXFORD_NANOPORE	2271101	auto	2159377	2130202	0.951	0.938	403	500	38.00	47.00	skewed	skewed	13	no
SRR26715165	outlier	OXFORD_NANOPORE	2271101	never	928901	928901	0.409	0.409	NA	NA	NA	NA	NA	NA	NA	yes
SRR26715166	outlier	OXFORD_NANOPORE	2271523	auto	489466	1881388	0.215	0.828	69	500	13.00	64.00	unskewed	skewed	3	no
SRR8618952	control	PACBIO_SMRT	4907789	always	5794285	5794285	1.181	1.181	NA	NA	NA	NA	NA	NA	26	yes
SRR8618952	control	PACBIO_SMRT	4907789	auto	5890324	5890324	1.200	1.200	1368	1368	6.00	6.00	unskewed	unskewed	NA	yes
SRR8618952	control	PACBIO_SMRT	4907789	never	5890324	5890324	1.200	1.200	NA	NA	NA	NA	NA	NA	NA	yes
