run	platform	truth_bp	residual_failure	never_plain	never_filter	auto_plain	auto_filter	queries_no_overlap_pct_auto_filter
DRR213976	ont	3927137	no	0.4138	1.1317	0.7202	1.1061	0.0
SRR10259778	ont	4848320	yes	0.1052	0.4399	0.4383	1.6604	0.62
SRR10353548	ont	2269994	no	0.0167	0.0169	1.0274	1.1517	0.0
SRR10388020	ont	2218399	no	0.3508	0.5256	1.0433	1.1804	0.0
SRR10861747	ont	2211092	no	0.0193	0.0193	0.9915	1.0720	0.0
SRR10861751	ont	2220590	no	0.0179	0.0179	0.9909	1.0799	0.0
SRR12247681	ont	5067008	no	0.9365	1.1505	1.0942	1.1982	4.12
SRR13183064	pb	6409097	yes	0.3016	0.4343	0.3016	0.4343	31.18
SRR13183067	pb	4808040	yes	0.3797	0.6288	0.3797	0.6288	44.76
SRR16631313	pb	4966657	yes	0.0876	0.8808	0.1207	0.9007	0.0
SRR16767125	pb	4963479	yes	0.0970	0.9169	0.1680	0.9155	0.18
SRR17188519	pb	4929712	yes	0.1127	0.9098	0.1962	0.8930	0.0
SRR24489322	ont	4296919	yes	0.2047	0.4220	0.4187	0.9449	1.18
SRR26465521	ont	2285943	no	0.0185	0.0189	0.9790	1.1654	0.46
SRR26465523	ont	2235838	no	0.0267	0.0273	0.9629	1.2267	0.62
SRR26465524	ont	2287581	no	0.0233	0.0236	0.9347	1.1596	0.50
SRR26465526	ont	2230369	no	0.0122	0.0127	0.9928	1.1968	0.84
SRR26465560	ont	3198172	no	0.0984	0.6425	0.9152	1.1863	0.78
SRR26465563	ont	3117753	no	0.5367	1.3797	0.9760	1.2349	0.68
SRR26715165	ont	2271101	no	0.4090	1.2938	0.9380	1.1188	0.0
SRR26715166	ont	2271523	no	0.2466	1.1873	0.9120	1.1804	0.0
SRR30162149	pb	11093179	yes	0.1048	0.8804	0.3466	0.8724	0.0
SRR30357565	pb	2791411	yes	0.2377	0.9921	0.2377	0.9921	0.0
SRR30357566	pb	2834287	yes	0.3914	1.0027	0.4047	0.9900	0.0
SRR30357567	pb	2897507	yes	0.2530	1.0047	0.2514	0.9922	0.0
SRR30357568	pb	2759957	yes	0.2725	1.0005	0.2203	0.9983	0.0
SRR8618952	pb	4907789	no	1.2002	1.4675	1.2002	1.4675	3.52
