run	platform	truth_bp	ont_preset_bp	pb_preset_bp	ont_preset_over_truth	pb_preset_over_truth	matches_issue36
DRR072240	PACBIO_SMRT	2877864	16321066	5790440	5.6712	2.0121	yes
DRR126367	PACBIO_SMRT	3320462	4489858	4009540	1.3522	1.2075	yes
DRR126418	PACBIO_SMRT	3138474	4512398	4050806	1.4378	1.2907	yes
DRR126420	PACBIO_SMRT	3171737	4394832	3995281	1.3856	1.2597	yes
DRR140496	PACBIO_SMRT	6191129	12617819	10298930	2.0380	1.6635	yes
DRR148418	PACBIO_SMRT	4852135	8429857	6626556	1.7374	1.3657	yes
DRR154116	OXFORD_NANOPORE	2096423	2635155	2878048	1.2570	1.3728	yes
DRR157860	PACBIO_SMRT	5307994	8980414	7958944	1.6919	1.4994	yes
DRR174804	PACBIO_SMRT	4768325	8172083	7408560	1.7138	1.5537	yes
DRR174806	PACBIO_SMRT	4811855	6149730	5646643	1.2780	1.1735	yes
DRR174808	PACBIO_SMRT	4770723	6174184	5665774	1.2942	1.1876	yes
DRR174985	PACBIO_SMRT	2579134	3235420	3021025	1.2545	1.1713	yes
DRR179484	PACBIO_SMRT	3301347	3770280	3659589	1.1420	1.1085	yes
DRR179485	PACBIO_SMRT	2962376	3433126	3327653	1.1589	1.1233	yes
DRR179488	PACBIO_SMRT	3302129	3747216	3641714	1.1348	1.1028	yes
DRR180575	PACBIO_SMRT	2957206	5174018	4709988	1.7496	1.5927	yes
DRR189760	PACBIO_SMRT	4950731	11857879	8439858	2.3952	1.7048	yes
DRR198111	PACBIO_SMRT	2878459	3107547	3091788	1.0796	1.0741	yes
DRR207928	PACBIO_SMRT	2908404	3515859	3373965	1.2089	1.1601	yes
DRR218311	PACBIO_SMRT	3095585	3885932	3683658	1.2553	1.1900	yes
DRR228291	PACBIO_SMRT	9470940	16344734	12786986	1.7258	1.3501	yes
DRR228292	PACBIO_SMRT	11246397	22368648	15726472	1.9890	1.3984	yes
DRR241428	PACBIO_SMRT	3693126	6607590	5047191	1.7892	1.3666	yes
DRR248582	PACBIO_SMRT	9216772	17529824	12017277	1.9019	1.3038	yes
DRR296284	PACBIO_SMRT	6732290	6319411	6417458	0.9387	0.9532	yes
DRR307107	PACBIO_SMRT	2727503	3282754	3085505	1.2036	1.1313	yes
DRR307112	PACBIO_SMRT	3812179	4968606	4693215	1.3034	1.2311	yes
DRR307121	PACBIO_SMRT	3608085	4640775	4368288	1.2862	1.2107	yes
DRR307122	PACBIO_SMRT	3608087	3956382	3827491	1.0965	1.0608	yes
DRR307155	PACBIO_SMRT	4117255	5007674	4749620	1.2163	1.1536	yes
DRR307162	PACBIO_SMRT	2686623	3420546	3216002	1.2732	1.1970	yes
DRR331382	PACBIO_SMRT	4604912	10324912	8450020	2.2422	1.8350	yes
DRR331672	PACBIO_SMRT	2687455	7490536	5046306	2.7872	1.8777	yes
DRR331673	PACBIO_SMRT	2687455	6658907	4623679	2.4778	1.7205	yes
DRR331674	PACBIO_SMRT	2687455	6138386	4369669	2.2841	1.6260	yes
DRR331675	PACBIO_SMRT	2687455	6056863	4306841	2.2538	1.6026	yes
DRR331676	PACBIO_SMRT	2687455	5244165	3954901	1.9513	1.4716	yes
DRR331677	PACBIO_SMRT	2687455	5073317	3857216	1.8878	1.4353	yes
DRR331678	PACBIO_SMRT	2687455	5103061	3910451	1.8988	1.4551	yes
DRR331679	PACBIO_SMRT	2687455	4984582	3841122	1.8548	1.4293	yes
DRR346902	PACBIO_SMRT	3598496	3465627	3474207	0.9631	0.9655	yes
DRR376827	PACBIO_SMRT	6034532	7053056	6664376	1.1688	1.1044	yes
DRR378333	PACBIO_SMRT	5050229	10630263	8026772	2.1049	1.5894	yes
DRR379710	PACBIO_SMRT	6768296	31372318	15301771	4.6352	2.2608	yes
DRR396223	PACBIO_SMRT	5914097	6829525	6446176	1.1548	1.0900	yes
DRR403244	PACBIO_SMRT	3403863	3343241	3336527	0.9822	0.9802	yes
DRR403326	PACBIO_SMRT	3762062	3643688	3648976	0.9685	0.9699	yes
DRR403997	PACBIO_SMRT	2896423	4942152	4564791	1.7063	1.5760	yes
DRR403998	PACBIO_SMRT	2839476	3375290	3103354	1.1887	1.0929	yes
DRR403999	PACBIO_SMRT	2818420	5017518	4548535	1.7803	1.6139	yes
DRR404003	PACBIO_SMRT	2853704	4870772	4456352	1.7068	1.5616	yes
DRR409419	PACBIO_SMRT	6168102	9293074	8044758	1.5066	1.3043	yes
DRR413267	PACBIO_SMRT	1868546	1887464	1896946	1.0101	1.0152	yes
DRR413434	PACBIO_SMRT	2594181	2576532	2585890	0.9932	0.9968	yes
DRR413435	PACBIO_SMRT	2773381	2728968	2728721	0.9840	0.9839	yes
DRR482541	OXFORD_NANOPORE	1677003	1729315	1748391	1.0312	1.0426	yes
DRR488392	PACBIO_SMRT	6050184	5841067	5665328	0.9654	0.9364	yes
DRR490216	PACBIO_SMRT	5125506	4743750	4761904	0.9255	0.9291	yes
