accession	class	platform	truth_bp	mode	old_estimate_bp	new_estimate_bp	old_over_truth	new_over_truth	old_skew_score	new_skew_score	old_verdict	new_verdict	old_median_depth	new_median_depth	old_retained_reads	new_retained_reads	total_reads	old_elapsed	new_elapsed
DRR213976	outlier	OXFORD_NANOPORE	3927137	auto	1957486	2828479	0.498	0.720	32.0	33.0	skewed	skewed	105	27	54439	39586	56694	2:23.92	1:49.19
SRR10259778	outlier	OXFORD_NANOPORE	4848320	auto	786594	1918519	0.162	0.396	39.0	39.0	skewed	skewed	102	25	39731	35280	41774	2:18.80	2:07.48
SRR10353548	outlier	OXFORD_NANOPORE	2269994	auto	2276320	2332247	1.003	1.027	280.0	281.0	skewed	skewed	71	21	124795	84208	251253	1:41.19	1:21.96
SRR10388020	outlier	OXFORD_NANOPORE	2218399	auto	2273770	2314366	1.025	1.043	205.0	205.0	skewed	skewed	50	16	96688	66867	182663	1:28.45	1:06.61
SRR10861747	outlier	OXFORD_NANOPORE	2211092	auto	2144950	2192374	0.970	0.992	340.0	340.0	skewed	skewed	64	21	74081	45443	205462	1:52.18	1:25.69
SRR10861751	outlier	OXFORD_NANOPORE	2220590	auto	2077501	2200418	0.936	0.991	203.0	203.0	skewed	skewed	36	15	32443	25034	98030	0:47.24	0:43.90
SRR10861751	outlier	OXFORD_NANOPORE	2220590	never	39754	39754	0.018	0.018	NA	NA	NA	NA	NA	NA	NA	NA	NA	2:34.30	2:36.20
SRR12247681	control	OXFORD_NANOPORE	5067008	auto	5639060	5544558	1.113	1.094	104.0	104.0	skewed	skewed	100	27	172655	141292	315509	1:37.09	1:22.96
SRR12247681	control	OXFORD_NANOPORE	5067008	never	4745472	4745472	0.937	0.937	NA	NA	NA	NA	NA	NA	NA	NA	NA	0:20.21	0:20.44
SRR24489322	outlier	OXFORD_NANOPORE	4296919	auto	1153835	1799306	0.269	0.419	21.0	21.0	skewed	skewed	106	26	68202	55406	74503	2:00.60	1:37.62
SRR26465521	outlier	OXFORD_NANOPORE	2285943	auto	2142828	2237900	0.937	0.979	252.0	252.0	skewed	skewed	51	34	25579	23571	88519	1:11.28	1:05.21
SRR26465523	outlier	OXFORD_NANOPORE	2235838	auto	2190770	2152985	0.980	0.963	142.0	142.0	skewed	skewed	53	44	29883	29721	63538	1:26.20	1:20.29
SRR26465524	outlier	OXFORD_NANOPORE	2287581	auto	2112788	2138308	0.924	0.935	180.0	180.0	skewed	skewed	40	30	15755	15422	53491	0:56.34	0:53.43
SRR26465526	outlier	OXFORD_NANOPORE	2230369	auto	2143654	2214342	0.961	0.993	425.0	426.0	skewed	skewed	52	31	26905	23258	132633	1:26.34	1:15.89
SRR26465560	outlier	OXFORD_NANOPORE	3198172	always	2989630	2888701	0.935	0.903	NA	NA	NA	NA	24	5	NA	NA	NA	1:02.45	0:55.67
SRR26465560	outlier	OXFORD_NANOPORE	3198172	auto	2979472	2926832	0.932	0.915	165.0	165.0	skewed	skewed	89	67	66081	65360	119614	1:04.00	1:01.93
SRR26465560	outlier	OXFORD_NANOPORE	3198172	never	314829	314829	0.098	0.098	NA	NA	NA	NA	NA	NA	NA	NA	NA	1:05.10	1:07.42
SRR26465563	outlier	OXFORD_NANOPORE	3117753	auto	3055125	3043047	0.980	0.976	82.0	86.0	skewed	skewed	94	76	60522	59957	93762	0:55.33	0:51.10
SRR26715165	outlier	OXFORD_NANOPORE	2271101	auto	2104556	2159377	0.927	0.951	38.0	38.0	skewed	skewed	42	14	24236	15883	39564	1:17.21	1:13.66
SRR26715165	outlier	OXFORD_NANOPORE	2271101	never	928901	928901	0.409	0.409	NA	NA	NA	NA	NA	NA	NA	NA	NA	0:52.63	0:53.78
SRR26715166	outlier	OXFORD_NANOPORE	2271523	auto	489466	489466	0.215	0.215	12.0	13.0	unskewed	unskewed	NA	NA	NA	NA	NA	0:22.79	0:22.69
SRR8618952	control	PACBIO_SMRT	4907789	always	5912924	5794285	1.205	1.181	NA	NA	NA	NA	131	26	NA	NA	NA	1:25.81	1:12.56
SRR8618952	control	PACBIO_SMRT	4907789	auto	5890324	5890324	1.200	1.200	3.0	6.0	unskewed	unskewed	NA	NA	NA	NA	NA	0:08.12	0:07.74
SRR8618952	control	PACBIO_SMRT	4907789	never	5890324	5890324	1.200	1.200	NA	NA	NA	NA	NA	NA	NA	NA	NA	0:06.84	0:06.63
