accession	class	platform	truth_bp	pool_reads	split	target_reads_used	query_reads_used	target_per_query	seed	estimate_bp	estimate_over_truth	iqr_low_bp	iqr_high_bp	queries_without_overlaps_pct	elapsed	max_rss_kb	exit_status	run_dir
DRR213976	outlier	OXFORD_NANOPORE	3927137	7087	legacy	2087	5000	0.42	7	614430	0.156	201610	1730000	0.04	0:15.06	964696	0	split/DRR213976/legacy/7
DRR213976	outlier	OXFORD_NANOPORE	3927137	7087	legacy	2087	5000	0.42	42	637966	0.162	199550	1700000	0.02	0:14.78	1045880	0	split/DRR213976/legacy/42
DRR213976	outlier	OXFORD_NANOPORE	3927137	7087	legacy	2087	5000	0.42	4556	609629	0.155	194350	1710000	0.02	0:15.19	985688	0	split/DRR213976/legacy/4556
DRR213976	outlier	OXFORD_NANOPORE	3927137	7087	1to1	3543	3544	1.00	7	728333	0.185	261690	2300000	0.03	0:15.05	1532796	0	split/DRR213976/1to1/7
DRR213976	outlier	OXFORD_NANOPORE	3927137	7087	1to1	3543	3544	1.00	42	791762	0.202	277860	2300000	0.03	0:15.11	1560412	0	split/DRR213976/1to1/42
DRR213976	outlier	OXFORD_NANOPORE	3927137	7087	1to1	3543	3544	1.00	4556	790547	0.201	265490	2550000	0.03	0:15.02	1465804	0	split/DRR213976/1to1/4556
DRR213976	outlier	OXFORD_NANOPORE	3927137	7087	2to1	4724	2363	2.00	7	886521	0.226	325350	2780000	0.04	0:12.64	1675008	0	split/DRR213976/2to1/7
DRR213976	outlier	OXFORD_NANOPORE	3927137	7087	2to1	4724	2363	2.00	42	1054098	0.268	329380	3180000	0.04	0:12.58	1754244	0	split/DRR213976/2to1/42
DRR213976	outlier	OXFORD_NANOPORE	3927137	7087	2to1	4724	2363	2.00	4556	1071740	0.273	336380	3070000	0.04	0:12.67	1723476	0	split/DRR213976/2to1/4556
DRR213976	outlier	OXFORD_NANOPORE	3927137	7087	4to1	5669	1418	4.00	7	1295306	0.330	372220	3300000	0.07	0:09.35	1991240	0	split/DRR213976/4to1/7
DRR213976	outlier	OXFORD_NANOPORE	3927137	7087	4to1	5669	1418	4.00	42	1382218	0.352	358200	3460000	0.07	0:09.71	1982212	0	split/DRR213976/4to1/42
DRR213976	outlier	OXFORD_NANOPORE	3927137	7087	4to1	5669	1418	4.00	4556	1511864	0.385	377780	3550000	0.07	0:09.70	1987216	0	split/DRR213976/4to1/4556
DRR213976	outlier	OXFORD_NANOPORE	3927137	7087	8to1	6299	788	7.99	7	1435360	0.365	384630	3430000	0.0	0:06.88	2077060	0	split/DRR213976/8to1/7
DRR213976	outlier	OXFORD_NANOPORE	3927137	7087	8to1	6299	788	7.99	42	1525192	0.388	377270	3600000	0.13	0:06.91	2244568	0	split/DRR213976/8to1/42
DRR213976	outlier	OXFORD_NANOPORE	3927137	7087	8to1	6299	788	7.99	4556	1418870	0.361	397880	3450000	0.13	0:07.04	2141648	0	split/DRR213976/8to1/4556
SRR12247681	control	OXFORD_NANOPORE	5067008	7513	legacy	2513	5000	0.50	7	54458	0.011	17300	3970000	12.68	0:09.71	205176	0	split/SRR12247681/legacy/7
SRR12247681	control	OXFORD_NANOPORE	5067008	7513	legacy	2513	5000	0.50	42	51251	0.010	18240	4360000	11.64	0:08.86	227312	0	split/SRR12247681/legacy/42
SRR12247681	control	OXFORD_NANOPORE	5067008	7513	legacy	2513	5000	0.50	4556	51807	0.010	18040	4310000	11.82	0:09.04	220352	0	split/SRR12247681/legacy/4556
SRR12247681	control	OXFORD_NANOPORE	5067008	7513	1to1	3756	3757	1.00	7	64560	0.013	19420	5600000	7.85	0:07.80	320396	0	split/SRR12247681/1to1/7
SRR12247681	control	OXFORD_NANOPORE	5067008	7513	1to1	3756	3757	1.00	42	58999	0.012	19710	5800000	6.92	0:09.11	313636	0	split/SRR12247681/1to1/42
SRR12247681	control	OXFORD_NANOPORE	5067008	7513	1to1	3756	3757	1.00	4556	60689	0.012	19380	5510000	8.33	0:07.60	316028	0	split/SRR12247681/1to1/4556
SRR12247681	control	OXFORD_NANOPORE	5067008	7513	2to1	5008	2505	2.00	7	419945	0.083	28370	6120000	6.23	0:04.92	419072	0	split/SRR12247681/2to1/7
SRR12247681	control	OXFORD_NANOPORE	5067008	7513	2to1	5008	2505	2.00	42	359859	0.071	29190	6590000	6.31	0:04.86	430128	0	split/SRR12247681/2to1/42
SRR12247681	control	OXFORD_NANOPORE	5067008	7513	2to1	5008	2505	2.00	4556	411834	0.081	28390	6430000	7.23	0:05.06	488932	0	split/SRR12247681/2to1/4556
SRR12247681	control	OXFORD_NANOPORE	5067008	7513	4to1	6010	1503	4.00	7	2262314	0.446	47840	6850000	6.59	0:03.81	500476	0	split/SRR12247681/4to1/7
SRR12247681	control	OXFORD_NANOPORE	5067008	7513	4to1	6010	1503	4.00	42	2931110	0.578	51890	7030000	5.59	0:05.23	574824	0	split/SRR12247681/4to1/42
SRR12247681	control	OXFORD_NANOPORE	5067008	7513	4to1	6010	1503	4.00	4556	3579893	0.707	47100	7150000	6.39	0:03.75	579120	0	split/SRR12247681/4to1/4556
SRR12247681	control	OXFORD_NANOPORE	5067008	7513	8to1	6678	835	8.00	7	3643225	0.719	62490	7490000	5.39	0:03.58	558956	0	split/SRR12247681/8to1/7
SRR12247681	control	OXFORD_NANOPORE	5067008	7513	8to1	6678	835	8.00	42	3849768	0.760	69690	7380000	7.07	0:02.24	572428	0	split/SRR12247681/8to1/42
SRR12247681	control	OXFORD_NANOPORE	5067008	7513	8to1	6678	835	8.00	4556	4382888	0.865	65920	7630000	8.02	0:02.63	604880	0	split/SRR12247681/8to1/4556
SRR26715166	outlier	OXFORD_NANOPORE	2271523	7473	legacy	2473	5000	0.49	7	442439	0.195	42140	1980000	0.0	0:23.50	1015320	0	split/SRR26715166/legacy/7
SRR26715166	outlier	OXFORD_NANOPORE	2271523	7473	legacy	2473	5000	0.49	42	475773	0.209	41770	2050000	0.0	0:23.76	1043576	0	split/SRR26715166/legacy/42
SRR26715166	outlier	OXFORD_NANOPORE	2271523	7473	legacy	2473	5000	0.49	4556	489466	0.215	41450	2180000	0.0	0:23.69	1001920	0	split/SRR26715166/legacy/4556
SRR26715166	outlier	OXFORD_NANOPORE	2271523	7473	1to1	3736	3737	1.00	7	444530	0.196	42270	1990000	0.0	0:19.02	1242608	0	split/SRR26715166/1to1/7
SRR26715166	outlier	OXFORD_NANOPORE	2271523	7473	1to1	3736	3737	1.00	42	454562	0.200	42700	2270000	0.0	0:18.96	1201012	0	split/SRR26715166/1to1/42
