accession	class	platform	truth_bp	mode	old_estimate_bp	new_estimate_bp	estimates_match	old_selected_md5	new_selected_md5	selected_reads_match	old_retained_reads	new_retained_reads	old_elapsed	new_elapsed	old_cpu_percent	new_cpu_percent	old_max_rss_kb	new_max_rss_kb
DRR213976	outlier	OXFORD_NANOPORE	3927137	auto	2828479	2828479	yes	ffb806d79dc0	ffb806d79dc0	yes	39586	39586	1:48.17	2:06.61	321	273	3049572	2989836
DRR213976	outlier	OXFORD_NANOPORE	3927137	lowmem	3064044	3064044	yes	65daef0eed4e	65daef0eed4e	yes	29804	29804	1:48.70	0:54.60	303	606	2798480	2732500
SRR10259778	outlier	OXFORD_NANOPORE	4848320	auto	2125186	2125186	yes	d3d30a278659	d3d30a278659	yes	35104	35104	1:57.49	1:08.33	394	684	4636688	4678576
SRR10259778	outlier	OXFORD_NANOPORE	4848320	lowmem	3492523	3492523	yes	3ac0e45356cf	3ac0e45356cf	yes	33262	33262	1:50.24	1:05.09	358	627	4228320	4048132
SRR10353548	outlier	OXFORD_NANOPORE	2269994	auto	2332247	2332247	yes	9e76b36d6f32	9e76b36d6f32	yes	84208	84208	1:22.70	0:29.36	200	597	727840	713004
SRR10353548	outlier	OXFORD_NANOPORE	2269994	lowmem	2327256	2327256	yes	5deb6d4120d4	5deb6d4120d4	yes	55705	55705	1:26.92	0:34.57	196	527	688476	701240
SRR10388020	outlier	OXFORD_NANOPORE	2218399	auto	2314366	2314366	yes	e97f15d9d1de	e97f15d9d1de	yes	66867	66867	1:04.19	0:34.86	171	328	652992	598620
SRR10388020	outlier	OXFORD_NANOPORE	2218399	lowmem	2347996	2347996	yes	6bd7560af635	6bd7560af635	yes	42361	42361	0:59.49	0:41.78	187	285	636972	656176
SRR10861747	outlier	OXFORD_NANOPORE	2211092	auto	2192374	2192374	yes	28438cd6e0ee	28438cd6e0ee	yes	45443	45443	1:16.78	0:27.25	230	689	1062308	987064
SRR10861747	outlier	OXFORD_NANOPORE	2211092	lowmem	2168854	2168854	yes	5e8e7173285f	5e8e7173285f	yes	22228	22228	1:16.58	0:28.38	227	663	944300	914880
SRR10861751	outlier	OXFORD_NANOPORE	2220590	auto	2200418	2200418	yes	09cb91822d79	09cb91822d79	yes	25034	25034	0:39.85	0:19.14	290	634	1146680	1097288
SRR10861751	outlier	OXFORD_NANOPORE	2220590	lowmem	2122585	2122585	yes	321a693d1500	321a693d1500	yes	9780	9780	0:34.59	0:14.58	241	611	582332	542080
SRR12247681	control	OXFORD_NANOPORE	5067008	auto	5544558	5544558	yes	7cefd3dd25f9	7cefd3dd25f9	yes	141292	141292	1:11.01	0:26.37	192	561	786700	781768
SRR12247681	control	OXFORD_NANOPORE	5067008	lowmem	5818314	5818314	yes	8ceeb90f9920	8ceeb90f9920	yes	96360	96360	1:15.60	0:31.89	187	479	719564	744832
SRR24489322	outlier	OXFORD_NANOPORE	4296919	auto	1799306	1799306	yes	9e537c0fdcb4	9e537c0fdcb4	yes	55406	55406	1:28.48	0:43.44	297	632	2212004	2114928
SRR24489322	outlier	OXFORD_NANOPORE	4296919	lowmem	2268648	2268648	yes	dd100936de3e	dd100936de3e	yes	47513	47513	1:32.50	0:46.25	275	575	2136412	2145892
SRR26465521	outlier	OXFORD_NANOPORE	2285943	auto	2237900	2237900	yes	4f66f9c05a4a	4f66f9c05a4a	yes	23571	23571	0:59.30	0:34.81	383	665	1639276	1573668
SRR26465521	outlier	OXFORD_NANOPORE	2285943	lowmem	2158548	2158548	yes	900c139d7328	900c139d7328	yes	3990	3990	0:42.45	0:18.34	199	495	445980	462956
SRR26465523	outlier	OXFORD_NANOPORE	2235838	auto	2152985	2152985	yes	08ce198b1921	08ce198b1921	yes	29721	29721	0:38.87	0:22.30	360	646	1246528	1231072
SRR26465523	outlier	OXFORD_NANOPORE	2235838	lowmem	2191080	2191080	yes	0147b85cb3bc	0147b85cb3bc	yes	4491	4491	0:28.82	0:12.98	199	472	356236	360156
SRR26465524	outlier	OXFORD_NANOPORE	2287581	auto	2138308	2138308	yes	dfcbdd24b6da	dfcbdd24b6da	yes	15422	15422	0:51.95	0:35.84	464	682	1939592	1931092
SRR26465524	outlier	OXFORD_NANOPORE	2287581	lowmem	2072242	2072242	yes	4d99c8580da9	4d99c8580da9	yes	2739	2739	0:30.04	0:13.00	185	462	334044	334024
SRR26465526	outlier	OXFORD_NANOPORE	2230369	auto	2214342	2214342	yes	ee261f7eb130	ee261f7eb130	yes	23258	23258	1:09.31	0:35.83	331	664	1592532	1544704
SRR26465526	outlier	OXFORD_NANOPORE	2230369	lowmem	2079221	2079221	yes	3d65635b2e88	3d65635b2e88	yes	4078	4078	0:55.77	0:22.50	191	513	431340	428188
SRR26465560	outlier	OXFORD_NANOPORE	3198172	auto	2926832	2926832	yes	b1d6d3554086	b1d6d3554086	yes	65360	65360	0:58.65	0:28.46	288	629	1176604	1189980
SRR26465560	outlier	OXFORD_NANOPORE	3198172	lowmem	2888701	2888701	yes	64b3b9424ddf	64b3b9424ddf	yes	9425	9425	0:54.62	0:25.14	223	525	591072	585880
SRR26465563	outlier	OXFORD_NANOPORE	3117753	auto	3043047	3043047	yes	db2d6d8d871e	db2d6d8d871e	yes	59957	59957	0:51.50	0:28.31	298	561	1266368	1232656
SRR26465563	outlier	OXFORD_NANOPORE	3117753	lowmem	2995887	2995887	yes	0e7a011bed8e	0e7a011bed8e	yes	7466	7466	0:44.91	0:21.81	210	474	362632	348036
SRR26715165	outlier	OXFORD_NANOPORE	2271101	auto	2130202	2130202	yes	ce02aadf8534	ce02aadf8534	yes	15243	15243	1:01.05	0:39.77	445	697	2910560	2828028
SRR26715165	outlier	OXFORD_NANOPORE	2271101	lowmem	2138167	2138167	yes	65b7eaa21d0c	65b7eaa21d0c	yes	9340	9340	0:46.49	0:25.30	320	609	1170060	1191664
SRR26715166	outlier	OXFORD_NANOPORE	2271523	auto	1881388	1881388	yes	c648738188fc	c648738188fc	yes	3756	3756	0:07.95	0:06.53	298	371	366336	382492
SRR26715166	outlier	OXFORD_NANOPORE	2271523	lowmem	1768276	1768276	yes	4c93060f3020	4c93060f3020	yes	1914	1914	0:06.03	0:02.93	216	473	194064	192416
SRR8618952	control	PACBIO_SMRT	4907789	auto	5890324	5890324	yes	bda0fc5306cf	bda0fc5306cf	yes			0:07.30	0:07.24	237	236	1229064	1230000
SRR8618952	control	PACBIO_SMRT	4907789	lowmem	5794285	5794285	yes	51441fe26537	51441fe26537	yes	135918	135918	1:05.33	0:23.23	202	604	1310372	1268892
