Assembly Accession	Organism Name	Organism Taxonomic ID	Assembly BioProject Accession	Assembly BioSample Accession	Assembly Name	Organism Infraspecific Names Strain	Assembly BioSample Strain 	Assembly Sequencing Tech	Assembly Stats Total Number of Chromosomes	Assembly Stats Total Sequence Length	Assembly Stats Genome Coverage	Assembly BioSample Project name  	CheckM completeness	CheckM completeness percentile	CheckM contamination	Assembly Release Date
GCF_002057455.1	[Actinomadura] parvosata subsp. kistnae	1909395	PRJNA348567	SAMN05912833	ASM205745v1	ATCC 55076	ATCC 55076	PacBio	1	13047416	110.0x		92.82	100	15	2017-03-21
GCF_040215695.1	[Arthrobacter] sp. ATCC 21022	1771959	PRJNA1116247	SAMN41528051	ATCC 21022	ATCC 21022	ATCC 21022	Illumina NextSeq; Oxford Nanopore GridION	1	4434229	100.0x		99.74	100	0.18	2024-09-20
GCF_003595605.1	[Bacillus] caldolyticus	1394	PRJNA420054	SAMN08104862	ASM359560v1	NEB414	NEB414	PacBio	2	3485582	159.9x		99.5	100	0.33	2017-12-28
GCF_000987865.1	[Brevibacterium] flavum	92706	PRJNA279429	SAMN03494310	ASM98786v1	ATCC 15168	ATCC 15168	Miseq PE 300; PacBio 10K	1	3338699	736.0x		99.49	100		2015-05-04
GCF_001683055.1	[Brevibacterium] flavum ZL-1	1232385	PRJNA175240	SAMN05366914	ASM168305v1	ZL-1	ZL-1	PacBio	1	3340941			97.92	50	0.34	2016-07-11
GCF_025149125.1	[Clostridium] asparagiforme DSM 15981	518636	PRJNA746600	SAMN20222674	ASM2514912v1	DSM 15981	DSM 15981	Illumina HiSeq; Oxford Nanopore	1	6353279	100.0x		98.44	77.77778	5.07	2022-09-12
GCF_022845755.1	[Clostridium] hylemonae	89153	PRJDB11902	SAMD00389864	ASM2284575v1	CE91-St63	CE91-St63	Illumina MiSeq; PacBio Sequel	1	3922038	218.0x	Isolate bacteria and archaea from a Japanese centenarian	99.38	100		2022-02-04
GCF_008281175.1	[Clostridium] hylemonae DSM 15053	553973	PRJNA523213	SAMN10967693	ASM828117v1	DSM 15053	DSM 15053	Oxford Nanopore MiniION; Illumina MiSeq	1	3833740	300.0x		97.5	12.5	0.21	2019-09-05
GCF_009684695.1	[Clostridium] scindens	29347	PRJNA561470	SAMN13152203	ASM968469v1	BL389WT3D	BL389WT3D	Oxford Nanopore + Illumina MiSeq	1	3785527	264.0x		99.38	100	0.07	2019-11-20
GCF_016889005.1	[Clostridium] scindens	29347	PRJNA231221	SAMN16357369	ASM1688900v1	FDAARGOS_1227	FDAARGOS_1227	Pacbio; Illumina	1	3619096	1116.1x		99.38	100	0.07	2021-02-15
