run	truth_bp	never_bp	always_bp	auto_bp	never_ratio	always_ratio	auto_ratio	drop_frac	filter_engaged	overlaps	matches_stock_plain	matches_stock_filter
SRR30162149	11093179	3844783	9677932	9677932	0.3466	0.8724	0.8724	0.945	yes	2360117	yes	yes
SRR16631313	4966657	599649	4473696	4473696	0.1207	0.9007	0.9007	0.928	yes	386290	yes	yes
SRR16767125	4963479	833893	4543969	4543969	0.168	0.9155	0.9155	0.926	yes	391116	yes	yes
SRR17188519	4929712	967101	4402284	4402284	0.1962	0.893	0.893	0.924	yes	852828	yes	yes
SRR30357565	2791411	663578	2769232	2769232	0.2377	0.9921	0.9921	0.845	yes	5204617	yes	yes
SRR30357568	2759957	607980	2755331	2755331	0.2203	0.9983	0.9983	0.843	yes	5089545	yes	yes
SRR30357567	2897507	728535	2874830	2874830	0.2514	0.9922	0.9922	0.84	yes	4800306	yes	yes
SRR30357566	2834287	1146906	2805915	2805915	0.4047	0.99	0.99	0.778	yes	3398416	yes	yes
DRR213976	3927137	2828479	4343825	2828479	0.7202	1.1061	0.7202	0.696	no	1490501	yes	yes
SRR26465560	3198172	2926832	3793948	2926832	0.9152	1.1863	0.9152	0.607	no	447160	yes	yes
SRR26465563	3117753	3043047	3850095	3043047	0.976	1.2349	0.976	0.531	no	393620	yes	yes
SRR26465523	2235838	2152985	2742712	2152985	0.9629	1.2267	0.9629	0.434	no	443239	yes	yes
SRR26465524	2287581	2138308	2652756	2138308	0.9347	1.1596	0.9347	0.427	no	700253	yes	yes
SRR26465526	2230369	2214342	2669289	2214342	0.9928	1.1968	0.9928	0.427	no	566876	yes	yes
SRR26465521	2285943	2237900	2664152	2237900	0.979	1.1654	0.979	0.425	no	592424	yes	yes
SRR24489322	4296919	1799306	4060339	1799306	0.4187	0.9449	0.4187	0.424	no	976470	yes	yes
SRR13183067	4808040	1825389	3023344	1825389	0.3797	0.6288	0.3797	0.36	no	45450	yes	yes
SRR26715166	2271523	2071715	2681280	2071715	0.912	1.1804	0.912	0.321	no	69506	yes	yes
SRR8618952	4907789	5890324	7201990	5890324	1.2002	1.4675	1.2002	0.32	no	146674	yes	yes
SRR13183064	6409097	1932965	2783694	1932965	0.3016	0.4343	0.3016	0.317	no	66826	yes	yes
SRR26715165	2271101	2130202	2540833	2130202	0.938	1.1188	0.938	0.283	no	952806	yes	yes
SRR10388020	2218399	2314366	2618560	2314366	1.0433	1.1804	1.0433	0.266	no	258979	yes	yes
SRR10259778	4848320	2125186	8050042	2125186	0.4383	1.6604	0.4383	0.259	no	2866221	yes	yes
SRR10353548	2269994	2332247	2614296	2332247	1.0274	1.1517	1.0274	0.254	no	276135	yes	yes
SRR10861751	2220590	2200418	2398120	2200418	0.9909	1.0799	0.9909	0.222	no	398729	yes	yes
SRR10861747	2211092	2192374	2370201	2192374	0.9915	1.072	0.9915	0.207	no	345156	yes	yes
SRR12247681	5067008	5544558	6071538	5544558	1.0942	1.1982	1.0942	0.192	no	96023	yes	yes
