accession	platform	truth_bp	regime	nth	pool_reads	split	mode	seed	target_reads_requested	query_reads_requested	target_reads_used	query_reads_used	avg_target_len	avg_query_len	estimate_bp	estimate_over_truth	iqr_low_bp	iqr_high_bp	expected_overlaps_per_query	normalization_engaged	skew_score	profile_median_depth	retained_reads	total_reads	queries_without_overlaps_pct	small_pool_warning	elapsed	max_rss_kb	exit_status	run_dir
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	legacy	auto	7	2087	5000	1634	3912	17697.52	17244.658	921628	0.2347	222110	2540000	14.46	yes	29.00	4	5546	7087	0.05	yes	0:15.27	604204	0	starved/DRR213976/legacy.auto.s7
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	legacy	auto	42	2087	5000	1619	3876	17064.943	17671.676	871070	0.2218	225100	2510000	14.24	yes	31.00	4	5495	7087	0.03	yes	0:16.10	507072	0	starved/DRR213976/legacy.auto.s42
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	legacy	auto	4556	2087	5000	1621	3882	17081.676	17518.982	907820	0.2312	243870	2560000	14.20	yes	33.00	4	5503	7087	0.05	yes	0:14.06	504100	0	starved/DRR213976/legacy.auto.s4556
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	legacy	never	7	2087	5000	2087	5000	17168.803	17509.076	614430	0.1565	201610	1730000	18.32	no	NA	NA	NA	7087	0.04	no	0:51.85	775528	0	starved/DRR213976/legacy.never.s7
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	legacy	never	42	2087	5000	2087	5000	17696.441	17288.838	637966	0.1625	199550	1700000	18.49	no	NA	NA	NA	7087	0.02	no	0:27.44	896564	0	starved/DRR213976/legacy.never.s42
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	legacy	never	4556	2087	5000	2087	5000	17436.225	17397.455	609629	0.1552	194350	1710000	18.41	no	NA	NA	NA	7087	0.02	no	0:27.98	784464	0	starved/DRR213976/legacy.never.s4556
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	1to1	auto	7	3543	3544	2773	2773	17614.621	17141.547	1280114	0.3260	341920	3070000	24.40	yes	29.00	4	5546	7087	0.04	yes	0:15.37	840492	0	starved/DRR213976/1to1.auto.s7
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	1to1	auto	42	3543	3544	2748	2747	17169.385	17816.56	1295215	0.3298	358920	2890000	24.34	yes	31.00	4	5495	7087	0.04	yes	0:14.21	779040	0	starved/DRR213976/1to1.auto.s42
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	1to1	auto	4556	3543	3544	2752	2751	17271.781	17508.594	1287030	0.3277	334410	3050000	24.23	yes	33.00	4	5503	7087	0.0	yes	0:14.37	807920	0	starved/DRR213976/1to1.auto.s4556
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	1to1	never	7	3543	3544	3543	3544	16974.674	17842.945	728333	0.1855	261690	2300000	31.23	no	NA	NA	NA	7087	0.03	no	0:27.04	1243952	0	starved/DRR213976/1to1.never.s7
