accession	truth_bp	rung_every_nth	version	seed	target_reads_requested	query_reads_requested	target_reads_used	query_reads_used	estimate_bp	estimate_over_truth	iqr_low_bp	iqr_high_bp	retained_reads	profile_median_depth	small_pool_warning
SRR10861747	2211092	34	after	7	1500	750	1500	750	1992029	0.901	635050	2400000	2268	2	no
SRR10861747	2211092	34	after	42	1500	750	1498	748	1959491	0.886	666810	2330000	2246	2	yes
SRR10861747	2211092	34	after	4556	1500	750	1500	749	2045110	0.925	704560	2400000	2249	2	yes
SRR10861747	2211092	34	before	7	1500	750	1500	750	1992029	0.901	635050	2400000	2268	2	no
SRR10861747	2211092	34	before	42	1500	750	1496	750	1957196	0.885	666250	2330000	2246	2	yes
SRR10861747	2211092	34	before	4556	1500	750	1499	750	2054632	0.929	704370	2400000	2249	2	yes
SRR10861747	2211092	70	after	7	750	375	708	354	1929317	0.873	633400	2370000	1062	1	yes
SRR10861747	2211092	70	after	42	750	375	706	353	1790888	0.810	652080	2310000	1059	1	yes
SRR10861747	2211092	70	after	4556	750	375	712	355	1855981	0.839	546200	2410000	1067	1	yes
SRR10861747	2211092	70	before	7	750	375	687	375	1878566	0.850	668310	2330000	1062	1	yes
SRR10861747	2211092	70	before	42	750	375	684	375	1816794	0.822	634640	2400000	1059	1	yes
SRR10861747	2211092	70	before	4556	750	375	692	375	1823662	0.825	576820	2370000	1067	1	yes
SRR10861751	2220590	18	after	7	1500	750	1208	603	2013158	0.907	624380	2530000	1811	2	yes
SRR10861751	2220590	18	after	42	1500	750	1207	603	1841198	0.829	580110	2260000	1810	2	yes
SRR10861751	2220590	18	after	4556	1500	750	1207	603	1816356	0.818	592500	2400000	1810	2	yes
SRR10861751	2220590	18	before	7	1500	750	1061	750	1944796	0.876	588230	2520000	1811	2	yes
SRR10861751	2220590	18	before	42	1500	750	1060	750	1798641	0.810	613740	2310000	1810	2	yes
SRR10861751	2220590	18	before	4556	1500	750	1060	750	1806421	0.813	586650	2490000	1810	2	yes
SRR10861751	2220590	22	after	7	1500	750	990	494	1782005	0.802	642680	2250000	1484	2	yes
SRR10861751	2220590	22	after	42	1500	750	983	491	1897376	0.854	554760	2440000	1474	2	yes
SRR10861751	2220590	22	after	4556	1500	750	990	495	1750562	0.788	563700	2230000	1485	2	yes
SRR10861751	2220590	22	before	7	1500	750	734	750	1846606	0.832	619530	2400000	1484	2	yes
SRR10861751	2220590	22	before	42	1500	750	724	750	1785594	0.804	483740	2370000	1474	2	yes
SRR10861751	2220590	22	before	4556	1500	750	735	750	1821318	0.820	524680	2380000	1485	2	yes
SRR10861751	2220590	30	after	7	750	375	704	352	1809522	0.815	560110	2450000	1056	1	yes
SRR10861751	2220590	30	after	42	750	375	704	351	2024857	0.912	660560	2740000	1055	1	yes
SRR10861751	2220590	30	after	4556	750	375	703	351	1798024	0.810	640270	2320000	1054	1	yes
SRR10861751	2220590	30	before	7	750	375	681	375	1774966	0.799	571250	2430000	1056	1	yes
SRR10861751	2220590	30	before	42	750	375	680	375	1988380	0.895	621250	2770000	1055	1	yes
SRR10861751	2220590	30	before	4556	750	375	679	375	1833060	0.825	642990	2340000	1054	1	yes
SRR26715166	2271523	2	after	7	1500	750	1402	701	1993954	0.878	405920	2490000	2103	2	yes
SRR26715166	2271523	2	after	42	1500	750	1402	701	2045701	0.901	404040	2500000	2103	2	yes
SRR26715166	2271523	2	after	4556	1500	750	1382	691	1984810	0.874	477080	2590000	2073	2	yes
SRR26715166	2271523	2	before	7	1500	750	1353	750	1923993	0.847	410780	2420000	2103	2	yes
SRR26715166	2271523	2	before	42	1500	750	1353	750	2026405	0.892	397170	2500000	2103	2	yes
SRR26715166	2271523	2	before	4556	1500	750	1323	750	1997497	0.879	473210	2550000	2073	2	yes
SRR26715166	2271523	4	after	7	750	375	682	340	1871019	0.824	393170	2480000	1022	1	yes
SRR26715166	2271523	4	after	42	750	375	676	338	1773972	0.781	422170	2330000	1014	1	yes
SRR26715166	2271523	4	after	4556	750	375	685	342	1633727	0.719	394170	2330000	1027	1	yes
SRR26715166	2271523	4	before	7	750	375	647	375	1861613	0.820	386990	2620000	1022	1	yes
SRR26715166	2271523	4	before	42	750	375	639	375	1707820	0.752	419500	2350000	1014	1	yes
SRR26715166	2271523	4	before	4556	750	375	652	375	1625238	0.715	390500	2330000	1027	1	yes
