asm_accession	organism	taxid	bioproject	biosample	strain	asm_seq_tech	n_chromosomes	true_size	asm_coverage	platform	checkm_completeness	checkm_contamination	checkm_completeness_percentile	release_date	library_selection	library_source	library_strategy	run	estimate	method	relative_size	relative_error	cpu_time	memory_mb	stats_num_seqs	stats_sum_len	stats_avg_len	stats_median_len	avg_qual
GCF_040215695.1	[Arthrobacter] sp. ATCC 21022	1771959	PRJNA1116247	SAMN41528051	ATCC 21022	Illumina;ONT	1	4434229	100.0	OXFORD_NANOPORE	99.74	0.18	100.0	2024-09-20	other	GENOMIC	WGS	SRR29457729	4639906.0	lrge-ava	1.0463839373203323	4.638393732033235	73.35	907.55	347110.0	1000000728.0	2880.9	1852.0	16.71
GCF_040215695.1	[Arthrobacter] sp. ATCC 21022	1771959	PRJNA1116247	SAMN41528051	ATCC 21022	Illumina;ONT	1	4434229	100.0	OXFORD_NANOPORE	99.74	0.18	100.0	2024-09-20	other	GENOMIC	WGS	SRR29457729	4624762.0	lrge-2set	1.0429686874538955	4.29686874538956	15.65	6.0	347110.0	1000000728.0	2880.9	1852.0	16.71
GCF_040215695.1	[Arthrobacter] sp. ATCC 21022	1771959	PRJNA1116247	SAMN41528051	ATCC 21022	Illumina;ONT	1	4434229	100.0	OXFORD_NANOPORE	99.74	0.18	100.0	2024-09-20	other	GENOMIC	WGS	SRR29457729	5267850.0	mash	1.18799683101617	18.79968310161699	15.23	378.97	347110.0	1000000728.0	2880.9	1852.0	16.71
GCF_040215695.1	[Arthrobacter] sp. ATCC 21022	1771959	PRJNA1116247	SAMN41528051	ATCC 21022	Illumina;ONT	1	4434229	100.0	OXFORD_NANOPORE	99.74	0.18	100.0	2024-09-20	other	GENOMIC	WGS	SRR29457729	4178296.0	genomescope	0.9422824125682278	-5.771758743177225	47.12	3467.66	347110.0	1000000728.0	2880.9	1852.0	16.71
GCF_040215695.1	[Arthrobacter] sp. ATCC 21022	1771959	PRJNA1116247	SAMN41528051	ATCC 21022	Illumina;ONT	1	4434229	100.0	OXFORD_NANOPORE	99.74	0.18	100.0	2024-09-20	other	GENOMIC	WGS	SRR29457729	4429724.0	raven	0.9989840398409735	-0.10159601590265185	710.95	15823.91	347110.0	1000000728.0	2880.9	1852.0	16.71
GCF_016889005.1	[Clostridium] scindens	29347	PRJNA231221	SAMN16357369	FDAARGOS_1227	Illumina;PacBio	1	3619096	1116.1	PACBIO_SMRT	99.38	0.07	100.0	2021-02-15	RANDOM	GENOMIC	WGS	SRR13182350	4783206.0	lrge-ava	1.3216576736289947	32.165767362899466	21.62	1954.74	131857.0	1000001219.0	7584.0	7942.0	0.0
GCF_016889005.1	[Clostridium] scindens	29347	PRJNA231221	SAMN16357369	FDAARGOS_1227	Illumina;PacBio	1	3619096	1116.1	PACBIO_SMRT	99.38	0.07	100.0	2021-02-15	RANDOM	GENOMIC	WGS	SRR13182350	4664992.0	lrge-2set	1.2889937155576974	28.899371555769726	18.5	953.92	131857.0	1000001219.0	7584.0	7942.0	0.0
GCF_016889005.1	[Clostridium] scindens	29347	PRJNA231221	SAMN16357369	FDAARGOS_1227	Illumina;PacBio	1	3619096	1116.1	PACBIO_SMRT	99.38	0.07	100.0	2021-02-15	RANDOM	GENOMIC	WGS	SRR13182350	4504090.0	mash	1.2445345467486908	24.453454674869082	104.86	2899.21	131857.0	1000001219.0	7584.0	7942.0	0.0
GCF_016889005.1	[Clostridium] scindens	29347	PRJNA231221	SAMN16357369	FDAARGOS_1227	Illumina;PacBio	1	3619096	1116.1	PACBIO_SMRT	99.38	0.07	100.0	2021-02-15	RANDOM	GENOMIC	WGS	SRR13182350	3835963.0	genomescope	1.0599229752402257	5.9922975240225735	51.66	5547.1	131857.0	1000001219.0	7584.0	7942.0	0.0
GCF_016889005.1	[Clostridium] scindens	29347	PRJNA231221	SAMN16357369	FDAARGOS_1227	Illumina;PacBio	1	3619096	1116.1	PACBIO_SMRT	99.38	0.07	100.0	2021-02-15	RANDOM	GENOMIC	WGS	SRR13182350	3725469.0	raven	1.0293921465470934	2.9392146547093527	195.2	11263.21	131857.0	1000001219.0	7584.0	7942.0	0.0
GCF_022845815.1	[Clostridium] scindens	29347	PRJDB11902	SAMD00389867	CE91-St59	Illumina;PacBio	1	3608085	190.0	PACBIO_SMRT	99.38	0.07	100.0	2022-02-04	RANDOM	GENOMIC	WGS	DRR307121	4647439.0	lrge-ava	1.288062504070719	28.806250407071893	27.39	2138.08	14296.0	188698685.0	13199.4	10744.5	0.0
